learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.25,4.7144066128465864E-8,1000.0,50.1,-0.8773703149638157,-256.4285714285714,-1.8367346938775526,1000.0,728936.0
2000.0,0.375,7.246207031938765E-8,2000.0,70.19999999999999,0.0,-112.85714285714288,0.0,2000.0,782928.0
3000.0,0.5,9.958761640720897E-8,3000.0,58.9,0.0,-120.96774193548383,0.0,3000.0,838824.0
4000.0,0.671875,1.3884059929599365E-7,4000.0,60.9,0.0,-131.3609467455621,0.0,4000.0,882800.0
5000.0,0.859375,1.819538495813807E-7,5000.0,64.60000000000001,0.0,-121.24999999999994,0.0,5000.0,888816.0
6000.0,1.078125,2.3225173612849583E-7,6000.0,58.199999999999996,0.0,-174.99999999999997,0.0,6000.0,888296.0
7000.0,1.265625,2.753649864138829E-7,7000.0,57.9,0.0,-120.41884816753934,0.0,7000.0,888816.0
8000.0,1.4375,3.148847544151876E-7,8000.0,47.5,0.0,-207.01754385964907,1.1299435028248597,8000.0,888296.0
9000.0,1.625,3.5797588578942754E-7,9000.0,47.4,0.0,-205.81395348837202,-10.970464135021107,9000.0,888360.0
10000.0,1.796875,3.97496365217699E-7,10000.0,50.5,0.0,-246.15384615384613,-1.8518518518518534,10000.0,888816.0
11000.0,2.03125,4.513869579467509E-7,11000.0,51.9,0.0,-168.7150837988826,3.607214428857718,11000.0,888800.0
12000.0,2.28125,5.08837660567628E-7,12000.0,55.1,0.0,-225.36231884057963,0.0,12000.0,888296.0
13000.0,2.453125,5.483574285689328E-7,13000.0,50.3,0.0,-247.5524475524475,-0.6072874493927131,13000.0,888800.0
14000.0,2.625,5.878771965702376E-7,14000.0,49.8,0.0,-412.24489795918385,-7.725321888412025,14000.0,888800.0
15000.0,2.8125,6.309896707534791E-7,15000.0,57.4,0.0,-193.79310344827584,5.333333333333314,15000.0,888800.0
16000.0,3.0,6.740776977191369E-7,16000.0,57.9,0.0,-156.70731707317069,0.0,16000.0,888296.0
17000.0,3.1875,7.171901719023784E-7,17000.0,64.0,0.0,-124.99999999999996,0.0,17000.0,888800.0
18000.0,3.359375,7.567099399036832E-7,18000.0,58.599999999999994,0.0,-197.84172661870502,0.0,18000.0,888800.0
19000.0,3.53125,7.96229707904988E-7,19000.0,64.5,0.0,-164.92537313432834,0.0,19000.0,888800.0
20000.0,3.703125,8.357284888107744E-7,20000.0,49.2,0.0,-309.6774193548387,1.1673151750972772,20000.0,888328.0
21000.0,3.875,8.752489682390459E-7,21000.0,55.60000000000001,0.0,-142.62295081967204,0.0,21000.0,888816.0
22000.0,4.046875,9.147687362403507E-7,22000.0,72.6,0.0,-46.524064171122966,0.0,22000.0,888800.0
23000.0,4.234375,9.578567632060085E-7,23000.0,57.3,0.0,-182.78145695364236,0.0,23000.0,888296.0
24000.0,4.390625,9.937838250253765E-7,24000.0,60.4,0.0,-167.56756756756755,0.0,24000.0,888800.0
25000.0,4.546875,1.0297128271001082E-6,25000.0,62.3,0.0,-225.00000000000006,0.0,25000.0,888848.0
26000.0,4.734375,1.0728260773854952E-6,26000.0,55.800000000000004,0.0,-215.71428571428567,0.0,26000.0,888312.0
27000.0,4.890625,1.108754432708439E-6,27000.0,59.0,0.0,-283.17757009345803,0.0,27000.0,888832.0
28000.0,5.078125,1.1518684590959716E-6,28000.0,59.0,0.0,-350.54945054945074,0.0,28000.0,888832.0
29000.0,5.234375,1.1877961676671274E-6,29000.0,61.9,0.0,-228.44827586206898,0.0,29000.0,888816.0
30000.0,5.421875,1.2308841946327853E-6,30000.0,60.4,0.0,-266.66666666666674,0.0,30000.0,888296.0
31000.0,5.59375,1.27040396263409E-6,31000.0,62.1,0.0,-154.36241610738253,0.0,31000.0,888800.0
32000.0,5.78125,1.313517212919477E-6,32000.0,58.099999999999994,0.0,-190.9722222222222,0.0,32000.0,888816.0
33000.0,5.9375,1.3494251955611013E-6,33000.0,54.50000000000001,0.0,-288.88888888888886,0.0,33000.0,888328.0
34000.0,6.109375,1.3889463864163394E-6,34000.0,61.5,0.0,-171.12676056338026,0.0,34000.0,888832.0
35000.0,6.234375,1.4176880358718338E-6,35000.0,57.9,0.0,-245.0819672131148,0.0,35000.0,888800.0
36000.0,6.421875,1.4607760628374916E-6,36000.0,69.39999999999999,0.0,-98.7012987012987,0.0,36000.0,888296.0
37000.0,6.59375,1.5002958308387964E-6,37000.0,64.9,0.0,-116.6666666666666,0.0,37000.0,888800.0
38000.0,6.765625,1.5398163102670677E-6,38000.0,66.10000000000001,0.0,-138.73239436619713,0.0,38000.0,888816.0
39000.0,6.953125,1.5829058894370167E-6,39000.0,53.2,0.0,-257.25190839694653,0.0,39000.0,888328.0
40000.0,7.125,1.6224306374270884E-6,40000.0,44.6,0.0,-279.4520547945205,-21.491228070175445,40000.0,888912.0
41000.0,7.28125,1.6583418538276522E-6,41000.0,46.9,0.0,-187.02702702702695,-13.219616204690842,41000.0,888408.0
42000.0,7.4375,1.6942721494059597E-6,42000.0,49.4,0.0,-218.23899371069174,-2.4291497975708523,42000.0,888880.0
43000.0,7.609375,1.733792628834231E-6,43000.0,53.5,0.0,-263.28124999999994,-0.8676789587852504,43000.0,888816.0
44000.0,7.78125,1.773289986886084E-6,44000.0,63.3,0.0,-100.54644808743163,0.0,44000.0,888296.0
45000.0,7.953125,1.8128097548873888E-6,45000.0,57.599999999999994,0.0,-223.66412213740458,0.0,45000.0,888800.0
