learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,13.703125,9.521693605670912E-5,1000.0,86.7,73.37763721526082,5.0000000000000036,72.85714285714285,1000.0,2.6859856E7
2000.0,30.984375,2.947336450193284E-4,2000.0,92.30000000000001,81.2152970910546,45.000000000000036,74.16107382550338,2000.0,4.4627904E7
3000.0,42.3125,4.0007973238567095E-4,3000.0,91.10000000000001,81.26631304201398,52.150537634408636,78.34549878345499,3000.0,3.5947008E7
4000.0,50.96875,5.223670806865104E-4,4000.0,91.5,81.94516427776409,49.70414201183435,78.2608695652174,4000.0,5.4607728E7
5000.0,61.375,6.827662310226716E-4,5000.0,91.7,81.34043146317997,48.125000000000036,76.5536723163842,5000.0,5.9581328E7
6000.0,73.078125,8.620480026648793E-4,6000.0,89.8,78.9794740746847,32.89473684210529,75.59808612440192,6000.0,5.9215168E7
7000.0,84.625,0.0010551308112917467,7000.0,91.2,81.71230969372276,53.926701570680635,79.09738717339668,7000.0,6.4637048E7
8000.0,96.609375,0.0012784746079705655,8000.0,90.60000000000001,81.12260267095091,45.0292397660819,82.29755178907722,8000.0,7.2037872E7
9000.0,107.609375,0.0015487060776083834,9000.0,94.19999999999999,88.33692609632894,66.27906976744184,87.76371308016877,9000.0,9.4961072E7
10000.0,119.40625,0.0018905699657948895,10000.0,93.0,85.9980397255616,51.04895104895108,85.59670781893006,10000.0,1.12018208E8
11000.0,130.765625,0.002261581856388754,11000.0,93.0,85.96266067740189,60.893854748603395,85.97194388777555,11000.0,1.26251272E8
12000.0,145.203125,0.002602394011046272,12000.0,90.10000000000001,79.87150292778139,28.260869565217412,77.9510022271715,12000.0,9.124844E7
13000.0,158.796875,0.0029713263914648755,13000.0,91.4,82.80227010034676,39.860139860139896,82.5910931174089,13000.0,1.04908304E8
14000.0,169.9375,0.0033270049903593546,14000.0,94.3,88.6000911992704,41.83673469387749,87.76824034334763,14000.0,1.23410056E8
15000.0,183.46875,0.0036089183371384734,15000.0,90.60000000000001,80.45965542473226,35.17241379310347,79.11111111111111,15000.0,8.0534152E7
16000.0,195.921875,0.0037000021824173425,16000.0,91.0,81.46706697801996,45.121951219512226,78.62232779097388,16000.0,2.8272576E7
17000.0,206.765625,0.0038530058406629707,17000.0,89.4,76.54036827195469,33.75000000000002,70.55555555555556,17000.0,5.45412E7
18000.0,217.0,0.00405367582389671,18000.0,90.3,80.0014844258983,30.215827338129518,76.57004830917874,18000.0,7.5792016E7
19000.0,226.484375,0.004271912966667313,19000.0,91.7,81.19704589733135,38.05970149253734,76.61971830985917,19000.0,8.894516E7
20000.0,239.390625,0.004600025801822389,20000.0,91.9,83.82226056945645,34.67741935483874,84.24124513618678,20000.0,9.8271032E7
21000.0,254.921875,0.00485306626881033,21000.0,86.3,71.86257434852618,25.13661202185794,69.14414414414414,21000.0,6.2977576E7
22000.0,265.640625,0.005066181897386237,22000.0,88.9,71.61618951179847,40.641711229946544,59.48905109489052,22000.0,7.6855248E7
23000.0,279.046875,0.005245950636033538,23000.0,86.6,72.13407254291145,11.258278145695373,68.61826697892272,23000.0,5.1833344E7
24000.0,291.734375,0.005423184928529534,24000.0,85.6,69.39191946673921,2.7027027027027044,63.63636363636363,24000.0,5.3997552E7
25000.0,304.046875,0.005663136654345888,25000.0,88.1,74.24888988911876,-2.5862068965517264,68.43501326259947,25000.0,7.5332088E7
26000.0,316.71875,0.005994965270219837,26000.0,89.2,78.13623554562238,22.857142857142875,75.56561085972851,26000.0,1.01222096E8
27000.0,329.03125,0.00636794076187976,27000.0,92.30000000000001,84.04277365606997,28.037383177570124,81.21951219512196,27000.0,1.1709448E8
28000.0,341.609375,0.006795668315284679,28000.0,92.10000000000001,83.65269213259944,13.186813186813204,80.73170731707319,28000.0,1.31447912E8
29000.0,356.15625,0.007314618001109921,29000.0,88.6,75.17972924132705,1.7241379310344844,70.07874015748031,29000.0,1.37897984E8
30000.0,370.5,0.007908902430790477,30000.0,89.1,76.96378453318906,-0.9259259259259269,72.47474747474747,30000.0,1.60152608E8
31000.0,385.828125,0.008567210976616479,31000.0,86.9,71.74897563079577,12.080536912751686,65.4353562005277,31000.0,1.6601328E8
32000.0,404.234375,0.009143573883274156,32000.0,88.0,75.07115108959844,16.66666666666668,71.36038186157518,32000.0,1.2104116E8
33000.0,417.8125,0.009629410686191274,33000.0,88.9,77.50030404994529,5.128205128205133,75.6043956043956,33000.0,1.38309808E8
34000.0,433.46875,0.01020989754767571,34000.0,87.6,74.01672149697211,12.67605633802818,67.79220779220779,34000.0,1.43320072E8
35000.0,448.90625,0.010853325497979918,35000.0,87.8,74.81201920893224,0.0,71.02137767220903,35000.0,1.61111048E8
36000.0,464.875,0.011624417480391759,36000.0,89.4,76.00724309642372,31.16883116883119,65.35947712418302,36000.0,1.8665364E8
37000.0,483.546875,0.012591901005232808,37000.0,86.9,71.19004891093986,19.135802469135815,62.67806267806267,37000.0,2.00289424E8
38000.0,501.25,0.013609602849109148,38000.0,88.2,74.0061768373007,16.90140845070424,65.19174041297934,38000.0,2.22214808E8
39000.0,519.875,0.014702152714243208,39000.0,88.2,76.27244064088539,9.923664122137414,74.78632478632478,39000.0,2.26750032E8
40000.0,539.265625,0.015882283153866104,40000.0,87.8,75.29043861496832,16.438356164383574,73.24561403508771,40000.0,2.35255928E8
41000.0,559.484375,0.01717210073981227,41000.0,89.2,78.32204607769539,41.62162162162165,76.97228144989339,41000.0,2.46590512E8
42000.0,577.703125,0.018424849042914703,42000.0,93.2,86.40261069874585,57.232704402515765,86.23481781376519,42000.0,2.65795496E8
43000.0,597.140625,0.019853697468772427,43000.0,91.5,82.91388598536625,33.59375000000003,81.56182212581345,43000.0,2.84150304E8
44000.0,619.625,0.021441738336612212,44000.0,88.2,73.47945106958723,35.51912568306013,67.8474114441417,44000.0,2.73012936E8
45000.0,639.125,0.022722099067598013,45000.0,92.9,85.50476097146684,45.80152671755729,83.25471698113209,45000.0,2.5380496E8
