learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.984375,2.1730520529672507E-7,1000.0,70.7,41.625558840639755,-109.28571428571429,40.20408163265306,1000.0,853320.0
2000.0,1.6875,4.441550117917359E-7,2000.0,86.1,66.08995189164398,0.7142857142857149,53.35570469798658,2000.0,1247120.0
3000.0,2.25,6.54962204862386E-7,3000.0,83.6,65.07383476516412,11.827956989247319,60.097323600973226,3000.0,1448656.0
4000.0,2.8125,9.385638986714185E-7,4000.0,88.1,74.39119918051837,29.585798816568065,69.56521739130434,4000.0,1948896.0
5000.0,3.28125,1.1772085175228616E-6,5000.0,86.5,68.83167256171329,15.62500000000001,61.86440677966101,5000.0,1967944.0
6000.0,3.796875,1.3892119750380516E-6,6000.0,87.8,74.72110332023803,19.73684210526317,70.81339712918661,6000.0,1589320.0
7000.0,4.328125,1.6015354776754974E-6,7000.0,85.5,69.37413402723801,24.083769633507824,65.55819477434679,7000.0,1544904.0
8000.0,4.84375,1.8174468035188814E-6,8000.0,83.0,66.13208486901085,0.5847953216374273,67.984934086629,8000.0,1618616.0
9000.0,5.265625,1.999697318145384E-6,9000.0,89.7,79.20754503686119,40.11627906976747,78.27004219409282,9000.0,1669888.0
10000.0,5.734375,2.1805815049447117E-6,10000.0,88.9,77.80798912391539,22.377622377622394,77.1604938271605,10000.0,1491632.0
11000.0,6.234375,2.4136905105681054E-6,11000.0,90.2,80.40446778134586,45.251396648044725,80.36072144288578,11000.0,1802152.0
12000.0,6.8125,2.6881212316867377E-6,12000.0,85.2,69.67623231284293,-7.246376811594208,67.03786191536749,12000.0,1834904.0
13000.0,7.328125,2.854377445247438E-6,13000.0,85.7,71.40411780703579,0.0,71.05263157894737,13000.0,1246368.0
14000.0,7.734375,2.9990710188738173E-6,14000.0,89.8,79.58889635961964,-4.081632653061229,78.11158798283262,14000.0,1376760.0
15000.0,8.203125,3.1185917194104855E-6,15000.0,82.1,62.501780641701366,-23.448275862068986,60.22222222222221,15000.0,985608.0
16000.0,8.765625,3.2874928890830937E-6,16000.0,82.69999999999999,63.50888442651996,-5.487804878048784,58.90736342042755,16000.0,1160680.0
17000.0,9.34375,3.5083004816745714E-6,17000.0,81.3,56.483291445592464,-16.87500000000001,48.05555555555554,17000.0,1476368.0
18000.0,9.8125,3.6992895184084767E-6,18000.0,89.60000000000001,78.64160615121743,25.179856115107935,74.87922705314011,18000.0,1574960.0
19000.0,10.265625,3.899861250020977E-6,19000.0,89.8,76.5068982195914,23.880597014925392,71.26760563380282,19000.0,1711016.0
20000.0,10.9375,4.110801188896099E-6,20000.0,83.6,67.2670371080028,-32.25806451612906,68.09338521400777,20000.0,1213592.0
21000.0,11.625,4.263890312156743E-6,21000.0,76.1,50.319286925865555,-30.60109289617482,46.17117117117117,21000.0,860744.0
