learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.75,1.5987548977136614E-7,1000.0,73.8,47.5092960635979,-87.14285714285714,46.53061224489796,1000.0,823992.0
2000.0,1.34375,4.6172243956890374E-7,2000.0,88.5,73.41237180139272,17.857142857142872,61.40939597315437,2000.0,1965104.0
3000.0,1.890625,5.238579857784013E-7,3000.0,83.39999999999999,64.9929353212847,10.752688172043017,59.61070559610705,3000.0,439192.0
4000.0,2.328125,5.89640921033505E-7,4000.0,88.2,74.64208811659482,30.17751479289943,69.82097186700767,4000.0,580712.0
5000.0,2.90625,6.530956145272487E-7,5000.0,82.69999999999999,62.48623049500828,-8.125000000000005,51.12994350282485,5000.0,424272.0
6000.0,3.390625,7.069039404288762E-7,6000.0,76.6,51.906476594485284,-53.9473684210526,44.01913875598087,6000.0,429408.0
7000.0,3.78125,7.513196194647915E-7,7000.0,72.2,45.179546843880026,-45.54973821989534,33.966745843230406,7000.0,439520.0
8000.0,4.21875,7.998880917309886E-7,8000.0,81.0,61.927662558861854,-11.111111111111054,64.21845574387949,8000.0,429120.0
9000.0,4.484375,8.391438556524614E-7,9000.0,88.5,76.76561148869799,33.13953488372095,75.73839662447257,9000.0,571264.0
10000.0,5.0,8.961995869564514E-7,10000.0,82.8,65.68030807909491,-20.279720279720294,64.60905349794238,10000.0,427728.0
11000.0,5.34375,9.477325107177927E-7,11000.0,86.9,73.83579263567441,26.815642458100577,73.74749498997996,11000.0,579488.0
12000.0,5.703125,9.88591216608054E-7,12000.0,84.0,67.19012094541665,-15.942028985507259,64.3652561247216,12000.0,439480.0
13000.0,6.140625,1.0383576025358504E-6,13000.0,77.60000000000001,55.22203076086566,-56.64335664335661,54.655870445344135,13000.0,439704.0
14000.0,6.53125,1.0960017809540861E-6,14000.0,84.6,69.20739022634568,-57.14285714285721,66.9527896995708,14000.0,570424.0
15000.0,6.953125,1.1897114584118955E-6,15000.0,81.89999999999999,61.988525154776,-24.82758620689657,59.777777777777764,15000.0,858624.0
16000.0,7.359375,1.2507577775977552E-6,16000.0,79.0,55.39222975125858,-28.04878048780483,50.11876484560571,16000.0,580856.0
17000.0,7.71875,1.3033077185456124E-6,17000.0,73.9,40.42728019720624,-63.12499999999998,27.499999999999996,17000.0,565232.0
18000.0,7.984375,1.3528430523971717E-6,18000.0,82.1,62.51057662503035,-28.776978417266207,56.763285024154584,18000.0,720856.0
19000.0,8.25,1.3831380702969102E-6,19000.0,82.89999999999999,58.18457475424267,-27.611940298507488,51.830985915492946,19000.0,440864.0
20000.0,8.609375,1.4369977806280887E-6,20000.0,64.5,29.779725923347154,-186.29032258064515,30.93385214007783,20000.0,579320.0
21000.0,9.125,1.4940492433702781E-6,21000.0,55.300000000000004,5.319076829226968,-144.26229508196712,-0.6756756756756763,21000.0,427696.0
22000.0,9.46875,1.5331812836747204E-6,22000.0,83.1,57.76140442080637,9.625668449197866,38.32116788321167,22000.0,440040.0
23000.0,9.8125,1.5723282639454638E-6,23000.0,74.9,46.818428368024954,-66.22516556291387,41.217798594847785,23000.0,440208.0
24000.0,10.1875,1.6285102982591426E-6,24000.0,65.4,18.928544650221205,-133.78378378378372,12.626262626262639,24000.0,579120.0
25000.0,10.71875,1.7453837143774663E-6,25000.0,77.0,49.93578720532857,-98.27586206896551,38.99204244031831,25000.0,850392.0
26000.0,11.34375,1.8829504066767792E-6,26000.0,75.6,52.4143848974179,-74.28571428571426,44.796380090497735,26000.0,850816.0
27000.0,11.9375,2.0774972896712523E-6,27000.0,85.3,69.28413222449747,-37.383177570093494,64.14634146341463,27000.0,1266552.0
