learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.03125,3.938718388477961E-11,1000.0,82.3,64.64497159612971,-26.428571428571452,63.87755102040815,1000.0,4872.0
2000.0,0.046875,5.908077582716941E-11,2000.0,79.5,44.641873427019114,-46.42857142857139,31.20805369127519,2000.0,4872.0
3000.0,0.078125,9.846795971194902E-11,3000.0,77.2,49.08964242172533,-22.580645161290278,44.525547445255484,3000.0,4872.0
4000.0,0.09375,1.1816155165433883E-10,4000.0,84.3,65.53450062345235,7.100591715976336,59.846547314578004,4000.0,4872.0
5000.0,0.109375,1.3785514359672863E-10,5000.0,78.9,47.306382171076955,-31.874999999999954,40.395480225988706,5000.0,4872.0
6000.0,0.109375,1.3785514359672863E-10,6000.0,78.4,53.538795106086425,-42.1052631578947,48.32535885167466,6000.0,4872.0
7000.0,0.125,1.5754873553911844E-10,7000.0,78.0,51.745708658135904,-15.183246073298449,47.743467933491694,7000.0,4872.0
8000.0,0.140625,1.7724232748150825E-10,8000.0,67.60000000000001,36.872868972235764,-89.47368421052624,38.98305084745764,8000.0,4872.0
9000.0,0.140625,1.7724232748150825E-10,9000.0,86.3,72.580038267859,20.34883720930234,71.09704641350211,9000.0,4872.0
10000.0,0.140625,1.7724232748150825E-10,10000.0,81.69999999999999,63.391213891333905,-27.972027972027995,62.34567901234567,10000.0,4872.0
11000.0,0.15625,1.9693591942389806E-10,11000.0,83.5,66.99498323745209,7.821229050279334,66.93386773547093,11000.0,4872.0
12000.0,0.15625,1.9693591942389806E-10,12000.0,65.5,30.688931926486074,-149.99999999999994,23.16258351893096,12000.0,4872.0
13000.0,0.171875,2.1662951136628787E-10,13000.0,75.4,50.891342103687144,-72.02797202797201,50.20242914979757,13000.0,4872.0
14000.0,0.171875,2.1662951136628787E-10,14000.0,83.3,66.57245570349968,-70.4081632653062,64.16309012875536,14000.0,4872.0
15000.0,0.171875,2.1662951136628787E-10,15000.0,78.0,54.041045524433464,-51.72413793103444,51.11111111111111,15000.0,4872.0
16000.0,0.1875,2.3632310330867765E-10,16000.0,68.30000000000001,28.05134909394634,-93.2926829268292,24.703087885985767,16000.0,4872.0
17000.0,0.1875,2.3632310330867765E-10,17000.0,77.4,44.32400472999607,-41.24999999999996,37.22222222222222,17000.0,4872.0
18000.0,0.203125,2.5601669525106743E-10,18000.0,70.0,39.91732624090748,-115.82733812949641,27.536231884057965,18000.0,4872.0
19000.0,0.203125,2.5601669525106743E-10,19000.0,85.2,66.22777993291193,-10.44776119402986,58.30985915492957,19000.0,4872.0
20000.0,0.203125,2.5601669525106743E-10,20000.0,63.9,28.09681634213964,-191.1290322580645,29.76653696498055,20000.0,4872.0
21000.0,0.21875,2.757102871934572E-10,21000.0,53.7,3.261123926052232,-153.00546448087422,-4.279279279279283,21000.0,4872.0
22000.0,0.21875,2.757102871934572E-10,22000.0,75.4,36.28527620073764,-31.550802139037394,10.218978102189789,22000.0,4872.0
23000.0,0.234375,2.95403879135847E-10,23000.0,65.9,23.489077560984388,-125.82781456953637,20.140515222482453,23000.0,4872.0
24000.0,0.234375,2.95403879135847E-10,24000.0,66.9,20.307022612581395,-123.64864864864859,16.41414141414143,24000.0,4872.0
25000.0,0.234375,2.95403879135847E-10,25000.0,75.2,41.84492292107324,-113.79310344827587,34.217506631299734,25000.0,4872.0
26000.0,0.234375,2.95403879135847E-10,26000.0,72.7,40.85839810746874,-95.0,38.235294117647044,26000.0,4872.0
27000.0,0.234375,2.95403879135847E-10,27000.0,68.7,26.776774435034877,-192.52336448598132,23.658536585365873,27000.0,4872.0
28000.0,0.25,3.150974710782368E-10,28000.0,65.9,21.547876501173345,-274.7252747252748,16.82926829268294,28000.0,4872.0
29000.0,0.25,3.150974710782368E-10,29000.0,63.4,4.828769794835785,-215.51724137931038,3.9370078740157513,29000.0,4872.0
30000.0,0.25,3.150974710782368E-10,30000.0,61.8,4.239531525750049,-253.70370370370375,3.535353535353538,30000.0,4872.0
31000.0,0.25,3.150974710782368E-10,31000.0,63.6,4.8689334343882935,-144.29530201342277,3.9577836411609537,31000.0,4872.0
32000.0,0.265625,3.3479106302062656E-10,32000.0,61.1,8.434392889424544,-170.13888888888886,7.159904534606211,32000.0,4872.0
33000.0,0.265625,3.3479106302062656E-10,33000.0,55.300000000000004,2.068179826483243,-282.05128205128204,1.75824175824176,33000.0,4872.0
34000.0,0.28125,3.5448465496301635E-10,34000.0,63.0,4.749646029089992,-160.56338028169012,3.8961038961038996,34000.0,4872.0
35000.0,0.28125,3.5448465496301635E-10,35000.0,58.3,1.098588342440794,-241.80327868852464,0.9501187648456064,35000.0,4872.0
36000.0,0.28125,3.5448465496301635E-10,36000.0,83.0,53.618823118561195,-10.389610389610397,44.44444444444444,36000.0,4872.0
37000.0,0.28125,3.5448465496301635E-10,37000.0,71.89999999999999,27.45691302058053,-73.45679012345677,19.94301994301993,37000.0,4872.0
38000.0,0.296875,3.7417824690540613E-10,38000.0,80.9,57.654925330779335,-34.50704225352108,43.65781710914455,38000.0,4872.0
39000.0,0.296875,3.7417824690540613E-10,39000.0,80.60000000000001,60.60497758138932,-48.09160305343507,58.54700854700855,39000.0,4872.0
40000.0,0.3125,3.938718388477959E-10,40000.0,77.8,55.5231439928196,-52.05479452054791,51.31578947368421,40000.0,4872.0
41000.0,0.3125,3.938718388477959E-10,41000.0,76.8,54.285894439824865,-25.40540540540536,50.53304904051173,41000.0,4872.0
42000.0,0.3125,3.938718388477959E-10,42000.0,78.4,56.95084424177682,-35.84905660377354,56.275303643724705,42000.0,4872.0
43000.0,0.3125,3.938718388477959E-10,43000.0,81.69999999999999,62.71089738364984,-42.968750000000036,60.30368763557482,43000.0,4872.0
44000.0,0.328125,4.135654307901857E-10,44000.0,78.10000000000001,46.107961256791874,-19.672131147540934,40.326975476839245,44000.0,4872.0
45000.0,0.328125,4.135654307901857E-10,45000.0,75.1,45.147419064906686,-90.07633587786259,41.273584905660385,45000.0,4872.0
