learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.734375,1.7382107519855102E-7,1000.0,91.2,82.39746523499385,37.142857142857174,82.04081632653062,1000.0,937464.0
2000.0,1.171875,3.3081657925827636E-7,2000.0,91.2,78.96709306105281,37.142857142857174,70.46979865771814,2000.0,1387112.0
3000.0,1.6875,5.296109722823732E-7,3000.0,90.3,79.7040558410472,47.84946236559143,76.39902676399028,3000.0,1490296.0
4000.0,1.984375,6.89092622552481E-7,4000.0,92.60000000000001,84.27439063263704,56.21301775147932,81.07416879795397,4000.0,2076536.0
5000.0,2.390625,9.596152489797936E-7,5000.0,90.3,78.55898710002565,39.37500000000003,72.59887005649718,5000.0,2574024.0
6000.0,2.78125,1.1030906656136114E-6,6000.0,87.7,74.84724301244141,19.07894736842107,70.57416267942584,6000.0,1419776.0
7000.0,3.09375,1.273326730976502E-6,7000.0,90.4,80.0628849836142,49.738219895287955,77.19714964370547,7000.0,2105736.0
8000.0,3.421875,1.4579120518950125E-6,8000.0,88.6,77.13368769431351,33.33333333333336,78.53107344632768,8000.0,2174504.0
9000.0,3.671875,1.626329839281324E-6,9000.0,93.30000000000001,86.51726996852689,61.046511627907016,85.8649789029536,9000.0,2604056.0
10000.0,3.984375,1.8142700880869395E-6,10000.0,90.3,80.59922396895877,32.167832167832195,80.0411522633745,10000.0,2324728.0
11000.0,4.21875,1.9834244610845217E-6,11000.0,94.39999999999999,88.78551088005703,68.71508379888266,88.77755511022043,11000.0,2789808.0
12000.0,4.5625,2.131283173285839E-6,12000.0,90.4,80.51782010642141,30.434782608695677,78.61915367483296,12000.0,1662672.0
13000.0,4.84375,2.3163625802327364E-6,13000.0,90.4,80.80529773782436,32.867132867132895,80.5668016194332,13000.0,2543712.0
14000.0,5.078125,2.5002886023786334E-6,14000.0,92.10000000000001,84.19835662908943,19.38775510204084,83.0472103004292,14000.0,3033432.0
15000.0,5.375,2.6506203964042168E-6,15000.0,89.3,77.72299902564146,26.206896551724157,76.22222222222223,15000.0,1957400.0
16000.0,5.703125,2.7590777608565987E-6,16000.0,90.60000000000001,80.47824154645556,42.68292682926832,77.67220902612827,16000.0,1277680.0
17000.0,5.984375,2.8931067208759487E-6,17000.0,89.2,76.5625,32.50000000000002,70.0,17000.0,1842080.0
18000.0,6.265625,3.081072063650936E-6,18000.0,90.7,80.8804059110384,33.093525179856144,77.53623188405798,18000.0,2583376.0
19000.0,6.5,3.2577245535018545E-6,19000.0,92.60000000000001,83.24692671662403,44.77611940298511,79.1549295774648,19000.0,2913472.0
20000.0,6.859375,3.366903983987868E-6,20000.0,90.5,81.0018238249128,23.38709677419357,81.51750972762648,20000.0,1174344.0
