learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.65625,1.5416822861880065E-7,1000.0,89.2,78.39896315023121,22.857142857142875,77.9591836734694,1000.0,930624.0
2000.0,1.09375,2.523391999097334E-7,2000.0,93.7,84.95687637895301,55.00000000000005,78.85906040268459,2000.0,867376.0
3000.0,1.4375,3.6342780933611926E-7,3000.0,91.9,83.10218795373756,56.45161290322584,80.29197080291972,3000.0,1249192.0
4000.0,1.734375,4.964128472945757E-7,4000.0,92.4,83.83439615088464,55.029585798816605,80.56265984654732,4000.0,1731536.0
5000.0,2.09375,6.653574786873328E-7,5000.0,89.4,76.30967280529232,33.75000000000002,70.05649717514125,5000.0,1817184.0
6000.0,2.453125,8.22003219380147E-7,6000.0,90.5,80.46826813161509,37.50000000000003,77.27272727272728,6000.0,1684896.0
7000.0,2.671875,9.451289143827227E-7,7000.0,90.5,80.22514196266508,50.26178010471204,77.43467933491688,7000.0,2175720.0
8000.0,2.96875,1.0668529689105022E-6,8000.0,89.8,79.54066793701736,40.35087719298248,80.7909604519774,8000.0,1584912.0
9000.0,3.1875,1.1861386398474377E-6,9000.0,93.4,86.71711479632911,61.62790697674423,86.07594936708863,9000.0,2107864.0
10000.0,3.5,1.3013581176184947E-6,10000.0,90.0,79.99639935188334,30.069930069930095,79.42386831275721,10000.0,1425208.0
11000.0,3.6875,1.389929610821936E-6,11000.0,94.0,87.98447594291824,66.48044692737429,87.9759519038076,11000.0,1825976.0
12000.0,3.96875,1.5138391689914798E-6,12000.0,89.0,77.62108012873983,20.289855072463784,75.50111358574611,12000.0,1703000.0
13000.0,4.234375,1.645212501494421E-6,13000.0,90.2,80.40681842718735,31.46853146853149,80.16194331983806,13000.0,1911792.0
14000.0,4.46875,1.7933776770304475E-6,14000.0,93.2,86.40065276866711,30.61224489795922,85.40772532188842,14000.0,2443640.0
15000.0,4.734375,1.9157528812583124E-6,15000.0,88.4,75.82688716991198,20.000000000000014,74.22222222222223,15000.0,1780848.0
16000.0,4.984375,1.9881181975102263E-6,16000.0,92.10000000000001,83.71630924996084,51.82926829268296,81.2351543942993,16000.0,1118904.0
17000.0,5.21875,2.063148842555368E-6,17000.0,90.10000000000001,78.45015237266,38.12500000000003,72.50000000000001,17000.0,1237456.0
18000.0,5.40625,2.147909286173268E-6,18000.0,91.0,81.52982317884057,35.25179856115111,78.2608695652174,18000.0,1747408.0
19000.0,5.59375,2.247070693152233E-6,19000.0,92.30000000000001,82.55629559150017,42.53731343283585,78.30985915492958,19000.0,2044296.0
20000.0,5.84375,2.372320127000826E-6,20000.0,90.8,81.62117240938439,25.806451612903246,82.1011673151751,20000.0,1936592.0
21000.0,6.125,2.4549202902966908E-6,21000.0,88.0,75.3257007500987,34.42622950819674,72.97297297297297,21000.0,1135248.0
22000.0,6.328125,2.5143224694248708E-6,22000.0,89.1,72.5089030800117,41.711229946524085,60.218978102189794,22000.0,1130424.0
23000.0,6.578125,2.567501505836845E-6,23000.0,88.4,75.95027512055962,23.178807947019884,72.8337236533958,23000.0,822248.0
24000.0,6.8125,2.644505875650794E-6,24000.0,87.1,72.44625952633199,12.837837837837847,67.42424242424242,24000.0,1270008.0
25000.0,7.0625,2.7332598822087886E-6,25000.0,88.1,74.11107436865831,-2.5862068965517264,68.43501326259947,25000.0,1372304.0
26000.0,7.265625,2.830098932867664E-6,26000.0,89.9,79.4810534955346,27.85714285714288,77.14932126696833,26000.0,1842848.0
