learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.25,3.968986372152964E-9,1000.0,63.7,28.38315603396572,29.23976608187135,23.89937106918239,1000.0,61368.0
2000.0,0.375,5.9534795582294465E-9,2000.0,53.6,4.121137982907127,8.48126232741618,3.7344398340249,2000.0,61368.0
3000.0,0.46875,7.441849447786808E-9,3000.0,89.5,79.00839664134347,79.76878612716763,78.61507128309573,3000.0,61368.0
4000.0,0.59375,9.42634263386329E-9,4000.0,87.4,74.85541865727936,75.81573896353167,73.91304347826086,4000.0,61368.0
5000.0,0.65625,1.0418847927616702E-8,5000.0,79.0,57.854175447046785,58.333333333333336,59.692898272552796,5000.0,61384.0
6000.0,0.71875,1.1411353221370114E-8,6000.0,79.10000000000001,57.55379903653217,56.639004149377605,57.172131147540995,6000.0,61384.0
7000.0,0.796875,1.2651661462667916E-8,7000.0,75.7,51.95349572919962,49.480249480249476,50.0,7000.0,61368.0
8000.0,0.96875,1.5380339593523078E-8,8000.0,76.2,51.56300879192446,52.77777777777778,51.821862348178136,8000.0,61368.0
9000.0,1.0625,1.686870948308044E-8,9000.0,73.3,46.55339456005637,44.490644490644485,45.39877300613496,9000.0,61368.0
10000.0,1.140625,1.810901772437824E-8,10000.0,84.39999999999999,68.77651994299713,68.8,67.83505154639174,10000.0,61368.0
11000.0,1.203125,1.9101264317416483E-8,11000.0,77.10000000000001,53.91241345999034,53.83064516129033,51.99161425576521,11000.0,61368.0
12000.0,1.265625,2.0093510910454725E-8,12000.0,77.2,54.560854574805184,56.89981096408319,51.072961373390555,12000.0,61368.0
13000.0,1.34375,2.1333819151752526E-8,13000.0,80.10000000000001,59.90942350153917,60.82677165354332,58.62785862785863,13000.0,61368.0
14000.0,1.40625,2.232632444550594E-8,14000.0,82.5,65.17967288789843,64.85943775100401,65.27777777777777,14000.0,61384.0
15000.0,1.5,2.3815082386136058E-8,15000.0,80.2,60.138669114716095,61.62790697674419,60.24096385542169,15000.0,61384.0
16000.0,1.671875,2.654376051699122E-8,16000.0,81.2,62.218649517684895,63.20939334637966,61.39630390143738,16000.0,61368.0
17000.0,1.8125,2.8776315351327264E-8,17000.0,83.39999999999999,66.55653154968168,66.59959758551307,66.260162601626,17000.0,61368.0
18000.0,1.953125,3.100945226227244E-8,18000.0,86.0,71.97006402838231,71.77419354838709,71.42857142857143,18000.0,61384.0
19000.0,2.03125,3.2249760503570236E-8,19000.0,87.0,73.84937238493724,73.73737373737373,72.97297297297297,19000.0,61368.0
20000.0,2.09375,3.324226579732365E-8,20000.0,87.1,73.94592061786543,74.9514563106796,72.95597484276729,20000.0,61384.0
21000.0,2.171875,3.448257403862145E-8,21000.0,81.69999999999999,63.52489077398985,63.104838709677416,62.880324543610534,21000.0,61368.0
22000.0,2.25,3.5722882279919247E-8,22000.0,80.2,60.120524636653684,58.663883089770366,60.7920792079208,22000.0,61368.0
23000.0,2.3125,3.6715128872957485E-8,23000.0,83.3,66.79339526597097,67.25490196078431,66.53306613226452,23000.0,61368.0
24000.0,2.375,3.7707375465995724E-8,24000.0,85.7,71.41189265265649,71.45708582834331,71.96078431372548,24000.0,61368.0
25000.0,2.4375,3.869962205903396E-8,25000.0,83.1,66.34002549394518,66.46825396825396,65.29774127310061,25000.0,61368.0
26000.0,2.5,3.96918686520722E-8,26000.0,83.1,66.51423046135068,65.5804480651731,64.57023060796645,26000.0,61368.0
27000.0,2.5625,4.068411524511044E-8,27000.0,83.5,66.69116043959593,66.3265306122449,66.11909650924024,27000.0,61368.0
28000.0,2.625,4.167636183814868E-8,28000.0,87.3,74.58536116803278,74.34343434343434,75.1953125,28000.0,61368.0
29000.0,2.703125,4.2916670079446476E-8,29000.0,86.7,73.30967995697439,74.52107279693486,73.29317269076306,29000.0,61368.0
30000.0,2.765625,4.3908916672484715E-8,30000.0,85.9,71.6318335090416,72.07920792079207,70.56367432150313,30000.0,61368.0
31000.0,2.890625,4.58934098585612E-8,31000.0,84.8,69.63461653714764,71.32075471698113,69.78131212723657,31000.0,61368.0
32000.0,3.015625,4.7878420446068026E-8,32000.0,86.2,72.37314669859103,74.30167597765363,71.95121951219512,32000.0,61384.0
33000.0,3.1875,5.060709857692319E-8,33000.0,89.7,79.42025047353405,80.07736943907156,79.0650406504065,33000.0,61368.0
34000.0,3.328125,5.283965341125923E-8,34000.0,89.1,78.20714805543781,77.33887733887734,78.1124497991968,34000.0,61368.0
35000.0,3.421875,5.43280233008166E-8,35000.0,90.60000000000001,81.23362933622948,81.2,80.53830227743272,35000.0,61368.0
36000.0,3.484375,5.5320269893854836E-8,36000.0,82.69999999999999,65.11534118406193,64.40329218106994,65.39999999999999,36000.0,61368.0
37000.0,3.5625,5.6560578135152634E-8,37000.0,82.1,64.43473077687263,65.10721247563353,64.3426294820717,37000.0,61368.0
38000.0,3.625,5.755282472819087E-8,38000.0,83.0,65.81499072982983,66.53543307086613,64.73029045643153,38000.0,61368.0
39000.0,3.703125,5.879313296948867E-8,39000.0,84.2,68.43131613439468,69.01960784313725,68.27309236947791,39000.0,61368.0
40000.0,3.765625,5.978563826324208E-8,40000.0,81.89999999999999,63.88033014575583,62.68041237113401,63.28600405679512,40000.0,61384.0
41000.0,3.828125,6.077788485628032E-8,41000.0,81.5,62.66849624667042,61.052631578947356,62.01232032854208,41000.0,61368.0
42000.0,3.921875,6.226625474583767E-8,42000.0,81.6,63.137628868044715,65.47842401500937,62.525458248472496,42000.0,61368.0
43000.0,3.984375,6.325850133887591E-8,43000.0,82.89999999999999,65.45426629710138,67.61363636363636,64.30062630480165,43000.0,61368.0
44000.0,4.0625,6.449880958017372E-8,44000.0,84.0,67.74648739089241,67.280163599182,67.0103092783505,44000.0,61368.0
45000.0,4.140625,6.573911782147152E-8,45000.0,76.5,53.53086341633183,52.81124497991968,50.63025210084034,45000.0,61368.0
46000.0,4.203125,6.673136441450976E-8,46000.0,77.9,56.05942515389143,57.25338491295938,54.989816700611,46000.0,61368.0
47000.0,4.28125,6.797167265580757E-8,47000.0,79.5,59.48712678750703,60.271317829457374,57.4688796680498,47000.0,61368.0
48000.0,4.34375,6.89639192488458E-8,48000.0,80.30000000000001,60.81161726675951,62.47619047619048,58.87265135699374,48000.0,61368.0
49000.0,4.421875,7.020422749014361E-8,49000.0,80.10000000000001,60.117682897500444,60.82677165354332,58.62785862785863,49000.0,61368.0
50000.0,4.484375,7.119673278389702E-8,50000.0,81.0,62.16224827937804,63.46153846153847,60.41666666666667,50000.0,61384.0
