learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,2.046875,1.1540321995400719E-7,1000.0,50.2,-1.6347272393314067,2.9239766081871372,-4.402515723270444,1000.0,217936.0
2000.0,3.890625,2.1936184364474482E-7,2000.0,51.800000000000004,0.0,4.930966469428013,0.0,2000.0,217952.0
3000.0,6.09375,3.4357446970211134E-7,3000.0,50.5,0.0,4.624277456647403,-0.8146639511201638,3000.0,217936.0
4000.0,7.96875,4.492951039638784E-7,4000.0,51.9,0.0,7.677543186180428,0.4140786749482405,4000.0,217952.0
5000.0,9.765625,5.506107117980719E-7,5000.0,49.5,0.0,-0.19841269841269857,3.0710172744721715,5000.0,217952.0
6000.0,11.375,6.413542562060886E-7,6000.0,47.8,0.0,-8.298755186722,-6.967213114754105,6000.0,217952.0
7000.0,13.015625,7.338598111851348E-7,7000.0,51.5,0.0,-0.8316008316008323,0.20576131687242818,7000.0,217952.0
8000.0,14.6875,8.281204564910797E-7,8000.0,48.0,0.0,-3.174603174603177,-5.263157894736847,8000.0,217936.0
9000.0,16.359375,9.223880220411553E-7,9000.0,49.9,0.0,-4.158004158004162,-2.453987730061352,9000.0,217952.0
10000.0,18.0625,1.0184105485677721E-6,10000.0,49.8,0.0,-0.40000000000000036,-3.5051546391752613,10000.0,217936.0
11000.0,19.78125,1.115321129974392E-6,11000.0,49.2,0.0,-2.4193548387096793,-6.498951781970656,11000.0,217952.0
12000.0,21.375,1.205183669096894E-6,12000.0,50.5,0.0,6.427221172022691,-6.2231759656652414,12000.0,217952.0
13000.0,22.890625,1.2906349082994795E-6,13000.0,48.8,0.0,-0.7874015748031503,-6.444906444906451,13000.0,217936.0
14000.0,24.4375,1.377848028722737E-6,14000.0,51.0,0.0,1.6064257028112465,2.77777777777778,14000.0,217936.0
15000.0,25.890625,1.4597815202756064E-6,15000.0,47.599999999999994,-2.7253586565718684,-1.5503875968992262,-5.220883534136551,15000.0,217952.0
16000.0,27.671875,1.5602161228242852E-6,16000.0,49.3,-1.7679930629155103,0.7827788649706464,-4.106776180698156,16000.0,217952.0
17000.0,29.21875,1.6474292432475426E-6,17000.0,51.2,-0.3421502829319645,1.8108651911468827,0.8130081300813016,17000.0,217936.0
18000.0,30.859375,1.7399280073328155E-6,18000.0,49.9,-0.7999613700746804,-1.0080645161290331,-2.2448979591836755,18000.0,217936.0
19000.0,32.453125,1.8297839495870806E-6,19000.0,51.800000000000004,0.0,2.6262626262626285,-0.20790020790020808,19000.0,217936.0
20000.0,34.0625,1.920520832451682E-6,20000.0,52.300000000000004,0.0,7.378640776699036,0.0,20000.0,217936.0
21000.0,35.671875,2.0112643768596987E-6,21000.0,49.2,0.0,-2.4193548387096793,-3.042596348884384,21000.0,217952.0
22000.0,37.328125,2.1046440815553075E-6,22000.0,51.2,0.0,-1.87891440501044,3.3663366336633693,22000.0,217936.0
23000.0,38.9375,2.1956174492111643E-6,23000.0,48.4,0.0,-1.176470588235295,-3.4068136272545115,23000.0,218504.0
24000.0,40.515625,2.284824343708655E-6,24000.0,49.9,0.0,0.0,1.7647058823529425,24000.0,218504.0
25000.0,42.078125,2.3731480016269625E-6,25000.0,48.699999999999996,0.0,-1.7857142857142874,-5.3388090349076025,25000.0,218504.0
26000.0,43.6875,2.464128030826235E-6,26000.0,47.699999999999996,0.0,-6.51731160896131,-9.643605870020973,26000.0,218520.0
27000.0,45.234375,2.5515684521653592E-6,27000.0,51.9,0.0,1.8367346938775526,1.2320328542094467,27000.0,218504.0
28000.0,46.921875,2.6469580027171313E-6,28000.0,49.7,0.0,-1.6161616161616175,1.7578125000000013,28000.0,218504.0
29000.0,48.515625,2.7370481337938048E-6,29000.0,49.1,0.0,2.4904214559386997,-2.208835341365464,29000.0,218504.0
30000.0,50.109375,2.8271448617387152E-6,30000.0,48.699999999999996,0.0,-1.5841584158415856,-7.098121085594997,30000.0,218520.0
31000.0,51.765625,2.9207679391321214E-6,31000.0,50.1,0.15926498011188944,5.84905660377359,0.7952286282306171,31000.0,218504.0
32000.0,53.453125,3.0161574896838934E-6,32000.0,49.7,0.0,6.331471135940406,-2.2357723577235795,32000.0,218504.0
33000.0,55.0,3.1035979110230177E-6,33000.0,47.9,-4.503478100403577,-0.773694390715668,-5.8943089430894355,33000.0,218504.0
34000.0,56.59375,3.193688042099691E-6,34000.0,50.2,0.0,-3.5343035343035374,0.0,34000.0,218504.0
35000.0,58.15625,3.282018167535878E-6,35000.0,51.6,0.0,3.200000000000003,-0.20703933747412026,35000.0,218520.0
36000.0,59.703125,3.369458588875002E-6,36000.0,48.5,0.0,-5.967078189300417,-3.0000000000000027,36000.0,218504.0
37000.0,61.25,3.4568990102141264E-6,37000.0,51.5,0.0,5.4580896686159885,3.3864541832669355,37000.0,218504.0
38000.0,62.765625,3.5425729583948848E-6,38000.0,48.9,0.0,-0.5905511811023627,-6.016597510373449,38000.0,218504.0
39000.0,64.328125,3.6308966163131924E-6,39000.0,50.2,0.0,2.35294117647059,0.0,39000.0,218504.0
40000.0,65.984375,3.7245196937065985E-6,40000.0,50.4,0.0,-2.268041237113404,-0.6085192697768768,40000.0,218504.0
41000.0,67.625,3.817259534520822E-6,41000.0,48.4,-0.20001165116414069,-8.631578947368428,-5.954825462012326,41000.0,218504.0
42000.0,69.25,3.909122864974456E-6,42000.0,49.7,0.0,5.62851782363977,-2.443991853360491,42000.0,218520.0
43000.0,70.828125,3.998329759471947E-6,43000.0,49.1,0.1059779408878567,3.5984848484848517,-6.263048016701466,43000.0,218504.0
44000.0,72.453125,4.090186363706986E-6,44000.0,51.5,0.0,0.8179959100204507,0.0,44000.0,218504.0
45000.0,74.03125,4.179399790397535E-6,45000.0,48.3,0.0,-3.8152610441767107,-8.613445378151269,45000.0,218520.0
46000.0,75.640625,4.270379819596807E-6,46000.0,48.699999999999996,-1.0502927109843447,0.773694390715668,-4.4806517311609,46000.0,218520.0
47000.0,77.3125,4.364886133569396E-6,47000.0,51.7,-0.19998506335625657,6.395348837209308,-0.20746887966804997,47000.0,218504.0
48000.0,78.90625,4.454976264646069E-6,48000.0,51.0,0.0,6.666666666666672,-2.2964509394572046,48000.0,218504.0
49000.0,80.484375,4.54418315914356E-6,49000.0,49.7,0.0,0.9842519685039378,-4.573804573804578,49000.0,218504.0
50000.0,82.078125,4.634273290220234E-6,50000.0,50.8,0.0,5.3846153846153895,-2.500000000000002,50000.0,218504.0
