learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,2.640625,3.6749746262406307E-6,1000.0,60.5,20.403985039979368,23.00194931773879,17.190775681341712,1000.0,5388792.0
2000.0,5.09375,9.39164789290064E-6,2000.0,70.39999999999999,40.42251706814376,41.61735700197238,38.58921161825725,2000.0,9007952.0
3000.0,7.6875,1.8367488260587888E-5,3000.0,69.3,38.51145649735618,40.84778420038535,37.47454175152748,3000.0,1.3376712E7
4000.0,10.21875,3.047539361028208E-5,4000.0,71.1,41.819733779985974,44.52975047984645,40.16563146997928,4000.0,1.8489976E7
5000.0,12.734375,4.538583355800559E-5,5000.0,70.89999999999999,41.867433776818885,42.26190476190476,44.14587332053742,5000.0,2.2911152E7
6000.0,15.75,6.676760534497184E-5,6000.0,71.0,42.193305586120005,39.834024896265554,40.573770491803266,6000.0,2.7407456E7
7000.0,18.84375,9.278535176741165E-5,7000.0,71.5,42.80094729659212,40.74844074844074,41.35802469135801,7000.0,3.2507744E7
8000.0,21.796875,1.2068548213897478E-4,8000.0,70.1,40.24302502198417,40.67460317460317,39.47368421052631,8000.0,3.6519664E7
9000.0,24.90625,1.535965707605808E-4,9000.0,73.3,46.606834325206364,44.490644490644485,45.39877300613496,9000.0,4.091396E7
10000.0,28.125,1.9147614505426541E-4,10000.0,73.4,46.82127149140343,46.8,45.15463917525773,10000.0,4.5490448E7
11000.0,31.578125,2.358387810656697E-4,11000.0,73.6,47.23039529231162,46.774193548387096,44.65408805031446,11000.0,4.966008E7
12000.0,35.25,2.869757829466834E-4,12000.0,73.3,46.54654654654654,49.52741020793951,42.703862660944196,12000.0,5.3833144E7
13000.0,39.046875,3.442557604284957E-4,13000.0,73.5,47.12942716230667,47.83464566929133,44.906444906444904,13000.0,5.8314816E7
14000.0,43.09375,4.098013586998503E-4,14000.0,76.1,52.05232114913936,52.00803212851406,52.57936507936508,14000.0,6.2607464E7
15000.0,47.078125,4.7919887053366335E-4,15000.0,73.7,47.50624735535276,49.031007751937985,47.18875502008032,15000.0,6.7326504E7
16000.0,51.296875,5.566080688084993E-4,16000.0,75.9,51.85700131044844,52.83757338551859,50.513347022587276,16000.0,7.0926928E7
17000.0,55.421875,6.367122922610077E-4,17000.0,76.3,52.70329600153265,52.31388329979879,51.829268292682926,17000.0,7.5064368E7
18000.0,59.796875,7.269144032357467E-4,18000.0,75.2,50.426769544446,50.0,49.38775510204081,18000.0,7.9696824E7
19000.0,64.265625,8.240949818476413E-4,19000.0,75.5,51.09507118162292,50.505050505050505,49.064449064449065,19000.0,8.406124E7
20000.0,69.5,9.438650127978892E-4,20000.0,75.0,50.16048324395447,51.45631067961165,47.58909853249476,20000.0,8.8447528E7
21000.0,74.75,0.001070068004030165,21000.0,74.3,48.548960568884326,48.18548387096774,47.870182555780936,21000.0,9.2920752E7
22000.0,79.9375,0.0012002149060329733,22000.0,77.9,55.831801103205706,53.86221294363257,56.237623762376245,22000.0,9.6979088E7
23000.0,85.359375,0.0013427325403123783,23000.0,75.6,51.03076231455912,52.156862745098046,51.10220440881763,23000.0,1.01606496E8
24000.0,90.90625,0.0014943857942449135,24000.0,76.5,52.99398322985341,53.093812375249506,53.92156862745099,24000.0,1.05683144E8
25000.0,96.765625,0.0016465151782742598,25000.0,75.0,49.80947677383348,50.39682539682539,48.6652977412731,25000.0,1.00360816E8
26000.0,102.21875,0.0017933330821688286,26000.0,75.8,51.29981204142333,50.712830957230146,49.266247379454924,26000.0,1.04072488E8
27000.0,107.921875,0.0019533164182858956,27000.0,76.2,52.576604724007794,51.42857142857144,51.129363449691986,27000.0,1.08433688E8
28000.0,113.796875,0.0021252790126406276,28000.0,78.2,56.37644327937087,55.959595959595966,57.421875000000014,28000.0,1.13143208E8
29000.0,119.828125,0.0023094124129662908,29000.0,74.5,48.88222464558341,51.14942528735632,48.795180722891565,29000.0,1.18012392E8
30000.0,125.84375,0.002499507747383581,30000.0,76.0,51.80200262679085,52.475247524752476,49.89561586638831,30000.0,1.22149888E8
31000.0,131.953125,0.0027000024011876018,31000.0,75.2,50.431525549750354,53.20754716981132,50.695825049701796,31000.0,1.26855232E8
32000.0,138.53125,0.002923786325716517,32000.0,76.2,52.375425719671355,55.679702048417134,51.6260162601626,32000.0,1.31501024E8
33000.0,145.15625,0.0031564233944906543,33000.0,78.0,56.05695019255046,57.446808510638306,55.28455284552846,33000.0,1.35736112E8
34000.0,151.5625,0.0033879739967071346,34000.0,76.1,52.22025861034921,50.311850311850314,52.00803212851406,34000.0,1.3971544E8
35000.0,158.0625,0.0036298128455463383,35000.0,77.10000000000001,54.243925831202056,54.2,52.58799171842651,35000.0,1.43818608E8
36000.0,164.765625,0.003885782103299991,36000.0,76.1,52.06770687096386,50.82304526748971,52.2,36000.0,1.47609008E8
37000.0,171.765625,0.0041625462792580946,37000.0,74.8,49.65739057474479,50.877192982456144,49.800796812749006,37000.0,1.52831968E8
38000.0,178.921875,0.004453693145316922,38000.0,77.7,55.3056054386865,56.10236220472441,53.734439834024904,38000.0,1.5726388E8
39000.0,185.921875,0.0047471976748460695,39000.0,75.6,51.21326999056257,52.156862745098046,51.00401606425703,39000.0,1.6207616E8
40000.0,193.078125,0.005054617142369453,40000.0,76.7,53.43501686731579,51.958762886597945,52.73833671399595,40000.0,1.66053576E8
41000.0,200.234375,0.005369659633918975,41000.0,78.60000000000001,57.1150878739905,54.94736842105263,56.05749486652978,41000.0,1.70171176E8
42000.0,208.859375,0.005757848075202976,42000.0,75.6,51.17363376223161,54.22138836772984,50.30549898167006,42000.0,1.73974608E8
43000.0,217.59375,0.006160695295257028,43000.0,79.80000000000001,59.50085810063035,61.742424242424256,57.82881002087683,43000.0,1.782834E8
44000.0,226.71875,0.006592302455974277,44000.0,75.0,49.786088738023984,48.875255623721884,48.45360824742268,44000.0,1.82834496E8
45000.0,235.75,0.0070302629176876505,45000.0,76.6,53.33644423705086,53.01204819277109,50.84033613445378,45000.0,1.87451712E8
46000.0,245.109375,0.007495755649676236,46000.0,75.7,51.46639397304488,52.99806576402322,50.509164969450104,46000.0,1.9225092E8
47000.0,254.46875,0.007970961479651224,47000.0,77.60000000000001,55.30298192963412,56.58914728682171,53.52697095435685,47000.0,1.9626248E8
