learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.859375,2.8679399595906335E-7,1000.0,73.9,47.778275762717286,49.122807017543856,45.283018867924525,1000.0,1299192.0
2000.0,1.375,5.604237473259369E-7,2000.0,81.10000000000001,62.20272140405893,62.72189349112427,60.78838174273859,2000.0,2051312.0
3000.0,1.78125,8.553028520610597E-7,3000.0,82.3,64.59433509361497,65.89595375722543,63.95112016293278,3000.0,2805776.0
4000.0,2.359375,1.3974352299960122E-6,4000.0,83.5,66.91450708631102,68.33013435700576,65.83850931677017,4000.0,3624816.0
5000.0,2.78125,1.8764898090416358E-6,5000.0,84.89999999999999,69.79516722675628,70.03968253968253,71.0172744721689,5000.0,4388816.0
6000.0,3.25,2.5000228844065633E-6,6000.0,81.39999999999999,62.78690098914817,61.410788381742734,61.88524590163933,6000.0,5141864.0
7000.0,3.734375,3.235542681068182E-6,7000.0,83.6,67.19015704711413,65.90436590436589,66.25514403292179,7000.0,5869688.0
8000.0,4.265625,4.152797628194093E-6,8000.0,83.3,66.55987184621544,66.86507936507937,66.19433198380567,8000.0,6674112.0
9000.0,4.78125,5.140253633726388E-6,9000.0,86.5,72.99805586002192,71.93347193347192,72.39263803680981,9000.0,7402632.0
10000.0,5.296875,6.217951304279268E-6,10000.0,85.5,70.99930398329559,71.0,70.10309278350515,10000.0,8079144.0
11000.0,5.859375,7.500235806219279E-6,11000.0,84.39999999999999,68.8,68.54838709677419,67.29559748427673,11000.0,8811792.0
12000.0,6.40625,8.852294833761535E-6,12000.0,85.8,71.60624662574233,73.15689981096408,69.52789699570815,12000.0,9556744.0
13000.0,6.96875,1.0338299163979374E-5,13000.0,85.8,71.58636145349767,72.04724409448818,70.47817047817048,13000.0,1.0211744E7
14000.0,7.578125,1.2068386842858873E-5,14000.0,85.7,71.41486427057929,71.285140562249,71.62698412698413,14000.0,1.0974528E7
15000.0,8.21875,1.399567729094997E-5,15000.0,84.39999999999999,68.7821433860168,69.76744186046511,68.67469879518072,15000.0,1.1629088E7
16000.0,8.90625,1.619050489454013E-5,16000.0,85.6,71.1926253120799,71.81996086105676,70.4312114989733,16000.0,1.2340424E7
17000.0,9.578125,1.8461405804070334E-5,17000.0,84.6,69.18619541554617,69.01408450704226,68.69918699186991,17000.0,1.306508E7
18000.0,10.34375,2.1188353259478592E-5,18000.0,85.3,70.59294230615347,70.36290322580645,70.0,18000.0,1.3767752E7
19000.0,11.125,2.4149043892975895E-5,19000.0,86.2,72.34424599993586,72.12121212121212,71.3097713097713,19000.0,1.4648912E7
20000.0,11.84375,2.699100842518318E-5,20000.0,86.8,73.54401914450978,74.36893203883496,72.32704402515722,20000.0,1.5284216E7
21000.0,12.625,3.0221051775798615E-5,21000.0,85.0,70.00575889429228,69.75806451612902,69.57403651115618,21000.0,1.5981616E7
22000.0,13.421875,3.364578458584017E-5,22000.0,85.6,71.17509528232392,69.93736951983298,71.48514851485149,22000.0,1.6612648E7
23000.0,14.234375,3.727829239020745E-5,23000.0,85.8,71.61453335892023,72.15686274509804,71.54308617234469,23000.0,1.7281664E7
24000.0,15.125,4.139695898629725E-5,24000.0,85.7,71.40297409069457,71.45708582834331,71.96078431372548,24000.0,1.7875744E7
25000.0,15.953125,4.538516222964972E-5,25000.0,86.4,72.7900955947965,73.01587301587301,72.07392197125256,25000.0,1.8615888E7
26000.0,16.90625,5.0159876732828296E-5,26000.0,85.3,70.58917681706868,70.061099796334,69.18238993710692,26000.0,1.9364216E7
27000.0,17.828125,5.495077464729547E-5,27000.0,86.0,71.9808348910655,71.42857142857143,71.25256673511294,27000.0,2.0088488E7
28000.0,18.734375,5.980119568347516E-5,28000.0,86.5,73.00323961124666,72.72727272727273,73.6328125,28000.0,2.0688728E7
29000.0,19.75,6.542832493626822E-5,29000.0,85.1,70.18926813652915,71.455938697318,70.08032128514056,29000.0,2.1416864E7
30000.0,20.84375,7.168472330603334E-5,30000.0,85.1,70.21548794626794,70.49504950495049,68.89352818371607,30000.0,2.2111016E7
31000.0,21.9375,7.814696272059033E-5,31000.0,85.2,70.395381679542,72.0754716981132,70.57654075546719,31000.0,2.2838488E7
32000.0,23.140625,8.547509836110597E-5,32000.0,87.2,74.40276450143385,76.16387337057728,73.98373983739837,32000.0,2.3544264E7
33000.0,24.265625,9.249887943345432E-5,33000.0,86.1,72.2060035032433,73.11411992263056,71.74796747967478,33000.0,2.4133528E7
34000.0,25.375,9.96313433926035E-5,34000.0,86.4,72.8013055373342,71.72557172557173,72.69076305220882,34000.0,2.4852128E7
35000.0,26.515625,1.0716253435627246E-4,35000.0,86.7,73.3573717948718,73.4,72.46376811594203,35000.0,2.5522496E7
36000.0,27.671875,1.1497102480562817E-4,36000.0,86.5,73.01295378218455,72.22222222222221,73.0,36000.0,2.610464E7
