learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.5625,3.4924596548080444E-8,1000.0,70.19999999999999,41.08925570821389,41.910331384015585,37.52620545073374,1000.0,240000.0
2000.0,0.953125,6.018429606532057E-8,2000.0,78.0,55.62941688986416,56.60749506903353,54.35684647302905,2000.0,249960.0
3000.0,1.296875,8.226343197748064E-8,3000.0,75.7,51.28893878041936,53.17919075144509,50.509164969450104,3000.0,248280.0
4000.0,1.59375,1.0375871271308924E-7,4000.0,68.0,35.40599351637661,38.57965451055663,33.74741200828158,4000.0,279880.0
5000.0,1.953125,1.317242600230707E-7,5000.0,64.4,28.3803086084455,29.365079365079367,31.66986564299425,5000.0,300800.0
6000.0,2.296875,1.5763443015101882E-7,6000.0,72.8,44.90179555325079,43.56846473029045,44.26229508196721,6000.0,291360.0
7000.0,2.578125,1.809058529842231E-7,7000.0,61.9,23.863954278406137,20.790020790020787,21.604938271604933,7000.0,319840.0
8000.0,2.859375,2.04486940573487E-7,8000.0,67.5,35.336251492240365,35.51587301587303,34.21052631578948,8000.0,324096.0
9000.0,3.21875,2.3461014886076252E-7,9000.0,73.5,47.04067276331777,44.906444906444904,45.80777096114519,9000.0,324008.0
10000.0,3.65625,2.7493809789626137E-7,10000.0,72.39999999999999,44.83883346124328,44.8,43.09278350515463,10000.0,356312.0
11000.0,4.015625,3.1182138223407997E-7,11000.0,79.4,58.70485598819681,58.46774193548387,56.81341719077568,11000.0,396720.0
12000.0,4.359375,3.470996226597991E-7,12000.0,74.1,48.336391925317166,51.03969754253308,44.42060085836909,12000.0,396704.0
13000.0,4.6875,3.8249715645280147E-7,13000.0,83.89999999999999,67.63688992522312,68.30708661417322,66.52806652806652,13000.0,417000.0
14000.0,5.03125,4.215943368358744E-7,14000.0,85.2,70.47558250877753,70.28112449799197,70.63492063492063,14000.0,439648.0
15000.0,5.3125,4.5437107069624793E-7,15000.0,82.5,65.02769806313398,66.08527131782945,64.85943775100401,15000.0,450480.0
16000.0,5.625,4.949204675439332E-7,16000.0,77.9,55.60252000900003,56.75146771037183,54.62012320328542,16000.0,501576.0
17000.0,5.921875,5.35054002991981E-7,17000.0,82.39999999999999,64.70512738240389,64.58752515090542,64.22764227642276,17000.0,522560.0
18000.0,6.28125,5.854723147220082E-7,18000.0,80.2,60.40142554868025,60.080645161290334,59.591836734693885,18000.0,542304.0
19000.0,6.65625,6.413229534195529E-7,19000.0,70.3,41.355806367535195,39.99999999999999,38.25363825363824,19000.0,575704.0
20000.0,7.0625,7.07244940309061E-7,20000.0,75.2,51.00847474368345,51.844660194174764,48.0083857442348,20000.0,627248.0
21000.0,7.46875,7.773842662572861E-7,21000.0,80.2,60.445566707153375,60.080645161290334,59.83772819472617,21000.0,667376.0
22000.0,7.84375,8.432846516370774E-7,22000.0,85.3,70.55618760715944,69.31106471816283,70.89108910891089,22000.0,679296.0
23000.0,8.15625,8.964120772563749E-7,23000.0,79.10000000000001,58.404980257292074,59.019607843137265,58.116232464929865,23000.0,657160.0
24000.0,8.46875,9.547497352792158E-7,24000.0,82.69999999999999,65.41023856938347,65.4690618762475,66.078431372549,24000.0,721608.0
25000.0,8.8125,1.0225857194099162E-6,25000.0,85.39999999999999,70.87723357655497,71.03174603174602,70.02053388090349,25000.0,762816.0
26000.0,9.125,1.0866833488560387E-6,26000.0,85.0,70.01930756592753,69.45010183299388,68.55345911949685,26000.0,792856.0
27000.0,9.4375,1.1525880027976303E-6,27000.0,85.0,69.80955869625598,69.38775510204081,69.19917864476386,27000.0,815208.0
28000.0,9.796875,1.2303686687826283E-6,28000.0,84.7,69.38236424180327,69.09090909090908,70.1171875,28000.0,836616.0
29000.0,10.109375,1.2987995352078645E-6,29000.0,82.19999999999999,64.36279475772706,65.90038314176245,64.25702811244979,29000.0,846456.0
30000.0,10.390625,1.3627441431809633E-6,30000.0,82.6,65.05645190442337,65.54455445544554,63.674321503131516,30000.0,878848.0
31000.0,10.78125,1.4557211802134085E-6,31000.0,80.4,60.84275970640063,63.01886792452831,61.03379721669982,31000.0,920064.0
32000.0,11.109375,1.5356520371925502E-6,32000.0,85.3,70.58658748389264,72.62569832402235,70.1219512195122,32000.0,941624.0
33000.0,11.421875,1.610901607717905E-6,33000.0,82.6,65.19999999999999,66.34429400386847,64.6341463414634,33000.0,930800.0
34000.0,11.734375,1.6895673211870925E-6,34000.0,83.89999999999999,67.81879382440655,66.52806652806652,67.67068273092369,34000.0,973056.0
35000.0,12.078125,1.7770095210936338E-6,35000.0,83.0,65.78540606685128,65.99999999999999,64.80331262939958,35000.0,983288.0
36000.0,12.359375,1.850672480132845E-6,36000.0,85.3,70.66336712700566,69.75308641975309,70.6,36000.0,1012416.0
37000.0,12.703125,1.9408145453780895E-6,37000.0,84.89999999999999,69.82534670876464,70.56530214424951,69.92031872509959,37000.0,1013648.0
38000.0,13.078125,2.0420756967117396E-6,38000.0,82.19999999999999,64.44849225656203,64.96062992125984,63.070539419087126,38000.0,1043792.0
39000.0,13.421875,2.1375897469826878E-6,39000.0,82.5,64.98739546236644,65.68627450980391,64.85943775100401,39000.0,1074056.0
40000.0,13.75,2.231636834848259E-6,40000.0,83.39999999999999,66.76703289663345,65.77319587628865,66.32860040567951,40000.0,1107920.0
41000.0,14.140625,2.344486129004509E-6,41000.0,81.8,63.47948229156214,61.68421052631577,62.62833675564681,41000.0,1116712.0
42000.0,14.484375,2.4464997760434124E-6,42000.0,80.30000000000001,60.565928962623715,63.039399624765494,59.87780040733198,42000.0,1147144.0
43000.0,14.859375,2.560932156888562E-6,43000.0,84.7,69.35366273805994,71.02272727272727,68.05845511482254,43000.0,1179560.0
44000.0,15.25,2.6853089932248833E-6,44000.0,82.1,64.15268153963231,63.39468302658485,63.09278350515463,44000.0,1230784.0
45000.0,15.65625,2.813482973983305E-6,45000.0,81.89999999999999,63.951978458817614,63.654618473895574,61.974789915966376,45000.0,1219576.0
46000.0,16.015625,2.9306913428525966E-6,46000.0,80.30000000000001,60.4319147739598,61.8955512572534,59.87780040733198,46000.0,1260704.0
47000.0,16.34375,3.0423947545285864E-6,47000.0,83.39999999999999,66.54952282692803,67.82945736434108,65.56016597510373,47000.0,1315920.0
48000.0,16.703125,3.168641350283806E-6,48000.0,83.39999999999999,66.68539776832303,68.38095238095238,65.34446764091857,48000.0,1357920.0
49000.0,17.0625,3.297782677691431E-6,49000.0,77.7,55.483335196512144,56.10236220472441,53.638253638253644,49000.0,1389056.0
50000.0,17.40625,3.4248627424757528E-6,50000.0,74.4,48.50337946572256,50.76923076923077,46.666666666666664,50000.0,1429016.0
