learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.171875,6.084570244032268E-5,1000.0,57.699999999999996,14.984443962086672,17.5438596491228,11.32075471698112,1000.0,2.00701672E8
2000.0,2.59375,1.3480087441469852E-4,2000.0,59.699999999999996,17.892506417831385,20.51282051282051,16.390041493775925,2000.0,2.01052512E8
3000.0,4.125,2.1458285915691196E-4,3000.0,60.5,20.822642719692105,23.892100192678225,19.551934826883905,3000.0,2.0140076E8
4000.0,5.875,3.059069688444853E-4,4000.0,63.5,26.214926821379482,29.94241842610365,24.43064182194617,4000.0,2.01720376E8
5000.0,7.890625,4.112622637896695E-4,5000.0,61.199999999999996,22.645985765266445,23.015873015873016,25.5278310940499,5000.0,2.02045416E8
6000.0,11.421875,5.996053407175673E-4,6000.0,58.8,18.475249719016638,14.522821576763475,15.573770491803272,6000.0,2.06169096E8
7000.0,14.34375,7.556705767638051E-4,7000.0,60.099999999999994,19.698921268716788,17.04781704781704,17.901234567901227,7000.0,2.06465224E8
8000.0,17.421875,9.201492658273007E-4,8000.0,62.9,26.265998887033952,26.38888888888889,24.898785425101213,8000.0,2.06550264E8
9000.0,21.484375,0.0011369414708396006,9000.0,61.8,23.649780343216218,20.582120582120577,21.88139059304703,9000.0,2.0627788E8
10000.0,24.390625,0.001292233394083774,10000.0,63.7,27.404065372339154,27.400000000000002,25.15463917525773,10000.0,2.06546704E8
11000.0,29.171875,0.0015471563118949739,11000.0,60.0,19.979514755777473,19.354838709677413,16.142557651991606,11000.0,2.06096112E8
12000.0,31.921875,0.001693952283110573,12000.0,59.5,18.840928219309845,23.440453686200378,13.090128755364796,12000.0,2.06340184E8
13000.0,34.921875,0.001854315953549101,13000.0,60.9,21.8712534168838,23.031496062992122,18.711018711018706,13000.0,2.06627016E8
14000.0,39.078125,0.002076134031004686,14000.0,62.1,23.98411488627703,23.895582329317268,24.801587301587304,14000.0,2.06299248E8
15000.0,41.9375,0.0022289250391056862,15000.0,63.5,27.23053366933555,29.26356589147287,26.706827309236946,15000.0,2.06551832E8
16000.0,45.078125,0.002396990540987139,16000.0,58.9,18.330524910183446,19.56947162426614,15.60574948665297,16000.0,2.06854448E8
17000.0,49.171875,0.002615576372126169,17000.0,62.1,24.10224368987256,23.74245472837022,22.967479674796746,17000.0,2.06396848E8
18000.0,52.125,0.0027734460520959046,18000.0,59.099999999999994,18.223551617134266,17.540322580645153,16.530612244897952,18000.0,2.0664232E8
19000.0,55.46875,0.002952405295380029,19000.0,59.699999999999996,20.050469381115235,18.58585858585858,16.21621621621621,19000.0,2.06882E8
20000.0,59.5,0.0031677518194838843,20000.0,62.0,24.29947129157054,26.21359223300971,20.33542976939203,20000.0,2.06490704E8
21000.0,62.578125,0.00333247653745477,21000.0,61.6,22.894043564865388,22.58064516129032,22.109533468559835,21000.0,2.06859224E8
22000.0,66.828125,0.0035594626088600815,22000.0,59.9,20.133522410414102,16.28392484342379,20.59405940594059,22000.0,2.06448936E8
23000.0,69.640625,0.003709876810058227,23000.0,59.9,19.350946067704974,21.37254901960784,19.639278557114224,23000.0,2.06727704E8
24000.0,72.8125,0.003879740611656517,24000.0,61.6,23.183714947568877,23.353293413173652,24.705882352941178,24000.0,2.07008008E8
25000.0,76.859375,0.004095974887346124,25000.0,60.0,19.661614721205723,20.634920634920633,17.864476386036955,25000.0,2.065414E8
26000.0,79.6875,0.004247266151263223,26000.0,56.89999999999999,12.512179278986668,12.219959266802432,9.64360587002095,26000.0,2.06784328E8
27000.0,83.109375,0.004430526702781207,27000.0,59.0,18.97905707431398,16.32653061224489,15.811088295687878,27000.0,2.07017576E8
28000.0,87.765625,0.004679347313035072,28000.0,58.199999999999996,16.288496277041002,15.555555555555548,18.359374999999993,28000.0,2.06562952E8
29000.0,90.703125,0.004836448790609008,29000.0,61.7,23.20093682825885,26.62835249042146,23.092369477911646,29000.0,2.067306E8
30000.0,94.90625,0.005060887775519707,30000.0,60.5,20.83533750200416,21.78217821782178,17.536534446764087,30000.0,2.06408872E8
31000.0,97.765625,0.00521375769128402,31000.0,58.8,17.53171626106415,22.264150943396224,18.091451292246514,31000.0,2.06658504E8
32000.0,100.78125,0.0053753222459474465,32000.0,58.9,17.73484599803044,23.46368715083798,16.463414634146332,32000.0,2.0709572E8
33000.0,104.765625,0.005588373317182736,33000.0,61.6,23.214742769388273,25.72533849129594,21.95121951219512,33000.0,2.06693056E8
34000.0,107.6875,0.0057447877205170994,34000.0,62.3,24.68254792747149,21.621621621621617,24.29718875502008,34000.0,2.06927152E8
35000.0,110.96875,0.005920712200362079,35000.0,60.099999999999994,20.722596642929798,20.199999999999996,17.391304347826082,35000.0,2.07247512E8
36000.0,115.25,0.006149762722230257,36000.0,59.9,19.06184401743904,17.48971193415637,19.799999999999997,36000.0,2.06805968E8
37000.0,118.09375,0.006302067701633657,37000.0,60.699999999999996,21.887422483701698,23.391812865497073,21.713147410358562,37000.0,2.0702608E8
38000.0,122.859375,0.006556739255675994,38000.0,62.0,23.741636665021097,25.196850393700785,21.161825726141075,38000.0,2.06567952E8
39000.0,125.703125,0.006708925867084568,39000.0,59.0,18.14014407334643,19.607843137254896,17.670682730923687,39000.0,2.06865184E8
40000.0,128.875,0.006878879471462116,40000.0,57.199999999999996,14.482097186700754,11.752577319587616,13.184584178498977,40000.0,2.07117448E8
41000.0,133.25,0.0071127766502063925,41000.0,60.099999999999994,19.601837672281764,15.999999999999993,18.06981519507186,41000.0,2.06656608E8
42000.0,136.15625,0.0072683205390866425,42000.0,57.99999999999999,15.904130709008268,21.200750469043143,14.460285132382882,42000.0,2.06881832E8
43000.0,139.390625,0.007441633519128016,43000.0,58.5,17.208634241710875,21.40151515151515,13.361169102296442,43000.0,2.0713004E8
44000.0,143.484375,0.00766054751361177,44000.0,59.8,19.119570247268765,17.79141104294478,17.113402061855663,44000.0,2.06706712E8
45000.0,146.5,0.007821994303926152,45000.0,60.9,22.107209167045166,21.4859437751004,17.85714285714285,45000.0,2.06944768E8
46000.0,150.984375,0.008061653128889802,46000.0,54.7,9.996185268779609,12.379110251450689,7.739307535641555,46000.0,2.06582664E8
47000.0,153.84375,0.008214628274597796,47000.0,56.99999999999999,14.833946000760545,16.66666666666666,10.788381742738576,47000.0,2.0680076E8
