learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.921875,1.3202474413750072E-6,1000.0,69.19999999999999,38.2490807533612,39.96101364522416,35.42976939203353,1000.0,2664608.0
2000.0,3.734375,3.464984636391617E-6,2000.0,78.10000000000001,56.11468695143359,56.80473372781065,54.5643153526971,2000.0,4574024.0
3000.0,5.40625,6.214518733840022E-6,3000.0,78.10000000000001,56.17721215031817,57.80346820809249,55.397148676171085,3000.0,6357080.0
4000.0,6.90625,9.361206256370577E-6,4000.0,78.9,57.664866253079836,59.50095969289828,56.31469979296067,4000.0,8108952.0
5000.0,8.484375,1.348214476214101E-5,5000.0,82.69999999999999,65.39861594463777,65.67460317460316,66.79462571976967,5000.0,1.0093856E7
6000.0,10.125,1.8442142269729327E-5,6000.0,81.10000000000001,62.17003867062715,60.78838174273859,61.2704918032787,6000.0,1.1686232E7
7000.0,11.796875,2.4308187550761635E-5,7000.0,81.2,62.402255864648126,60.914760914760926,61.31687242798355,7000.0,1.3562632E7
8000.0,13.546875,3.128596672063901E-5,8000.0,81.8,63.524130190796846,63.888888888888886,63.15789473684209,8000.0,1.54128E7
9000.0,15.265625,3.882110946708256E-5,9000.0,85.2,70.39846071995743,69.23076923076923,69.73415132924335,9000.0,1.6946544E7
10000.0,17.125,4.7681947568586726E-5,10000.0,83.3,66.60187029526345,66.6,65.56701030927834,10000.0,1.8420872E7
11000.0,18.984375,5.7363554822384493E-5,11000.0,83.1,66.1924271036712,65.9274193548387,64.57023060796645,11000.0,2.0127176E7
12000.0,20.84375,6.779045700871698E-5,12000.0,81.8,63.593446820427666,65.59546313799622,60.94420600858368,12000.0,2.1676576E7
13000.0,22.796875,7.960995103025603E-5,13000.0,81.69999999999999,63.37011000976796,63.97637795275589,61.954261954261945,13000.0,2.3392208E7
14000.0,24.859375,9.304165089916853E-5,14000.0,84.3,68.60627874425114,68.47389558232932,68.84920634920636,14000.0,2.5173256E7
15000.0,26.921875,1.0727466226348448E-4,15000.0,82.3,64.58441714354315,65.69767441860465,64.4578313253012,15000.0,2.6675048E7
16000.0,28.984375,1.2235993040829072E-4,16000.0,84.39999999999999,68.7900128040973,69.4716242661448,67.96714579055441,16000.0,2.827232E7
17000.0,31.125,1.3880333397537473E-4,17000.0,85.5,70.97887261926682,70.82494969818913,70.52845528455283,17000.0,2.969296E7
18000.0,33.28125,1.5630353533197197E-4,18000.0,84.2,68.38975828168326,68.14516129032258,67.75510204081631,18000.0,3.1372296E7
19000.0,35.453125,1.7497922471698584E-4,19000.0,83.89999999999999,67.73262572250859,67.47474747474746,66.52806652806652,19000.0,3.3238712E7
20000.0,37.796875,1.9597020236283752E-4,20000.0,85.9,71.72195258914604,72.62135922330097,70.44025157232704,20000.0,3.4619736E7
