learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.59375,9.474257240071893E-7,1000.0,73.2,46.33581763789492,47.758284600389864,43.815513626834374,1000.0,2307072.0
2000.0,2.859375,2.191687817685306E-6,2000.0,77.9,55.72668338769001,56.41025641025642,54.149377593361,2000.0,3800224.0
3000.0,4.296875,4.222522062870363E-6,3000.0,77.3,54.5872844396431,56.26204238921002,53.76782077393075,3000.0,5460960.0
4000.0,5.5,6.438791363810499E-6,4000.0,79.9,59.677419354838726,61.420345489443385,58.385093167701875,4000.0,7120560.0
5000.0,6.703125,9.077592791679004E-6,5000.0,82.39999999999999,64.80351964803519,65.07936507936508,66.21880998080614,5000.0,8478096.0
6000.0,8.03125,1.256580781450288E-5,6000.0,81.39999999999999,62.78690098914817,61.410788381742734,61.88524590163933,6000.0,1.0152352E7
7000.0,9.3125,1.6484257131297554E-5,7000.0,81.5,62.9688938708515,61.53846153846153,61.93415637860081,7000.0,1.1821776E7
8000.0,10.59375,2.0957769851924644E-5,8000.0,80.5,60.95939777368464,61.309523809523824,60.52631578947369,8000.0,1.3496376E7
9000.0,12.046875,2.6616684303412008E-5,9000.0,84.1,68.19872794911795,66.94386694386694,67.4846625766871,9000.0,1.5053328E7
10000.0,13.453125,3.273736827799844E-5,10000.0,84.1,68.20076318168363,68.19999999999999,67.21649484536081,10000.0,1.6824408E7
11000.0,14.921875,3.9687715664816405E-5,11000.0,83.1,66.18160279191879,65.9274193548387,64.57023060796645,11000.0,1.8291992E7
12000.0,16.5,4.780877323355526E-5,12000.0,82.0,64.0107967609717,65.97353497164461,61.3733905579399,12000.0,1.9891776E7
13000.0,17.90625,5.5567414965480575E-5,13000.0,82.69999999999999,65.40166072028542,65.94488188976378,64.03326403326403,13000.0,2.1326792E7
14000.0,19.53125,6.507006861890357E-5,14000.0,85.39999999999999,70.80233581313495,70.68273092369478,71.03174603174602,14000.0,2.2604448E7
15000.0,21.25,7.587606443040488E-5,15000.0,83.1,66.16426946855879,67.24806201550388,66.06425702811244,15000.0,2.4302696E7
16000.0,23.234375,8.91085187645836E-5,16000.0,83.3,66.57754010695186,67.31898238747553,65.70841889117042,16000.0,2.5776208E7
17000.0,25.109375,1.0243789072976345E-4,17000.0,84.0,67.96771145314476,67.80684104627765,67.47967479674796,17000.0,2.7479624E7
18000.0,27.015625,1.1660527424990303E-4,18000.0,83.5,66.9881157216598,66.73387096774192,66.3265306122449,18000.0,2.8728448E7
19000.0,28.96875,1.3188915081425675E-4,19000.0,84.39999999999999,68.73697373905794,68.48484848484848,67.56756756756756,19000.0,3.024864E7
20000.0,30.890625,1.4762900281412941E-4,20000.0,85.5,70.9411849583557,71.84466019417476,69.60167714884695,20000.0,3.1657592E7
21000.0,32.875,1.6477327913485675E-4,21000.0,83.3,66.58609981752409,66.33064516129032,66.12576064908721,21000.0,3.3396256E7
22000.0,34.921875,1.8297702507374602E-4,22000.0,85.0,69.96828651055515,68.6847599164927,70.29702970297029,22000.0,3.4377072E7
23000.0,37.09375,2.0308829459180644E-4,23000.0,83.7,67.38121157786885,68.0392156862745,67.33466933867734,23000.0,3.5793736E7
24000.0,39.1875,2.2331635179903566E-4,24000.0,82.1,64.19999999999999,64.27145708582833,64.90196078431372,24000.0,3.7344936E7
25000.0,41.34375,2.4500162557362476E-4,25000.0,84.0,67.98834775858413,68.25396825396824,67.14579055441477,25000.0,3.88748E7
26000.0,43.625,2.688686667695745E-4,26000.0,82.6,65.1197754836123,64.5621181262729,63.52201257861634,26000.0,4.0441576E7
27000.0,45.8125,2.9257188761322244E-4,27000.0,84.7,69.35808185597897,68.77551020408163,68.58316221765914,27000.0,4.1885304E7
28000.0,48.390625,3.2162059250468805E-4,28000.0,85.1,70.19999999999999,69.8989898989899,70.8984375,28000.0,4.3553712E7
29000.0,50.984375,3.518408155650832E-4,29000.0,84.2,68.39203479276777,69.73180076628353,68.27309236947791,29000.0,4.5037256E7
30000.0,53.6875,3.843367891062776E-4,30000.0,85.2,70.3799768643603,70.6930693069307,69.10229645093945,30000.0,4.6469264E7
31000.0,56.375,4.1767288332468733E-4,31000.0,83.39999999999999,66.80119515697433,68.67924528301886,66.9980119284294,31000.0,4.7947792E7
32000.0,59.0625,4.5194986208419634E-4,32000.0,84.6,69.20036959556485,71.32216014897578,68.69918699186991,32000.0,4.930108E7
33000.0,61.625,4.8542992894201446E-4,33000.0,85.2,70.40710229544909,71.3733075435203,69.91869918699186,33000.0,5.0503888E7
34000.0,64.421875,5.229518538302122E-4,34000.0,85.9,71.80157911156975,70.68607068607068,71.68674698795179,34000.0,5.185784E7
35000.0,67.3125,5.62859668053635E-4,35000.0,85.2,70.36586147241621,70.39999999999999,69.35817805383022,35000.0,5.336648E7
36000.0,70.265625,6.047193552432065E-4,36000.0,85.0,69.99099729918974,69.1358024691358,70.0,36000.0,5.479192E7
37000.0,73.234375,6.479363037700145E-4,37000.0,83.8,67.594166950051,68.42105263157893,67.72908366533864,37000.0,5.6270768E7
38000.0,76.265625,6.933524423058974E-4,38000.0,83.39999999999999,66.78392341893475,67.32283464566929,65.56016597510373,38000.0,5.7914968E7
39000.0,79.203125,7.382761819947823E-4,39000.0,83.39999999999999,66.79362437588017,67.45098039215685,66.66666666666666,39000.0,5.9115368E7
40000.0,82.171875,7.845996947273509E-4,40000.0,84.39999999999999,68.80099836805222,67.83505154639174,68.35699797160242,40000.0,6.031568E7
41000.0,85.1875,8.327429514287765E-4,41000.0,84.8,69.58722663518677,68.0,68.78850102669404,41000.0,6.1710704E7
42000.0,88.21875,8.824182078306978E-4,42000.0,84.8,69.59525686007017,71.48217636022515,69.04276985743381,42000.0,6.3346224E7
43000.0,91.203125,9.321092830699249E-4,43000.0,86.2,72.37215112833736,73.86363636363636,71.18997912317327,43000.0,6.436168E7
44000.0,94.25,9.839112030264612E-4,44000.0,85.39999999999999,70.79824789487368,70.14314928425357,69.89690721649484,44000.0,6.57194E7
45000.0,97.34375,0.0010378313982315982,45000.0,82.1,64.19025975065217,64.05622489959838,62.394957983193265,45000.0,6.737032E7
46000.0,100.40625,0.0010923598069671747,46000.0,84.8,69.59014720769528,70.59961315280464,69.04276985743381,46000.0,6.8825456E7
47000.0,103.609375,0.001150784257463076,47000.0,85.7,71.38557833147907,72.28682170542635,70.33195020746888,47000.0,7.050552E7
48000.0,106.8125,0.0012101480664245578,48000.0,84.1,68.16051904361407,69.71428571428571,66.80584551148225,48000.0,7.163912E7
49000.0,110.125,0.0012727866458266768,49000.0,85.3,70.60564371640645,71.06299212598425,69.43866943866944,49000.0,7.309512E7
50000.0,113.4375,0.0013364709737167385,50000.0,83.89999999999999,67.77628334454158,69.03846153846153,66.45833333333333,50000.0,7.431544E7
