learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.125,8.038245141506195E-8,1000.0,84.6,69.12775895595693,69.98050682261207,67.71488469601677,1000.0,276192.0
2000.0,2.015625,1.4440563973039388E-7,2000.0,91.5,82.95459103050527,83.23471400394477,82.36514522821578,2000.0,277872.0
3000.0,2.890625,2.0764787526180346E-7,3000.0,90.3,80.58679902333587,81.3102119460501,80.24439918533605,3000.0,279384.0
4000.0,3.8125,2.847888067157732E-7,4000.0,86.9,73.74412750332708,74.85604606525912,72.87784679089026,4000.0,323456.0
5000.0,4.765625,3.65527036289374E-7,5000.0,90.9,81.80145588352933,81.94444444444446,82.53358925143954,5000.0,327440.0
6000.0,5.578125,4.358076128280825E-7,6000.0,89.5,79.00923593618808,78.21576763485477,78.48360655737704,6000.0,334360.0
7000.0,6.390625,5.138821951631042E-7,7000.0,88.9,77.81065088757397,76.92307692307693,77.1604938271605,7000.0,371440.0
8000.0,7.109375,5.872560561531119E-7,8000.0,88.1,76.16376892877173,76.3888888888889,75.91093117408907,8000.0,394608.0
9000.0,7.875,6.657605990767478E-7,9000.0,91.7,83.3998671989376,82.74428274428274,83.02658486707567,9000.0,396352.0
10000.0,8.5625,7.373657232771316E-7,10000.0,91.0,81.99913595852601,82.0,81.44329896907217,10000.0,402600.0
11000.0,9.328125,8.208916794198254E-7,11000.0,90.10000000000001,80.19175977206518,80.04032258064517,79.24528301886792,11000.0,421704.0
12000.0,10.109375,9.086057737780113E-7,12000.0,89.8,79.60285560021597,80.71833648393195,78.11158798283262,12000.0,433992.0
13000.0,10.8125,9.876401357663174E-7,13000.0,91.4,82.78016274748511,83.0708661417323,82.12058212058213,13000.0,434496.0
14000.0,11.59375,1.076951707040684E-6,14000.0,91.2,82.4,82.32931726907631,82.53968253968254,14000.0,441896.0
15000.0,12.359375,1.1664101879836782E-6,15000.0,89.9,79.78042745377526,80.4263565891473,79.71887550200803,15000.0,451656.0
16000.0,13.109375,1.2589727864704195E-6,16000.0,91.10000000000001,82.18688955070932,82.58317025440314,81.72484599589322,16000.0,477064.0
17000.0,13.875,1.3585184610241815E-6,17000.0,90.7,81.38436286480645,81.2877263581489,81.09756097560977,17000.0,502584.0
18000.0,14.65625,1.4701348845846948E-6,18000.0,89.8,79.59289832861836,79.43548387096774,79.18367346938776,18000.0,552256.0
19000.0,15.453125,1.5876069664955136E-6,19000.0,89.2,78.35948896333937,78.18181818181819,77.54677754677755,19000.0,569832.0
20000.0,16.171875,1.697053408457173E-6,20000.0,91.2,82.37243048127272,82.91262135922331,81.55136268343817,20000.0,588608.0
21000.0,16.9375,1.8235378795199921E-6,21000.0,88.8,77.60143350825548,77.41935483870968,77.28194726166329,21000.0,638592.0
