learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.34375,1.8926091595656342E-8,1000.0,83.1,66.00199562250546,67.05653021442495,64.57023060796645,1000.0,212824.0
2000.0,0.515625,2.8456367241839568E-8,2000.0,86.0,71.79284666591448,72.38658777120315,70.95435684647302,2000.0,214336.0
3000.0,0.671875,3.718137223687437E-8,3000.0,89.0,77.99075611756938,78.8053949903661,77.59674134419552,3000.0,215848.0
4000.0,0.96875,6.052173881067171E-8,4000.0,72.5,44.65509052414647,47.216890595009595,43.064182194616976,4000.0,303904.0
5000.0,1.109375,7.11286298206283E-8,5000.0,79.4,58.67022450494554,59.12698412698414,60.46065259117084,5000.0,291560.0
6000.0,1.265625,8.32707478871776E-8,6000.0,87.5,75.01539051944003,74.06639004149378,74.38524590163934,6000.0,300384.0
7000.0,1.46875,1.0034903728713592E-7,7000.0,87.7,75.38818632943813,74.42827442827443,74.69135802469135,7000.0,325000.0
8000.0,1.765625,1.2638545336408748E-7,8000.0,84.0,67.91786974655116,68.25396825396824,67.61133603238866,8000.0,339008.0
9000.0,1.953125,1.4364130846742128E-7,9000.0,86.6,73.20053598928021,72.14137214137214,72.59713701431492,9000.0,355744.0
10000.0,2.140625,1.627947333165341E-7,10000.0,84.8,69.6,69.6,68.65979381443297,10000.0,394864.0
11000.0,2.34375,1.8298684153705836E-7,11000.0,84.1,68.19083896162094,67.94354838709677,66.66666666666666,11000.0,384256.0
12000.0,2.53125,2.0361718876908224E-7,12000.0,81.69999999999999,63.446788111217636,65.40642722117201,60.729613733905566,12000.0,425312.0
13000.0,2.734375,2.2761339399342736E-7,13000.0,83.39999999999999,66.65273849318591,67.32283464566929,65.48856548856547,13000.0,456648.0
14000.0,2.953125,2.538692529520227E-7,14000.0,86.1,72.15210161477741,72.08835341365462,72.42063492063492,14000.0,463960.0
15000.0,3.1875,2.8396697921885385E-7,15000.0,84.8,69.65740818371641,70.54263565891472,69.47791164658635,15000.0,496392.0
16000.0,3.484375,3.213952489507695E-7,16000.0,86.3,72.58157481827789,73.18982387475538,71.86858316221766,16000.0,487336.0
17000.0,3.671875,3.4468258187795683E-7,17000.0,87.1,74.1696234772092,74.04426559356136,73.78048780487805,17000.0,480088.0
18000.0,3.875,3.7114772971512546E-7,18000.0,86.9,73.79371049051773,73.58870967741935,73.26530612244898,18000.0,503632.0
19000.0,4.046875,3.9456612689213623E-7,19000.0,87.4,74.76001987147642,74.54545454545455,73.8045738045738,19000.0,526680.0
20000.0,4.21875,4.1729870847322877E-7,20000.0,85.8,71.41856505094339,72.42718446601941,70.23060796645701,20000.0,511256.0
21000.0,4.421875,4.473312744974262E-7,21000.0,81.8,63.59999999999999,63.30645161290322,63.08316430020283,21000.0,571520.0
22000.0,4.609375,4.746640398580995E-7,22000.0,81.3,62.619736778980695,60.960334029227546,62.97029702970296,22000.0,563488.0
23000.0,4.78125,4.986899956646893E-7,23000.0,81.39999999999999,62.7857097125296,63.52941176470587,62.72545090180359,23000.0,540344.0
24000.0,4.921875,5.186747229244146E-7,24000.0,83.6,67.18936935567123,67.26546906187623,67.84313725490195,24000.0,549336.0
25000.0,5.046875,5.376662011258304E-7,25000.0,85.8,71.5185430330746,71.82539682539682,70.84188911704312,25000.0,587288.0
26000.0,5.1875,5.598869756795466E-7,26000.0,83.8,67.44124350332218,67.0061099796334,66.0377358490566,26000.0,610800.0
27000.0,5.359375,5.863819387741387E-7,27000.0,88.2,76.35147322305372,75.91836734693878,75.7700205338809,27000.0,595872.0
28000.0,5.625,6.294803784435822E-7,28000.0,86.2,72.38309845625523,72.12121212121212,73.046875,28000.0,627184.0
29000.0,5.890625,6.740251814739572E-7,29000.0,81.2,62.25733271767282,63.98467432950192,62.24899598393575,29000.0,648232.0
30000.0,6.109375,7.112637265688844E-7,30000.0,84.1,68.06715938303341,68.51485148514851,66.80584551148225,30000.0,658032.0
31000.0,6.375,7.580514647997916E-7,31000.0,85.6,71.21209092181283,72.83018867924528,71.37176938369781,31000.0,680872.0
32000.0,6.5625,7.918821453737716E-7,32000.0,88.2,76.3963178255808,78.02607076350094,76.01626016260163,32000.0,697448.0
33000.0,6.75,8.264380934027334E-7,33000.0,84.8,69.65098634294385,70.59961315280464,69.10569105691057,33000.0,712400.0
34000.0,6.9375,8.624620386399329E-7,34000.0,83.8,67.61658031088082,66.32016632016631,67.46987951807229,34000.0,742664.0
35000.0,7.125,9.000835901436707E-7,35000.0,87.0,73.97001345550073,74.0,73.08488612836439,35000.0,775600.0
36000.0,7.359375,9.500980377197266E-7,36000.0,83.7,67.18737418471696,66.46090534979423,67.39999999999999,36000.0,824872.0
37000.0,7.53125,9.876339916243321E-7,37000.0,84.3,68.60753419179396,69.39571150097466,68.72509960159363,37000.0,844184.0
38000.0,7.734375,1.0324600346696873E-6,38000.0,86.4,72.82510959873076,73.22834645669292,71.78423236514523,38000.0,853040.0
39000.0,7.90625,1.0723440532779527E-6,39000.0,86.3,72.59144853194196,73.13725490196077,72.48995983935743,39000.0,896992.0
40000.0,8.03125,1.0993185181481141E-6,40000.0,86.4,72.81478875491732,71.95876288659794,72.41379310344827,40000.0,834152.0
41000.0,8.1875,1.133401043868313E-6,41000.0,84.89999999999999,69.8289641943734,68.21052631578947,68.99383983572895,41000.0,843168.0
42000.0,8.390625,1.1785869396084712E-6,42000.0,87.0,74.00904485239137,75.60975609756098,73.5234215885947,42000.0,859888.0
43000.0,8.578125,1.221015667801516E-6,43000.0,86.8,73.65690109363774,75.0,72.44258872651356,43000.0,874704.0
44000.0,8.765625,1.2653664129579232E-6,44000.0,83.5,67.13802031467834,66.25766871165644,65.97938144329896,44000.0,914328.0
45000.0,8.953125,1.3097090090418027E-6,45000.0,83.89999999999999,67.756148361772,67.67068273092369,66.17647058823528,45000.0,914160.0
46000.0,9.140625,1.354781529193537E-6,46000.0,85.8,71.5846557140856,72.5338491295938,71.07942973523421,46000.0,929208.0
47000.0,9.34375,1.4032607497130001E-6,47000.0,89.5,78.98335481701508,79.65116279069768,78.21576763485477,47000.0,922560.0
48000.0,9.53125,1.4491621469561424E-6,48000.0,86.3,72.56378419513759,73.90476190476191,71.39874739039665,48000.0,946296.0
49000.0,9.8125,1.5162016562600102E-6,49000.0,83.39999999999999,66.8195101280447,67.32283464566929,65.48856548856547,49000.0,921384.0
50000.0,10.109375,1.5904394806259206E-6,50000.0,81.8,63.55801883770103,64.99999999999999,62.08333333333332,50000.0,966616.0
