learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.28125,4.544854164123535E-9,1000.0,56.99999999999999,12.456788263509132,16.179337231968805,9.853249475890971,1000.0,62464.0
2000.0,0.421875,6.817281246185303E-9,2000.0,65.4,29.105333901583464,31.75542406311638,28.215767634854778,2000.0,62464.0
3000.0,0.46875,7.574756940205891E-9,3000.0,60.8,22.152715718399367,24.470134874759154,20.162932790224026,3000.0,62464.0
4000.0,0.65625,1.0604659716288249E-8,4000.0,65.8,33.099900236693344,34.3570057581574,29.192546583850937,4000.0,62464.0
5000.0,0.734375,1.1867442582216529E-8,5000.0,86.6,73.2294476076316,73.4126984126984,74.28023032629558,5000.0,62480.0
6000.0,0.8125,1.3130225448144808E-8,6000.0,84.39999999999999,69.06136955004125,67.63485477178422,68.0327868852459,6000.0,62480.0
7000.0,0.875,1.4140193040172261E-8,7000.0,84.6,68.97850653667183,67.98336798336798,68.31275720164608,7000.0,62464.0
8000.0,1.03125,1.666511202024089E-8,8000.0,80.80000000000001,61.98923028191322,61.90476190476192,61.13360323886641,8000.0,62464.0
9000.0,1.171875,1.893753910230266E-8,9000.0,83.39999999999999,66.81632636742721,65.48856548856547,66.05316973415131,9000.0,62464.0
10000.0,1.234375,1.994750669433011E-8,10000.0,83.89999999999999,67.8295967709707,67.8,66.8041237113402,10000.0,62464.0
11000.0,1.296875,2.0957474286357563E-8,11000.0,85.3,70.68723478926714,70.36290322580645,69.18238993710692,11000.0,62464.0
12000.0,1.375,2.2219933776391877E-8,12000.0,91.10000000000001,82.18004164664426,83.17580340264651,80.90128755364807,12000.0,62464.0
13000.0,1.46875,2.3734885164433054E-8,13000.0,89.8,79.63909294155222,79.92125984251969,78.79417879417879,13000.0,62464.0
14000.0,1.546875,2.4997668030361333E-8,14000.0,89.4,78.74558870709015,78.714859437751,78.96825396825398,14000.0,62480.0
15000.0,1.609375,2.6007894323103957E-8,15000.0,88.6,77.2450547915128,77.90697674418605,77.10843373493977,15000.0,62480.0
16000.0,1.75,2.8280321405165725E-8,16000.0,83.0,66.12790104565161,66.73189823874755,65.0924024640657,16000.0,62464.0
17000.0,1.890625,3.0552748487227494E-8,17000.0,81.10000000000001,62.49196256340645,61.9718309859155,61.585365853658544,17000.0,62464.0
18000.0,2.0625,3.333087079226971E-8,18000.0,79.4,58.8715634795456,58.46774193548387,57.9591836734694,18000.0,62480.0
19000.0,2.171875,3.509831407831775E-8,19000.0,76.9,54.32941343941036,53.333333333333336,51.975051975051976,19000.0,62464.0
20000.0,2.21875,3.5855983797874713E-8,20000.0,76.6,53.94988015161116,54.563106796116514,50.943396226415096,20000.0,62480.0
21000.0,2.296875,3.711844328790903E-8,21000.0,75.6,50.863513339347854,50.806451612903224,50.50709939148072,21000.0,62464.0
22000.0,2.375,3.838090277794334E-8,22000.0,73.1,46.795044225383315,43.84133611691022,46.73267326732673,22000.0,62464.0
23000.0,2.453125,3.9643362267977656E-8,23000.0,71.7,42.46096291476902,44.509803921568626,43.286573146292575,23000.0,62464.0
24000.0,2.546875,4.115831365601883E-8,24000.0,74.0,47.951907562587834,48.10379241516966,49.01960784313725,24000.0,62464.0
25000.0,2.609375,4.2168281248046284E-8,25000.0,73.0,45.27433771814257,46.42857142857142,44.558521560574945,25000.0,62464.0
26000.0,2.6875,4.34307407380806E-8,26000.0,76.0,50.97618668268111,51.12016293279022,49.685534591194966,26000.0,62464.0
27000.0,2.75,4.444070833010805E-8,27000.0,74.6,49.941861610926075,48.16326530612245,47.84394250513347,27000.0,62464.0
28000.0,2.8125,4.54506759221355E-8,28000.0,78.4,56.70700665028482,56.363636363636374,57.812500000000014,28000.0,62464.0
29000.0,2.859375,4.620815161615609E-8,29000.0,75.8,51.22953958266997,53.639846743295024,51.405622489959846,29000.0,62464.0
30000.0,2.9375,4.7470611106190403E-8,30000.0,74.1,47.589522761121536,48.71287128712871,45.929018789144045,30000.0,62464.0
31000.0,3.03125,4.898556249423158E-8,31000.0,74.0,48.146227638060665,50.943396226415096,48.31013916500994,31000.0,62464.0
32000.0,3.171875,5.125857165290248E-8,32000.0,76.5,52.88692862870891,56.238361266294234,52.235772357723576,32000.0,62480.0
33000.0,3.390625,5.4793458224998566E-8,33000.0,74.5,49.264231880367056,50.67698259187621,48.170731707317074,33000.0,62464.0
34000.0,3.515625,5.681339340905347E-8,34000.0,77.10000000000001,54.27133671472504,52.390852390852395,54.01606425702812,34000.0,62464.0
35000.0,3.671875,5.93383123891221E-8,35000.0,78.4,57.264957264957275,56.800000000000004,55.27950310559007,35000.0,62464.0
36000.0,3.71875,6.009578808314269E-8,36000.0,79.10000000000001,57.73850446879929,56.99588477366255,58.20000000000001,36000.0,62464.0
37000.0,3.796875,6.1358247573177E-8,37000.0,79.3,58.96439616208073,59.64912280701755,58.76494023904383,37000.0,62464.0
38000.0,3.859375,6.236821516520445E-8,38000.0,83.2,66.20819773031728,66.9291338582677,65.14522821576763,38000.0,62464.0
39000.0,3.921875,6.33781827572319E-8,39000.0,85.6,71.22670162089581,71.76470588235294,71.08433734939759,39000.0,62464.0
40000.0,4.03125,6.51460787695315E-8,40000.0,84.5,69.05891183187211,68.04123711340205,68.55983772819472,40000.0,62480.0
41000.0,4.125,6.666103015757267E-8,41000.0,82.5,64.7163192064196,63.15789473684209,64.06570841889116,41000.0,62464.0
42000.0,4.203125,6.792348964760699E-8,42000.0,81.10000000000001,62.13183730715288,64.54033771106943,61.50712830957231,42000.0,62464.0
43000.0,4.265625,6.893345723963444E-8,43000.0,83.0,65.67875312929014,67.8030303030303,64.50939457202504,43000.0,62464.0
44000.0,4.328125,6.994342483166189E-8,44000.0,85.1,69.9802554700407,69.52965235173824,69.27835051546391,44000.0,62464.0
45000.0,4.375,7.070090052568248E-8,45000.0,82.3,64.85808224400006,64.4578313253012,62.815126050420155,45000.0,62464.0
46000.0,4.484375,7.246834381173052E-8,46000.0,82.5,65.14305291085385,66.15087040618954,64.35845213849286,46000.0,62464.0
47000.0,4.5625,7.373080330176483E-8,47000.0,83.5,67.28501296703122,68.02325581395348,65.76763485477177,47000.0,62464.0
48000.0,4.640625,7.499326279179915E-8,48000.0,83.8,67.7239400701307,69.14285714285714,66.1795407098121,48000.0,62464.0
49000.0,4.671875,7.549824658781287E-8,49000.0,84.89999999999999,69.75572237756074,70.2755905511811,68.6070686070686,49000.0,62464.0
50000.0,4.765625,7.70135860269268E-8,50000.0,84.6,69.2923685553854,70.38461538461537,67.91666666666666,50000.0,62480.0
