learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,2.078125,1.6017323489197428E-6,1000.0,69.39999999999999,38.720336437368566,40.35087719298245,35.84905660377357,1000.0,2979760.0
2000.0,3.890625,4.194249308461116E-6,2000.0,79.0,57.87260676285088,58.579881656804744,56.431535269709556,2000.0,5528992.0
3000.0,5.828125,8.17195130770819E-6,3000.0,81.2,62.38570656849603,63.77649325626206,61.71079429735236,3000.0,7935840.0
4000.0,7.953125,1.3929675915278493E-5,4000.0,82.69999999999999,65.29449526560744,66.79462571976967,64.18219461697721,4000.0,1.047356E7
5000.0,9.890625,2.0366778092769284E-5,5000.0,83.1,66.20675864827034,66.46825396825396,67.56238003838772,5000.0,1.2842544E7
6000.0,11.84375,2.8034444969509626E-5,6000.0,80.80000000000001,61.57294735493789,60.165975103734446,60.655737704918046,6000.0,1.517524E7
7000.0,13.84375,3.7144369206443015E-5,7000.0,81.8,63.606550820852235,62.16216216216215,62.5514403292181,7000.0,1.7607072E7
8000.0,15.875,4.761196702020243E-5,8000.0,83.1,66.14854578960019,66.46825396825396,65.78947368421052,8000.0,1.9919848E7
9000.0,17.921875,5.922787172797447E-5,9000.0,84.0,67.99705572912707,66.73596673596673,67.280163599182,9000.0,2.1936336E7
10000.0,20.21875,7.367162063019351E-5,10000.0,83.5,67.0013199472021,67.0,65.97938144329896,10000.0,2.430776E7
11000.0,22.4375,8.896528953401787E-5,11000.0,84.2,68.40606603532122,68.14516129032258,66.87631027253667,11000.0,2.6644384E7
12000.0,24.828125,1.0686390748661427E-4,12000.0,84.6,69.20184788912664,70.88846880907373,66.9527896995708,12000.0,2.8940792E7
13000.0,27.25,1.2645698595507485E-4,13000.0,86.0,71.98924386964595,72.44094488188976,70.89397089397089,13000.0,3.1271832E7
14000.0,29.671875,1.4739636525822183E-4,14000.0,85.39999999999999,70.79065300896286,70.68273092369478,71.03174603174602,14000.0,3.3420616E7
15000.0,32.21875,1.7077979043177846E-4,15000.0,84.7,69.39730696301274,70.34883720930232,69.27710843373494,15000.0,3.5489744E7
16000.0,34.78125,1.9574548033738715E-4,16000.0,86.0,71.98565665620798,72.6027397260274,71.25256673511294,16000.0,3.7660152E7
17000.0,37.40625,2.2281740009525997E-4,17000.0,84.39999999999999,68.77552000768603,68.61167002012071,68.29268292682926,17000.0,3.9865032E7
18000.0,40.109375,2.5235801278742856E-4,18000.0,84.89999999999999,69.7963755650678,69.55645161290323,69.18367346938776,18000.0,4.2243096E7
19000.0,43.046875,2.860937279506793E-4,19000.0,85.8,71.56314583700475,71.31313131313131,70.47817047817048,19000.0,4.4392992E7
20000.0,45.984375,3.215063849994395E-4,20000.0,86.4,72.76241212873765,73.59223300970874,71.48846960167714,20000.0,4.6599688E7
21000.0,49.09375,3.608532974289523E-4,21000.0,85.7,71.39908477071266,71.16935483870968,70.99391480730223,21000.0,4.891476E7
22000.0,52.21875,4.020949191827741E-4,22000.0,87.1,74.17148531979305,73.06889352818371,74.45544554455445,22000.0,5.1013848E7
23000.0,55.484375,4.467370346214415E-4,23000.0,85.9,71.7981950844854,72.35294117647058,71.7434869739479,23000.0,5.2842192E7
24000.0,58.953125,4.960952022682048E-4,24000.0,84.8,69.60012159951359,69.66067864271457,70.19607843137254,24000.0,5.5003256E7
25000.0,62.53125,5.491934523969475E-4,25000.0,85.5,71.0090451779045,71.23015873015872,70.2258726899384,25000.0,5.7362368E7
26000.0,66.203125,6.056075606546882E-4,26000.0,85.9,71.75322333784747,71.28309572301426,70.44025157232704,26000.0,5.938848E7
27000.0,69.890625,6.642272887337539E-4,27000.0,84.5,68.92915848133744,68.36734693877551,68.17248459958931,27000.0,6.1448904E7
28000.0,73.421875,7.218250740940373E-4,28000.0,85.3,70.6,70.3030303030303,71.2890625,28000.0,6.3049216E7
29000.0,76.953125,7.811204814222745E-4,29000.0,82.39999999999999,64.7759067201966,66.28352490421456,64.6586345381526,29000.0,6.4907512E7
30000.0,80.453125,8.418945693281583E-4,30000.0,84.0,67.98834775858413,68.31683168316832,66.59707724425886,30000.0,6.7120128E7
31000.0,84.125,9.073744696797804E-4,31000.0,85.5,70.99651958234988,72.64150943396226,71.17296222664015,31000.0,6.8932256E7
32000.0,87.859375,9.757710573871413E-4,32000.0,86.0,72.00705422233597,73.9292364990689,71.54471544715447,32000.0,7.0797656E7
33000.0,91.640625,0.0010472715363721364,33000.0,85.5,71.00765397934946,71.95357833655706,70.52845528455283,33000.0,7.3093024E7
34000.0,95.5,0.0011220450457444207,34000.0,85.3,70.60211664760138,69.43866943866944,70.48192771084338,34000.0,7.4891608E7
35000.0,99.28125,0.001197297007181785,35000.0,87.0,73.96667734700416,74.0,73.08488612836439,35000.0,7.6928064E7
36000.0,103.1875,0.0012770904213215948,36000.0,85.2,70.39111733520056,69.54732510288065,70.39999999999999,36000.0,7.8960408E7
37000.0,107.046875,0.0013581807058653794,37000.0,84.39999999999999,68.73058189179979,69.59064327485379,68.92430278884461,37000.0,8.121836E7
38000.0,111.0625,0.0014448784344777879,38000.0,86.2,72.41092527359166,72.83464566929133,71.36929460580913,38000.0,8.345588E7
39000.0,115.6875,0.0015470700060379588,39000.0,86.4,72.79782382590608,73.33333333333333,72.69076305220882,39000.0,8.5409408E7
40000.0,120.328125,0.0016517929996027509,40000.0,85.2,70.39526324211873,69.48453608247422,69.97971602434076,40000.0,8.7230416E7
41000.0,125.234375,0.0017650495719863102,41000.0,85.9,71.78306984190515,70.3157894736842,71.04722792607802,41000.0,8.9231072E7
42000.0,129.984375,0.0018774524420991333,42000.0,84.39999999999999,68.7973789798343,70.73170731707317,68.22810590631364,42000.0,9.1471576E7
43000.0,134.6875,0.001991274700913992,43000.0,85.7,71.40205905174827,72.91666666666666,70.14613778705636,43000.0,9.354984E7
44000.0,139.53125,0.002110708563704975,44000.0,87.2,74.39231769530859,73.8241308793456,73.6082474226804,44000.0,9.531212E7
45000.0,144.46875,0.0022351487355384355,45000.0,83.89999999999999,67.75175662791536,67.67068273092369,66.17647058823528,45000.0,9.7421736E7
46000.0,149.546875,0.002365817008346009,46000.0,84.89999999999999,69.79565057368261,70.79303675048355,69.24643584521385,46000.0,9.9464736E7
47000.0,154.609375,0.0024979921614673613,47000.0,87.8,75.59297077558337,76.35658914728683,74.68879668049793,47000.0,1.00922304E8
48000.0,159.890625,0.0026394526108116326,48000.0,86.4,72.76732078494193,74.09523809523809,71.60751565762004,48000.0,1.03538216E8
49000.0,165.140625,0.002782937220634065,49000.0,86.8,73.59968319619836,74.01574803149606,72.55717255717255,49000.0,1.05644864E8
50000.0,170.3125,0.0029268153162492028,50000.0,86.7,73.3787029623699,74.42307692307692,72.29166666666667,50000.0,1.075348E8
