learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.453125,6.717499733592073E-7,1000.0,72.8,45.614140323515876,46.978557504873294,42.97693920335429,1000.0,1796120.0
2000.0,2.53125,1.505885641866674E-6,2000.0,80.60000000000001,61.11601058285899,61.73570019723867,59.75103734439835,2000.0,2990680.0
3000.0,3.921875,2.9734038980677725E-6,3000.0,81.3,62.59102184524284,63.96917148362235,61.914460285132364,3000.0,4079208.0
4000.0,4.984375,4.4800494409476716E-6,4000.0,82.39999999999999,64.77054817827704,66.21880998080614,63.561076604554856,4000.0,5481312.0
5000.0,6.390625,6.943901147072513E-6,5000.0,83.7,67.39086944344416,67.65873015873015,68.71401151631477,5000.0,6772584.0
6000.0,7.640625,9.545542998239398E-6,6000.0,82.89999999999999,65.79096881576734,64.52282157676348,64.95901639344261,6000.0,8045256.0
7000.0,9.015625,1.2856165542163782E-5,7000.0,81.69999999999999,63.38681925493177,61.954261954261945,62.34567901234567,7000.0,9306992.0
8000.0,10.671875,1.7373341058070462E-5,8000.0,84.8,69.55128205128204,69.84126984126983,69.23076923076923,8000.0,1.0542496E7
9000.0,12.046875,2.155224029492173E-5,9000.0,84.8,69.59793265942083,68.3991683991684,68.9161554192229,9000.0,1.1747936E7
10000.0,13.34375,2.589153287570096E-5,10000.0,84.1,68.19516566518111,68.19999999999999,67.21649484536081,10000.0,1.2933712E7
11000.0,14.734375,3.0957914584885454E-5,11000.0,83.2,66.38924455825862,66.12903225806451,64.77987421383646,11000.0,1.408284E7
12000.0,16.1875,3.670756517547286E-5,12000.0,84.39999999999999,68.81808551040396,70.51039697542532,66.52360515021458,12000.0,1.5294696E7
13000.0,17.640625,4.2875727974913185E-5,13000.0,85.0,69.9711723254324,70.47244094488188,68.81496881496881,13000.0,1.6407984E7
14000.0,19.046875,4.923897491405821E-5,14000.0,85.1,70.2011919523219,70.08032128514056,70.43650793650794,14000.0,1.749116E7
15000.0,20.515625,5.641319562629279E-5,15000.0,85.39999999999999,70.74722799931075,71.70542635658914,70.68273092369478,15000.0,1.8881184E7
16000.0,21.921875,6.365837885015126E-5,16000.0,86.6,73.19142125480154,73.77690802348337,72.48459958932239,16000.0,1.9915408E7
17000.0,23.390625,7.160911161918193E-5,17000.0,85.9,71.78261809274514,71.62977867203219,71.34146341463415,17000.0,2.0924816E7
18000.0,25.015625,8.092088864133175E-5,18000.0,85.5,70.99512718136647,70.76612903225806,70.40816326530613,18000.0,2.21504E7
19000.0,26.625,9.05725091191319E-5,19000.0,85.39999999999999,70.74945505834081,70.5050505050505,69.64656964656965,19000.0,2.3181704E7
20000.0,28.421875,1.018664920896602E-4,20000.0,87.6,75.15657369081154,75.92233009708738,74.0041928721174,20000.0,2.4295824E7
21000.0,30.40625,1.1486885470933175E-4,21000.0,85.6,71.2,70.96774193548386,70.79107505070994,21000.0,2.5328E7
22000.0,32.265625,1.276588122709654E-4,22000.0,87.2,74.38770609892748,73.2776617954071,74.65346534653466,22000.0,2.6589152E7
23000.0,33.9375,1.396022920703722E-4,23000.0,85.8,71.57453077957851,72.15686274509804,71.54308617234469,23000.0,2.7614008E7
24000.0,35.921875,1.5433029326636133E-4,24000.0,84.5,69.00173590278943,69.06187624750498,69.6078431372549,24000.0,2.8689464E7
25000.0,37.765625,1.6861639616157234E-4,25000.0,84.7,69.39044982034393,69.64285714285714,68.58316221765914,25000.0,2.9951192E7
26000.0,39.609375,1.8342580655977746E-4,26000.0,85.6,71.14956944739403,70.67209775967413,69.81132075471697,26000.0,3.104832E7
27000.0,41.46875,1.9885383688637774E-4,27000.0,85.5,70.99559132988213,70.40816326530613,70.2258726899384,27000.0,3.2073464E7
28000.0,43.40625,2.1535786373230313E-4,28000.0,86.2,72.40298047810836,72.12121212121212,73.046875,28000.0,3.292688E7
29000.0,45.515625,2.3396535698945318E-4,29000.0,84.39999999999999,68.794382988938,70.11494252873563,68.67469879518072,29000.0,3.4098592E7
30000.0,47.75,2.544479785784561E-4,30000.0,84.89999999999999,69.81569583816415,70.0990099009901,68.4759916492693,30000.0,3.5434952E7
31000.0,49.8125,2.739630150285342E-4,31000.0,84.8,69.59671644537609,71.32075471698113,69.78131212723657,31000.0,3.6574448E7
32000.0,51.984375,2.9515950326135167E-4,32000.0,86.3,72.60328760548734,74.487895716946,72.15447154471545,32000.0,3.7725192E7
33000.0,54.265625,3.180901525128218E-4,33000.0,85.5,70.99651958234988,71.95357833655706,70.52845528455283,33000.0,3.8854904E7
34000.0,56.53125,3.413954648163376E-4,34000.0,87.0,74.00124794009888,72.97297297297297,73.89558232931726,34000.0,3.9762096E7
35000.0,58.953125,3.670395940813856E-4,35000.0,87.5,74.97597693786034,75.0,74.12008281573499,35000.0,4.0929704E7
36000.0,61.375,3.934227557814058E-4,36000.0,87.6,75.2163572042452,74.48559670781893,75.2,36000.0,4.2109248E7
