learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.171875,4.842198298623164E-7,1000.0,72.8,45.4780890070197,46.978557504873294,42.97693920335429,1000.0,1606408.0
2000.0,1.96875,1.0409625247120856E-6,2000.0,78.8,57.51434892743772,58.1854043392505,56.016597510373444,2000.0,2700640.0
3000.0,2.859375,1.9546486631346248E-6,3000.0,81.0,61.999239984799715,63.391136801541435,61.30346232179227,3000.0,3965560.0
4000.0,3.65625,2.9811279576582215E-6,4000.0,82.0,63.99179012814922,65.4510556621881,62.73291925465837,4000.0,4979232.0
5000.0,4.78125,4.729888654158761E-6,5000.0,85.1,70.1904609475032,70.43650793650794,71.40115163147792,5000.0,6008696.0
6000.0,5.640625,6.303308990835729E-6,6000.0,82.39999999999999,64.76278950571803,63.485477178423224,63.93442622950819,6000.0,7077248.0
7000.0,6.515625,8.179075181639442E-6,7000.0,82.69999999999999,65.437327686099,64.03326403326403,64.40329218106994,7000.0,8286536.0
8000.0,7.53125,1.0635181226664118E-5,8000.0,83.1,66.12683396135652,66.46825396825396,65.78947368421052,8000.0,9347944.0
9000.0,8.765625,1.397626493902256E-5,9000.0,85.7,71.39954239267828,70.27027027027026,70.75664621676891,9000.0,1.0462672E7
10000.0,9.734375,1.6847141022380026E-5,10000.0,84.5,68.99975199801598,69.0,68.04123711340205,10000.0,1.1455264E7
11000.0,10.78125,2.025457108781362E-5,11000.0,84.7,69.38138388139988,69.15322580645162,67.9245283018868,11000.0,1.258156E7
12000.0,11.890625,2.4172269978508762E-5,12000.0,84.1,68.2076301687595,69.94328922495274,65.87982832618025,12000.0,1.3650704E7
13000.0,12.984375,2.829541319644906E-5,13000.0,84.6,69.17040358744394,69.68503937007874,67.98336798336798,13000.0,1.4571784E7
14000.0,14.0625,3.265006616452915E-5,14000.0,84.7,69.39877595103803,69.27710843373494,69.64285714285714,14000.0,1.5613016E7
15000.0,15.140625,3.7260470012875475E-5,15000.0,85.9,71.77018931992184,72.67441860465115,71.68674698795179,15000.0,1.6529976E7
16000.0,16.21875,4.214278600152788E-5,16000.0,85.9,71.7864574995998,72.40704500978474,71.04722792607802,16000.0,1.750488E7
17000.0,17.390625,4.774261763991994E-5,17000.0,85.7,71.36632680031717,71.22736418511066,70.9349593495935,17000.0,1.847124E7
18000.0,18.578125,5.3737021969734785E-5,18000.0,85.39999999999999,70.79894876215543,70.56451612903226,70.20408163265306,18000.0,1.9512408E7
19000.0,19.765625,6.0007944638426925E-5,19000.0,83.8,67.55327671847459,67.27272727272727,66.32016632016631,19000.0,2.0412688E7
20000.0,21.0,6.687423987184753E-5,20000.0,86.5,72.94524116812428,73.7864077669903,71.69811320754717,20000.0,2.1501944E7
21000.0,22.4375,7.524647022364659E-5,21000.0,85.6,71.20184308204274,70.96774193548386,70.79107505070994,21000.0,2.251312E7
22000.0,23.84375,8.375808043638243E-5,22000.0,85.8,71.5645125116145,70.35490605427974,71.88118811881188,22000.0,2.3396536E7
23000.0,25.28125,9.28907802962284E-5,23000.0,86.1,72.194661374984,72.74509803921568,72.1442885771543,23000.0,2.455804E7
24000.0,26.734375,1.0249635139997634E-4,24000.0,85.1,70.2014303313441,70.25948103792415,70.7843137254902,24000.0,2.5551688E7
25000.0,28.140625,1.1210391582507225E-4,25000.0,85.8,71.60738208065902,71.82539682539682,70.84188911704312,25000.0,2.6409072E7
26000.0,29.640625,1.227981718774471E-4,26000.0,84.1,68.22338758673617,67.61710794297352,66.66666666666666,26000.0,2.7558888E7
27000.0,31.1875,1.3423049874189825E-4,27000.0,85.7,71.33464298600809,70.81632653061224,70.63655030800821,27000.0,2.8567952E7
28000.0,32.734375,1.460215448686439E-4,28000.0,85.7,71.40343158820941,71.1111111111111,72.0703125,28000.0,2.9464528E7
29000.0,34.203125,1.575834961194131E-4,29000.0,84.6,69.20110876008462,70.49808429118774,69.07630522088353,29000.0,3.0428856E7
30000.0,35.875,1.711911354666679E-4,30000.0,85.5,71.00301568636863,71.28712871287128,69.72860125260961,30000.0,3.146164E7
31000.0,37.53125,1.8512189494989187E-4,31000.0,84.5,68.99479112490899,70.75471698113208,69.18489065606362,31000.0,3.2512568E7
32000.0,39.1875,1.9945999520132313E-4,32000.0,86.5,73.00194386004208,74.86033519553074,72.5609756097561,32000.0,3.3463072E7
33000.0,40.890625,2.1468642138643184E-4,33000.0,87.0,74.01122714987125,74.85493230174082,73.57723577235772,33000.0,3.455824E7
34000.0,42.5625,2.2998308817881878E-4,34000.0,84.7,69.40367155941286,68.19126819126818,69.27710843373494,34000.0,3.5366768E7
35000.0,44.265625,2.460418106380125E-4,35000.0,86.6,73.15877187359786,73.2,72.2567287784679,35000.0,3.6447424E7
36000.0,46.03125,2.6302008029435654E-4,36000.0,86.2,72.395031105599,71.60493827160494,72.39999999999999,36000.0,3.7170408E7
37000.0,47.84375,2.808642038790923E-4,37000.0,84.39999999999999,68.74561737423114,69.59064327485379,68.92430278884461,37000.0,3.8055688E7
