learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.28125,5.837333931898077E-7,1000.0,73.0,45.969094321952156,47.368421052631575,43.39622641509433,1000.0,1770288.0
2000.0,2.25,1.3247938154058322E-6,2000.0,79.80000000000001,59.51838907236991,60.1577909270217,58.09128630705395,2000.0,2956952.0
3000.0,3.375,2.5216317994313104E-6,3000.0,79.60000000000001,59.176322266914816,60.69364161849712,58.4521384928717,3000.0,4112304.0
4000.0,4.21875,3.6652726379947526E-6,4000.0,81.89999999999999,63.79449676350804,65.25911708253358,62.525879917184255,4000.0,5239360.0
5000.0,5.421875,5.611240598631815E-6,5000.0,82.19999999999999,64.3893167950385,64.68253968253967,65.83493282149712,5000.0,6252120.0
6000.0,6.3125,7.2968177523257E-6,6000.0,81.6,63.19999999999999,61.82572614107883,62.29508196721311,6000.0,7315704.0
7000.0,7.234375,9.311958597714288E-6,7000.0,83.7,67.38434448535297,66.1122661122661,66.46090534979423,7000.0,8449592.0
8000.0,8.5,1.2403639298605007E-5,8000.0,83.2,66.35154622656626,66.66666666666666,65.99190283400809,8000.0,9442608.0
9000.0,9.5,1.5151643148985587E-5,9000.0,84.6,69.19815188911335,67.98336798336798,68.50715746421268,9000.0,1.0622328E7
10000.0,10.65625,1.8641167908855195E-5,10000.0,85.5,70.9983759090509,71.0,70.10309278350515,10000.0,1.1665864E7
11000.0,11.796875,2.242666834111636E-5,11000.0,84.3,68.58290910255178,68.34677419354837,67.0859538784067,11000.0,1.2828704E7
12000.0,12.953125,2.6593024021066312E-5,12000.0,83.39999999999999,66.81393814597868,68.62003780718337,64.37768240343347,12000.0,1.3928584E7
13000.0,14.140625,3.1153805870821495E-5,13000.0,83.89999999999999,67.78917716352694,68.30708661417322,66.52806652806652,13000.0,1.4845952E7
14000.0,15.328125,3.606586306381764E-5,14000.0,86.0,72.00223982081434,71.8875502008032,72.22222222222221,14000.0,1.59894E7
15000.0,16.515625,4.127760692628929E-5,15000.0,84.0,67.97040465390019,68.99224806201549,67.87148594377508,15000.0,1.696492E7
16000.0,17.734375,4.6907005437080646E-5,16000.0,84.5,68.97518014411528,69.66731898238747,68.17248459958931,16000.0,1.7854584E7
17000.0,19.015625,5.311798792616982E-5,17000.0,86.1,72.17662836782898,72.03219315895372,71.74796747967478,17000.0,1.873824E7
18000.0,20.359375,6.0030611768727093E-5,18000.0,86.9,73.79433957734871,73.58870967741935,73.26530612244898,18000.0,1.9885056E7
19000.0,21.71875,6.731986847525049E-5,19000.0,85.0,69.93505972901467,69.69696969696969,68.81496881496881,19000.0,2.0727472E7
20000.0,23.0625,7.48871835660086E-5,20000.0,87.6,75.12906810222755,75.92233009708738,74.0041928721174,20000.0,2.176836E7
21000.0,24.53125,8.358762098295202E-5,21000.0,84.8,69.61166911905828,69.35483870967741,69.16835699797159,21000.0,2.2897896E7
22000.0,26.046875,9.296215391562632E-5,22000.0,85.2,70.3857851768849,69.10229645093945,70.6930693069307,22000.0,2.3908936E7
23000.0,27.578125,1.027875241642404E-4,23000.0,85.2,70.39999999999999,70.98039215686273,70.34068136272545,23000.0,2.4803056E7
24000.0,29.234375,1.1382713254230719E-4,24000.0,84.7,69.39975519804157,69.46107784431138,70.0,24000.0,2.5765E7
25000.0,30.84375,1.2497714064213346E-4,25000.0,84.8,69.60158071780268,69.84126984126983,68.78850102669404,25000.0,2.67806E7
26000.0,32.265625,1.3521038691073452E-4,26000.0,84.6,69.18582547972066,68.63543788187371,67.71488469601677,26000.0,2.7819824E7
27000.0,33.84375,1.469409612602451E-4,27000.0,85.1,70.15917775516907,69.59183673469387,69.40451745379876,27000.0,2.8732952E7
28000.0,35.515625,1.5980770197024363E-4,28000.0,84.89999999999999,69.80217424345447,69.49494949494948,70.5078125,28000.0,2.974864E7
29000.0,37.1875,1.7316745817273237E-4,29000.0,84.7,69.39338897201796,70.6896551724138,69.27710843373494,29000.0,3.088852E7
30000.0,38.84375,1.8681867840415284E-4,30000.0,85.6,71.22543671394487,71.48514851485149,69.93736951983298,30000.0,3.186016E7
31000.0,40.625,2.0190076394808586E-4,31000.0,83.7,67.39530492390904,69.24528301886792,67.59443339960238,31000.0,3.2729464E7
32000.0,42.578125,2.1894498165541643E-4,32000.0,87.1,74.20495264909137,75.97765363128492,73.78048780487805,32000.0,3.3732568E7
33000.0,44.40625,2.3541168038112426E-4,33000.0,85.0,70.00863751239643,70.98646034816247,69.51219512195121,33000.0,3.4817936E7
34000.0,46.171875,2.5172642626178766E-4,34000.0,85.2,70.39763181054484,69.23076923076923,70.28112449799197,34000.0,3.571776E7
35000.0,47.890625,2.680114839717539E-4,35000.0,87.4,74.75476053087132,74.8,73.91304347826086,35000.0,3.6625112E7
36000.0,49.78125,2.863071996964411E-4,36000.0,85.5,71.03128621089223,70.16460905349794,71.0,36000.0,3.740644E7
37000.0,51.65625,3.048277326484418E-4,37000.0,85.0,69.97297567811029,70.76023391812866,70.11952191235059,37000.0,3.818164E7
38000.0,53.59375,3.2446472009825E-4,38000.0,85.5,71.01275438806924,71.45669291338582,69.91701244813278,38000.0,3.9177392E7
39000.0,55.484375,3.4414862441028364E-4,39000.0,85.39999999999999,70.79859833271996,71.37254901960785,70.68273092369478,39000.0,4.0244656E7
40000.0,57.421875,3.648121924359455E-4,40000.0,85.39999999999999,70.79813108038914,69.89690721649484,70.38539553752535,40000.0,4.1225504E7
41000.0,59.375,3.8614412792311567E-4,41000.0,85.9,71.78984434396382,70.3157894736842,71.04722792607802,41000.0,4.221848E7
42000.0,61.515625,4.1005895275803694E-4,42000.0,85.8,71.6051110800056,73.35834896810508,71.07942973523421,42000.0,4.3184608E7
43000.0,63.8125,4.3632613802199353E-4,43000.0,85.8,71.58772589758775,73.10606060606061,70.35490605427974,43000.0,4.4205728E7
44000.0,66.015625,4.620199770498503E-4,44000.0,87.7,75.4147511493104,74.84662576687117,74.63917525773196,44000.0,4.5080864E7
45000.0,68.359375,4.900241871817141E-4,45000.0,85.39999999999999,70.75824277067653,70.68273092369478,69.32773109243698,45000.0,4.6186432E7
46000.0,70.765625,5.193860316325703E-4,46000.0,86.0,71.97477729956961,72.92069632495163,71.48676171079428,46000.0,4.7167728E7
47000.0,73.15625,5.490897057138176E-4,47000.0,86.4,72.76470305515949,73.64341085271317,71.78423236514523,47000.0,4.8028728E7
48000.0,75.546875,5.793584510360637E-4,48000.0,85.2,70.36443732478975,71.80952380952381,69.10229645093945,48000.0,4.8942408E7
49000.0,77.953125,6.104594868439663E-4,49000.0,86.6,73.20225101091508,73.62204724409449,72.14137214137214,49000.0,4.9961616E7
50000.0,80.515625,6.440981826421597E-4,50000.0,86.4,72.7860664660306,73.84615384615385,71.66666666666667,50000.0,5.0743176E7
