learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.4375,2.6772419611612955E-8,1000.0,48.699999999999996,0.0,0.0,-7.547169811320761,1000.0,236544.0
2000.0,0.703125,4.30155584278206E-8,2000.0,48.199999999999996,0.0,-2.1696252465483257,-7.4688796680498,2000.0,236376.0
3000.0,0.953125,5.828148763005932E-8,3000.0,49.5,0.0,2.6974951830443183,-2.851323828920573,3000.0,236040.0
4000.0,1.21875,7.949536666274071E-8,4000.0,56.10000000000001,12.624992038723656,15.738963531669878,9.109730848861291,4000.0,308712.0
5000.0,1.515625,1.0315338537717859E-7,5000.0,50.8,1.3810659664454996,2.3809523809523827,5.5662188099808105,5000.0,308040.0
6000.0,1.671875,1.1511991033330559E-7,6000.0,55.60000000000001,9.365558912386714,7.883817427385899,9.01639344262296,6000.0,296040.0
7000.0,1.90625,1.3460638001561165E-7,7000.0,55.7,10.01787455313618,7.900207900207907,8.847736625514411,7000.0,321384.0
8000.0,2.109375,1.5085524258514244E-7,8000.0,50.9,3.596952799811514,2.5793650793650817,0.6072874493927131,8000.0,309216.0
9000.0,2.28125,1.6455946024507282E-7,9000.0,52.400000000000006,4.919801050676155,1.0395010395010404,2.6584867075664644,9000.0,308208.0
10000.0,2.515625,1.8407648894935845E-7,10000.0,50.0,-0.10571163148284045,0.0,-3.092783505154642,10000.0,321888.0
11000.0,2.75,2.0437204511836171E-7,11000.0,50.8,0.0,0.8064516129032264,-3.1446540880503173,11000.0,334728.0
12000.0,2.953125,2.238091353016595E-7,12000.0,46.400000000000006,-6.5331027766183585,-1.3232514177693668,-15.021459227467815,12000.0,369888.0
13000.0,3.109375,2.4168470796818535E-7,13000.0,56.00000000000001,12.403644008409257,13.385826771653555,8.523908523908531,13000.0,442224.0
14000.0,3.34375,2.707215996148686E-7,14000.0,59.9,19.202095506749938,19.47791164658634,20.436507936507933,14000.0,478896.0
15000.0,3.515625,2.9352959245443345E-7,15000.0,65.3,29.790626340452746,32.75193798449613,30.321285140562253,15000.0,512952.0
16000.0,3.734375,3.2265845220535996E-7,16000.0,57.4,13.684108150165326,16.634050880626216,12.525667351129352,16000.0,514728.0
17000.0,3.921875,3.487983485683799E-7,17000.0,58.8,18.566775244299677,17.10261569416498,16.260162601626007,17000.0,538896.0
18000.0,4.078125,3.7106665937850875E-7,18000.0,59.8,19.787696789512538,18.9516129032258,17.959183673469383,18000.0,550896.0
19000.0,4.296875,4.028684149185817E-7,19000.0,65.8,31.67870613053763,30.909090909090914,28.8981288981289,19000.0,561960.0
20000.0,4.5625,4.407360878152152E-7,20000.0,71.39999999999999,43.29559648670618,44.46601941747572,40.041928721173996,20000.0,551064.0
21000.0,4.84375,4.770792050597569E-7,21000.0,59.4,19.326635722006742,18.145161290322577,17.647058823529406,21000.0,499496.0
