learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.625,1.880617087913884E-7,1000.0,72.0,43.90373881580792,45.419103313840154,41.29979035639412,1000.0,447352.0
2000.0,3.046875,3.5255979229178693E-7,2000.0,86.8,73.50844518656476,73.96449704142012,72.61410788381743,2000.0,447200.0
3000.0,4.5,5.21367926719702E-7,3000.0,88.7,77.390051622714,78.22736030828517,76.9857433808554,3000.0,449048.0
4000.0,6.09375,7.390249973266489E-7,4000.0,77.3,54.30830421410284,56.4299424184261,53.002070393374744,4000.0,527904.0
5000.0,7.265625,8.935105547101961E-7,5000.0,77.8,55.572454922051676,55.952380952380956,57.38963531669866,5000.0,509576.0
6000.0,8.515625,1.0715613219266136E-6,6000.0,69.69999999999999,39.341282361325746,37.1369294605809,37.90983606557376,6000.0,550600.0
7000.0,9.75,1.2539366273105972E-6,7000.0,65.2,30.219967516191776,27.650727650727653,28.395061728395067,7000.0,571112.0
8000.0,10.953125,1.4762458158656954E-6,8000.0,73.5,46.83412246208169,47.42063492063492,46.35627530364373,8000.0,714248.0
9000.0,12.125,1.6806783969514071E-6,9000.0,71.89999999999999,43.79730227050898,41.58004158004157,42.53578732106339,9000.0,674328.0
10000.0,13.296875,1.885421418895324E-6,10000.0,75.0,49.993599180695135,50.0,48.45360824742268,10000.0,675352.0
11000.0,14.578125,2.142928941692743E-6,11000.0,80.5,60.99126204269757,60.68548387096775,59.11949685534592,11000.0,776888.0
12000.0,15.8125,2.384631338322328E-6,12000.0,77.9,55.824738146637884,58.223062381852564,52.57510729613735,12000.0,756896.0
13000.0,17.03125,2.630112252922522E-6,13000.0,83.6,67.14638289688772,67.71653543307086,65.90436590436589,13000.0,778584.0
14000.0,18.234375,2.872707425720162E-6,14000.0,86.8,73.61688519347618,73.49397590361446,73.80952380952381,14000.0,779424.0
15000.0,19.453125,3.124549661556052E-6,15000.0,83.6,67.13492715576841,68.21705426356588,67.06827309236947,15000.0,798760.0
16000.0,20.703125,3.402306271406512E-6,16000.0,79.9,59.78326984025355,60.66536203522506,58.72689938398358,16000.0,858928.0
17000.0,21.90625,3.6765044529197947E-6,17000.0,78.4,56.69815405834523,56.53923541247485,56.09756097560976,17000.0,880960.0
18000.0,23.03125,3.980709330385758E-6,18000.0,77.60000000000001,55.16610557581533,54.83870967741936,54.28571428571429,18000.0,1045240.0
19000.0,24.1875,4.305886816129916E-6,19000.0,76.1,52.16211239301527,51.717171717171716,50.311850311850314,19000.0,1087104.0
20000.0,25.359375,4.660485461095555E-6,20000.0,78.8,57.68175884191742,58.83495145631069,55.55555555555556,20000.0,1169656.0
21000.0,26.5,5.029883759561926E-6,21000.0,80.0,60.00511934472388,59.677419354838726,59.432048681541595,21000.0,1251856.0
22000.0,27.6875,5.414256366849359E-6,22000.0,80.7,61.316443517998884,59.70772442588728,61.782178217821794,22000.0,1251184.0
23000.0,28.703125,5.75822677799604E-6,23000.0,80.7,61.37280645574486,62.15686274509805,61.32264529058117,23000.0,1309152.0
24000.0,29.859375,6.163468642625957E-6,24000.0,81.5,62.999703997631975,63.073852295409175,63.725490196078425,24000.0,1354768.0
25000.0,30.984375,6.563674251083284E-6,25000.0,79.7,59.34503448662593,59.72222222222223,58.31622176591377,25000.0,1375096.0
26000.0,32.140625,6.987368396949022E-6,26000.0,81.69999999999999,63.34604537879758,62.72912423625253,61.63522012578615,26000.0,1416456.0
27000.0,33.28125,7.435307682802279E-6,27000.0,79.4,58.74670073735266,57.9591836734694,57.70020533880904,27000.0,1518024.0
28000.0,34.421875,7.895600218843253E-6,28000.0,80.80000000000001,61.59585235205404,61.21212121212122,62.500000000000014,28000.0,1559888.0
29000.0,35.546875,8.361624721955092E-6,29000.0,78.2,56.35443402912641,58.23754789272031,56.224899598393584,29000.0,1601248.0
30000.0,36.734375,8.890173307413027E-6,30000.0,79.80000000000001,59.60630141697896,60.00000000000001,57.82881002087683,30000.0,1720496.0
31000.0,37.890625,9.417976511435374E-6,31000.0,77.7,55.39357667504121,57.9245283018868,55.666003976143145,31000.0,1764504.0
32000.0,39.09375,9.986482069103253E-6,32000.0,83.0,66.00285576011615,68.34264432029795,65.4471544715447,32000.0,1826528.0
33000.0,40.203125,1.0539656731351794E-5,33000.0,82.8,65.62310127594256,66.7311411992263,65.04065040650406,33000.0,1927464.0
34000.0,41.40625,1.1145806024109735E-5,34000.0,83.0,66.00543912973923,64.65696465696465,65.86345381526102,34000.0,1947472.0
35000.0,42.640625,1.1695573468589118E-5,35000.0,80.10000000000001,60.1668588265437,60.20000000000001,58.79917184265011,35000.0,1721608.0
36000.0,43.84375,1.223812581479756E-5,36000.0,79.4,58.74306543029382,57.61316872427984,58.80000000000001,36000.0,1743144.0
37000.0,45.015625,1.2778562118506263E-5,37000.0,81.39999999999999,62.72619787178613,63.742690058479525,62.94820717131473,37000.0,1782648.0
38000.0,46.203125,1.3358864040734865E-5,38000.0,81.0,62.00835816120455,62.59842519685041,60.580912863070544,38000.0,1888960.0
