learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.4375,2.6436496732963456E-8,1000.0,55.7,13.116811798854641,13.645224171539974,7.127882599580719,1000.0,233576.0
2000.0,0.78125,4.735885239723656E-8,2000.0,83.8,67.60932851338815,68.0473372781065,66.39004149377593,2000.0,235272.0
3000.0,1.109375,6.741439897773995E-8,3000.0,82.6,65.16307285722866,66.47398843930635,64.5621181262729,3000.0,236264.0
4000.0,1.453125,9.430278118492829E-8,4000.0,78.60000000000001,57.18372981733059,58.92514395393474,55.6935817805383,4000.0,302360.0
5000.0,1.765625,1.19762165316691E-7,5000.0,66.9,33.38968043145779,34.32539682539683,36.46833013435701,5000.0,314920.0
6000.0,2.078125,1.4614252399446237E-7,6000.0,70.8,40.44705498449991,39.41908713692945,40.163934426229496,6000.0,326312.0
7000.0,2.390625,1.7410483754550417E-7,7000.0,79.80000000000001,59.8720673831423,58.004158004158015,58.436213991769556,7000.0,345880.0
8000.0,2.703125,2.0755807377604974E-7,8000.0,73.0,45.98271446862995,46.42857142857142,45.344129554655865,8000.0,413800.0
9000.0,3.015625,2.4110702927120856E-7,9000.0,72.39999999999999,44.846990364209695,42.619542619542614,43.55828220858895,9000.0,414984.0
10000.0,3.296875,2.72081071873092E-7,10000.0,72.5,45.088298016789004,44.99999999999999,43.298969072164944,10000.0,425704.0
11000.0,3.609375,3.0812002175177134E-7,11000.0,74.6,49.45555272542027,48.79032258064516,46.75052410901468,11000.0,445784.0
12000.0,3.984375,3.5316188586875794E-7,12000.0,78.4,56.705618247780166,59.16824196597354,53.6480686695279,12000.0,464288.0
13000.0,4.359375,3.9538339478895064E-7,13000.0,80.10000000000001,60.414710609653255,60.82677165354332,58.62785862785863,13000.0,435216.0
14000.0,4.671875,4.306501230328447E-7,14000.0,83.1,66.09829488465397,66.06425702811244,66.46825396825396,14000.0,436232.0
15000.0,4.984375,4.6724269244198996E-7,15000.0,83.39999999999999,66.89177599693649,67.82945736434108,66.66666666666666,15000.0,452632.0
16000.0,5.296875,5.055801981749634E-7,16000.0,79.9,59.66447262803018,60.66536203522506,58.72689938398358,16000.0,474216.0
17000.0,5.609375,5.511005292646586E-7,17000.0,78.60000000000001,57.476234381458056,56.94164989939638,56.50406504065041,17000.0,563064.0
18000.0,5.921875,6.028924124418861E-7,18000.0,85.1,70.20786512360736,69.95967741935483,69.59183673469387,18000.0,640640.0
19000.0,6.234375,6.572603079904284E-7,19000.0,82.6,65.20501047849109,64.84848484848484,63.82536382536381,19000.0,672504.0
20000.0,6.5625,7.151397747091121E-7,20000.0,83.39999999999999,66.72959983324715,67.76699029126213,65.1991614255765,20000.0,681848.0
21000.0,6.890625,7.711374847632315E-7,21000.0,78.0,56.05343901815394,55.645161290322584,55.37525354969575,21000.0,659680.0
22000.0,7.21875,8.290176305712924E-7,22000.0,81.6,63.17525377053379,61.58663883089769,63.56435643564355,22000.0,681856.0
23000.0,7.515625,8.76014172616932E-7,23000.0,73.5,46.915064102564095,48.0392156862745,46.8937875751503,23000.0,611920.0
24000.0,7.84375,9.322611084725293E-7,24000.0,71.3,42.5710558121293,42.71457085828343,43.725490196078425,24000.0,662616.0
25000.0,8.140625,9.831769986905984E-7,25000.0,75.3,50.830115061512124,50.99206349206349,49.28131416837782,25000.0,662952.0
26000.0,8.46875,1.041100606218808E-6,26000.0,77.9,56.07479607575011,54.989816700611,53.66876310272537,26000.0,682368.0
27000.0,8.78125,1.0874591276256573E-6,27000.0,81.10000000000001,62.00363478456665,61.428571428571445,61.19096509240247,27000.0,573432.0
28000.0,9.078125,1.1322837154794897E-6,28000.0,81.3,62.57035572173161,62.222222222222214,63.476562499999986,28000.0,583640.0
29000.0,9.40625,1.1851494653253918E-6,29000.0,75.1,49.84975065859965,52.29885057471264,50.0,29000.0,622784.0
30000.0,9.765625,1.23836953813831E-6,30000.0,74.9,49.62712027678994,50.2970297029703,47.5991649269311,30000.0,572440.0
31000.0,10.125,1.2944196350872516E-6,31000.0,79.4,58.768829234901595,61.13207547169812,59.04572564612327,31000.0,602880.0
32000.0,10.53125,1.3618575434924826E-6,32000.0,82.0,64.03582032295833,66.48044692737429,63.414634146341456,32000.0,641672.0
33000.0,10.875,1.4233867275632088E-6,33000.0,83.39999999999999,66.77927026464513,67.8916827852998,66.260162601626,33000.0,691896.0
34000.0,11.328125,1.5079059974393908E-6,34000.0,81.39999999999999,62.79880956190597,61.330561330561316,62.650602409638545,34000.0,721008.0
35000.0,11.703125,1.579881710414257E-6,35000.0,80.9,61.880508366330325,61.80000000000001,60.45548654244307,35000.0,741920.0
36000.0,12.109375,1.6619180355014069E-6,36000.0,80.7,61.16231335774944,60.28806584362141,61.40000000000001,36000.0,780576.0
37000.0,12.484375,1.7377734831016922E-6,37000.0,85.7,71.35531429029285,72.12475633528264,71.51394422310756,37000.0,781912.0
38000.0,12.875,1.8106179454156919E-6,38000.0,82.8,65.6679774047386,66.14173228346456,64.31535269709543,38000.0,720840.0
39000.0,13.265625,1.8845958402380343E-6,39000.0,83.1,66.19323864772953,66.86274509803921,66.06425702811244,39000.0,732056.0
40000.0,13.609375,1.9495854050748873E-6,40000.0,85.8,71.58636145349767,70.72164948453607,71.19675456389452,40000.0,730808.0
41000.0,14.015625,2.0307801120604074E-6,41000.0,86.5,72.99675961115334,71.57894736842105,72.27926078028747,41000.0,772568.0
42000.0,14.328125,2.094697297757698E-6,42000.0,77.8,55.66012487067537,58.34896810506568,54.78615071283096,42000.0,790624.0
43000.0,14.71875,2.180631207819614E-6,43000.0,84.0,68.09647625580244,69.69696969696969,66.59707724425886,43000.0,850368.0
