learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.359375,1.1754455044865608E-8,1000.0,57.099999999999994,52.38396505049631,52.33333333333333,50.80275229357798,1000.0,126432.0
2000.0,0.59375,1.9420403987169265E-8,2000.0,58.4,53.69205662927152,53.9313399778516,52.67349260523322,2000.0,126432.0
3000.0,0.71875,2.3508910089731216E-8,3000.0,61.6,57.25706093317632,57.662624035281155,56.264236902050115,3000.0,126432.0
4000.0,0.984375,3.2236566767096516E-8,4000.0,61.199999999999996,56.89956821809707,56.74470457079153,56.00907029478458,4000.0,127008.0
5000.0,1.109375,3.632559027108881E-8,5000.0,59.4,55.002033775074445,55.33553355335533,53.96825396825397,5000.0,126448.0
6000.0,1.21875,3.9903485837082066E-8,6000.0,61.8,57.59814586237824,57.60266370699223,56.64018161180476,6000.0,126448.0
7000.0,1.375,4.5037401529649894E-8,7000.0,64.7,60.67750541659008,61.71366594360087,59.977324263038554,7000.0,127008.0
8000.0,1.6875,5.5305232914785543E-8,8000.0,58.699999999999996,54.01817673720552,54.814004376367606,53.333333333333336,8000.0,127008.0
9000.0,1.9375,6.348224511990944E-8,9000.0,54.800000000000004,49.68643069751082,49.88913525498892,49.6098104793757,9000.0,126432.0
10000.0,2.078125,6.810276924322048E-8,10000.0,52.900000000000006,47.389232552996134,47.31543624161074,47.01912260967379,10000.0,127008.0
11000.0,2.234375,7.32366849357883E-8,11000.0,52.1,46.504116614324836,47.01327433628319,46.11923509561306,11000.0,127008.0
12000.0,2.375,7.78362543011705E-8,12000.0,53.400000000000006,47.976614036713336,48.73487348734874,47.28506787330317,12000.0,126432.0
13000.0,2.515625,8.245677842448153E-8,13000.0,50.1,44.56959792408146,44.308035714285715,43.869516310461194,13000.0,127008.0
