learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,2.953125,7.25330610293895E-7,1000.0,16.0,6.555779525036377,6.666666666666667,3.669724770642202,1000.0,949416.0
2000.0,6.46875,1.5888339839875698E-6,2000.0,11.1,1.4585028343150537,1.5503875968992247,-1.1376564277588164,2000.0,949432.0
3000.0,9.390625,2.306501232346313E-6,3000.0,9.8,1.2608399615552184,0.5512679162072772,-2.7334851936218674,3000.0,949432.0
4000.0,12.46875,3.062546408424775E-6,4000.0,9.3,0.07645748457079456,-1.1148272017837229,-2.8344671201814053,4000.0,949432.0
5000.0,15.515625,3.8109159989592928E-6,5000.0,8.7,0.4667054043417425,-0.44004400440044045,-3.5147392290249435,5000.0,949432.0
6000.0,18.5,4.5439344184059235E-6,6000.0,9.0,0.9034124073283542,-0.9988901220865712,-3.2917139614074915,6000.0,949432.0
7000.0,21.578125,5.2999795944843855E-6,7000.0,8.5,0.16018016995683398,0.7592190889370939,-3.741496598639454,7000.0,949432.0
8000.0,24.65625,6.0560247705628474E-6,8000.0,10.299999999999999,0.11169227719729109,1.8599562363238513,-1.3559322033898318,8000.0,949432.0
9000.0,27.8125,6.831245846115053E-6,9000.0,10.0,1.1143316097927605,0.22172949002217313,-0.3344481605351158,9000.0,949416.0
10000.0,30.859375,7.579615436649571E-6,10000.0,11.1,0.44725944407241386,0.5592841163310966,0.0,10000.0,949432.0
11000.0,33.96875,8.343323327911397E-6,11000.0,11.4,0.0027087302375567845,1.9911504424778763,0.3374578177727787,11000.0,949416.0
12000.0,36.984375,9.084017332901971E-6,12000.0,11.0,0.0010112257291774716,2.0902090209020905,-0.6787330316742087,12000.0,949432.0
13000.0,40.109375,9.851575887296349E-6,13000.0,10.7,0.35117006473268614,0.3348214285714289,-0.4499437570303716,13000.0,949432.0
14000.0,43.109375,1.0588432099514951E-5,14000.0,9.5,0.0,-0.6674082313681874,-2.724177071509647,14000.0,949432.0
15000.0,46.109375,1.1325288311733553E-5,15000.0,11.1,0.0,0.8918617614269797,-0.3386004514672689,15000.0,949432.0
16000.0,49.1875,1.2081320746801792E-5,16000.0,10.2,0.0,0.44345898004434475,-2.6285714285714294,16000.0,949416.0
17000.0,52.3125,1.2848866366160412E-5,17000.0,8.5,0.0,0.0,-3.506787330316742,17000.0,949416.0
18000.0,55.390625,1.3604911542238874E-5,18000.0,8.799999999999999,0.0,-1.5590200445434297,-3.05084745762712,18000.0,949432.0
19000.0,58.4375,1.4353281132773392E-5,19000.0,10.0,0.0,-0.3344481605351158,-1.2373453318335204,19000.0,949432.0
20000.0,61.484375,1.510165072330791E-5,20000.0,9.6,0.0,-1.3452914798206272,-0.4444444444444448,20000.0,949432.0
21000.0,64.59375,1.5865358614569736E-5,21000.0,10.4,0.0,2.1834061135371168,-2.6345933562428416,21000.0,949416.0
22000.0,67.546875,1.6590689224863632E-5,22000.0,11.5,0.0,2.425578831312018,-0.22650056625141582,22000.0,949416.0
23000.0,70.59375,1.733905881539815E-5,23000.0,10.7,0.0,1.76017601760176,-0.11210762331838575,23000.0,949432.0
24000.0,73.625,1.8083590613160696E-5,24000.0,8.3,0.0,-2.572706935123042,-4.086265607264472,24000.0,949432.0
25000.0,76.59375,1.8812758951551384E-5,25000.0,10.6,0.0,0.5561735261401547,-1.2457531143827871,25000.0,949416.0
26000.0,79.625,1.9557278202329245E-5,26000.0,9.700000000000001,0.0,-1.4606741573033706,-2.149321266968326,26000.0,949416.0
27000.0,82.609375,2.0290296621775875E-5,27000.0,9.2,0.0,0.11001100110011011,-4.849884526558893,27000.0,949432.0
28000.0,85.59375,2.1023315041222505E-5,28000.0,11.4,0.0,0.8948545861297548,0.3374578177727787,28000.0,949432.0
29000.0,88.6875,2.178319801007294E-5,29000.0,11.1,0.0,1.2222222222222219,-1.022727272727272,29000.0,949432.0
30000.0,91.796875,2.2546905901334765E-5,30000.0,9.6,0.0,0.11049723756906087,-1.8018018018018018,30000.0,949416.0
31000.0,94.796875,2.3283762113553367E-5,31000.0,12.3,0.0,2.663706992230854,0.22753128555176358,31000.0,949432.0
32000.0,97.984375,2.406665864529916E-5,32000.0,10.9,0.0,0.4469273743016764,-0.6779661016949159,32000.0,949416.0
33000.0,101.046875,2.4818853352270607E-5,33000.0,10.4,0.0,-0.2237136465324387,-1.5873015873015872,33000.0,949416.0
34000.0,104.078125,2.5563372603048468E-5,34000.0,10.8,0.0,-0.112233445566779,-1.7103762827822122,34000.0,949416.0
35000.0,107.171875,2.63232427662135E-5,35000.0,10.100000000000001,0.0,-1.4672686230248304,-1.5819209039548021,35000.0,949416.0
36000.0,110.328125,2.709847690615182E-5,36000.0,9.1,0.0,-2.828054298642535,-1.2249443207126944,36000.0,949432.0
37000.0,113.40625,2.7854522082230283E-5,37000.0,8.7,0.0,-3.397508493771236,-5.184331797235024,37000.0,949432.0
38000.0,116.40625,2.8591378294448885E-5,38000.0,11.5,0.0,2.9605263157894743,-1.0273972602739718,38000.0,949432.0
39000.0,119.328125,2.9309045542807627E-5,39000.0,9.9,0.0,-1.5783540022547913,-2.154195011337867,39000.0,949432.0
40000.0,122.46875,3.008042889026304E-5,40000.0,10.2,0.0,0.883002207505518,-1.0123734533183362,40000.0,949416.0
41000.0,125.484375,3.0821122895253614E-5,41000.0,11.1,0.0,-0.3386004514672689,-0.11261261261261273,41000.0,949432.0
42000.0,128.5625,3.157715533032185E-5,42000.0,10.0,0.0,1.0989010989010999,-0.8968609865470845,42000.0,949416.0
43000.0,131.671875,3.2340876091944256E-5,43000.0,10.0,0.0,0.6622516556291397,-0.8968609865470845,43000.0,949432.0
44000.0,134.703125,3.3085395342722114E-5,44000.0,10.299999999999999,0.0,-0.11160714285714296,-0.673400673400674,44000.0,949416.0
45000.0,137.8125,3.3849116104344516E-5,45000.0,9.5,0.0,-0.7795100222717141,-2.375565610859729,45000.0,949432.0
46000.0,140.875,3.460132348765101E-5,46000.0,10.6,0.0,-0.2242152466367715,-1.7064846416382253,46000.0,949432.0
47000.0,143.96875,3.536119365081604E-5,47000.0,11.3,0.0,2.312775330396476,0.3370786516853936,47000.0,949416.0
48000.0,146.96875,3.6098037445400315E-5,48000.0,10.4,0.0,0.0,-3.8238702201622266,48000.0,949416.0
49000.0,149.890625,3.681570469375906E-5,49000.0,10.6,0.0,1.4332965821389192,0.0,49000.0,949432.0
50000.0,152.96875,3.75717371288273E-5,50000.0,10.100000000000001,0.0,-0.22296544035674334,-2.50855188141391,50000.0,949416.0
