learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,3.796875,1.6071094432845712E-6,1000.0,26.400000000000002,18.162298838816422,18.22222222222222,15.59633027522936,1000.0,1636560.0
2000.0,7.203125,3.3591240127053527E-6,2000.0,45.800000000000004,39.682006207634124,39.97785160575858,38.33902161547213,2000.0,1988216.0
3000.0,10.1875,5.725623632315546E-6,3000.0,63.9,59.79677884219178,60.19845644983462,58.88382687927107,3000.0,3065176.0
4000.0,13.140625,8.644389163237064E-6,4000.0,68.89999999999999,65.44321575878253,65.3288740245262,64.7392290249433,4000.0,3820496.0
5000.0,16.21875,1.232989200313265E-5,5000.0,72.0,68.86082903594239,69.1969196919692,68.25396825396825,5000.0,4628208.0
6000.0,18.890625,1.6192849240421004E-5,6000.0,70.5,67.19623435010182,67.25860155382908,66.51532349602724,6000.0,5588640.0
7000.0,21.703125,2.0876860459490367E-5,7000.0,72.5,69.40749549733955,70.17353579175705,68.82086167800453,7000.0,6437656.0
8000.0,24.203125,2.577371833871843E-5,8000.0,73.0,69.95623625080533,70.45951859956236,69.49152542372882,8000.0,7571464.0
9000.0,26.65625,3.097749767928487E-5,9000.0,74.0,71.10873560714992,71.17516629711751,71.01449275362319,9000.0,8199768.0
10000.0,29.265625,3.693275308857361E-5,10000.0,74.3,71.38887528221478,71.25279642058166,71.09111361079866,10000.0,8821984.0
11000.0,31.765625,4.291754060735305E-5,11000.0,74.9,72.10184272330474,72.2345132743363,71.7660292463442,11000.0,9253608.0
12000.0,34.21875,4.911524453847152E-5,12000.0,73.2,70.19430422050877,70.51705170517052,69.68325791855203,12000.0,9765928.0
13000.0,36.890625,5.614982691541728E-5,13000.0,74.7,71.8547393059134,71.76339285714286,71.54105736782903,13000.0,1.0177112E7
14000.0,39.453125,6.34442496811971E-5,14000.0,72.0,68.86228343996149,68.85428253615127,68.21793416572078,14000.0,1.1003464E7
15000.0,42.078125,7.122570668191959E-5,15000.0,72.39999999999999,69.30659596804327,69.23076923076923,68.84875846501129,15000.0,1.1458664E7
