learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.828125,1.104534991706411E-7,1000.0,52.300000000000004,46.89112680996041,47.0,45.29816513761468,1000.0,515984.0
2000.0,1.34375,2.1612174653758607E-7,2000.0,60.6,56.16221316290745,56.367663344407525,55.17633674630261,2000.0,792160.0
3000.0,2.0,4.1545485146343714E-7,3000.0,71.7,68.497450853797,68.79823594266813,67.76765375854214,3000.0,1174120.0
4000.0,2.484375,5.931879342016247E-7,4000.0,71.8,68.65635809110552,68.56187290969899,68.02721088435374,4000.0,1418368.0
5000.0,3.109375,8.702693351854881E-7,5000.0,73.4,70.41732699418912,70.73707370737074,69.84126984126983,5000.0,1713680.0
6000.0,3.671875,1.13104780515035E-6,6000.0,70.39999999999999,67.08704808626752,67.14761376248613,66.40181611804768,6000.0,1792056.0
7000.0,4.1875,1.406930290007343E-6,7000.0,72.1,68.95042417726971,69.73969631236442,68.36734693877551,7000.0,2068200.0
8000.0,4.609375,1.6534970685218772E-6,8000.0,73.8,70.86597011871561,71.33479212253829,70.3954802259887,8000.0,2259192.0
9000.0,5.15625,1.9943229724756548E-6,9000.0,74.0,71.09138901428308,71.17516629711751,71.01449275362319,9000.0,2409056.0
10000.0,5.734375,2.3768961222635375E-6,10000.0,74.0,71.05492550539769,70.917225950783,70.75365579302587,10000.0,2557968.0
11000.0,6.21875,2.7148462120547062E-6,11000.0,75.5,72.76570390650966,72.89823008849558,72.44094488188976,11000.0,2696952.0
12000.0,6.6875,3.061068289551056E-6,12000.0,73.5,70.51817915824395,70.84708470847085,70.02262443438913,12000.0,2855064.0
13000.0,7.1875,3.4511289494629537E-6,13000.0,73.7,70.7575029798438,70.64732142857143,70.4161979752531,13000.0,3015536.0
14000.0,7.640625,3.819923343447348E-6,14000.0,71.89999999999999,68.77062972191412,68.74304783092325,68.1044267877412,14000.0,3146072.0
15000.0,8.1875,4.2890054626493825E-6,15000.0,72.5,69.41280368914956,69.3422519509476,68.96162528216703,15000.0,3315608.0
16000.0,8.75,4.7852222794770375E-6,16000.0,74.8,71.96573589943263,72.06208425720621,71.2,16000.0,3409976.0
17000.0,9.4375,5.418793524667207E-6,17000.0,73.7,70.74296190244168,71.25683060109289,70.24886877828054,17000.0,3560792.0
18000.0,9.9375,5.8966810077739264E-6,18000.0,71.89999999999999,68.77035206149017,68.70824053452115,68.24858757062147,18000.0,3694520.0
19000.0,10.484375,6.435718387365342E-6,19000.0,76.4,73.76372679590627,73.69007803790413,73.4533183352081,19000.0,3810072.0
20000.0,11.015625,6.971865659579636E-6,20000.0,73.3,70.33082793658131,70.06726457399103,70.33333333333334,20000.0,3901104.0
21000.0,11.5,7.472459724845573E-6,21000.0,74.9,72.09843139826877,72.59825327510917,71.24856815578465,21000.0,3994904.0
22000.0,12.109375,8.121574291079824E-6,22000.0,75.8,73.09442965749876,73.31863285556781,72.59343148357871,22000.0,4117552.0
23000.0,12.6875,8.75947379326034E-6,23000.0,74.1,71.20840225530478,71.5071507150715,70.96412556053812,23000.0,4265136.0
24000.0,13.296875,9.450735265596047E-6,24000.0,71.2,67.98128684097594,67.78523489932886,67.30987514188422,24000.0,4384904.0
25000.0,13.921875,1.0189596149656509E-5,25000.0,69.3,65.86958624377564,65.85094549499443,65.23216308040769,25000.0,4569672.0
26000.0,14.453125,1.0778363341362113E-5,26000.0,72.7,69.6609359545692,69.32584269662921,69.11764705882352,26000.0,4283976.0
27000.0,15.0625,1.148227683087397E-5,27000.0,72.6,69.53893735360069,69.85698569856986,68.36027713625866,27000.0,4465160.0
28000.0,15.640625,1.2175320201398185E-5,28000.0,75.4,72.63951898939726,72.48322147651007,72.32845894263217,28000.0,4633840.0
29000.0,16.25,1.2931389210280032E-5,29000.0,74.1,71.20872231201741,71.22222222222221,70.56818181818181,29000.0,4796000.0
30000.0,16.828125,1.3666823053629034E-5,30000.0,74.3,71.43974786964968,71.60220994475138,71.05855855855856,30000.0,4917272.0
31000.0,17.421875,1.4450483787287441E-5,31000.0,72.89999999999999,69.85133705426425,69.92230854605992,69.16951080773606,31000.0,5101840.0
32000.0,18.0625,1.5314281239019086E-5,32000.0,72.1,68.96679447008299,68.8268156424581,68.47457627118644,32000.0,5212072.0
33000.0,18.625,1.6095691147105148E-5,33000.0,74.8,71.9875500222321,71.81208053691275,71.42857142857143,33000.0,5369808.0
34000.0,19.1875,1.6896866048530988E-5,34000.0,73.8,70.87746638403729,70.59483726150393,70.1254275940707,34000.0,5505632.0
35000.0,19.8125,1.7807381324625265E-5,35000.0,72.0,68.88964936412665,68.39729119638825,68.36158192090394,35000.0,5631312.0
36000.0,20.296875,1.8527095251354493E-5,36000.0,72.8,69.76756593338193,69.23076923076923,69.71046770601336,36000.0,5743552.0
37000.0,20.9375,1.9506056592541023E-5,37000.0,73.5,70.53643697688278,69.98867497168743,69.47004608294931,37000.0,5906960.0
38000.0,21.515625,2.0404573329465673E-5,38000.0,72.6,69.54641948139998,69.95614035087719,68.7214611872146,38000.0,6007680.0
39000.0,22.1875,2.146256854757667E-5,39000.0,75.0,72.21237305222628,71.81510710259302,71.65532879818595,39000.0,6086920.0
40000.0,22.828125,2.2484324064054014E-5,40000.0,74.1,71.20436893095942,71.41280353200882,70.86614173228347,40000.0,6165176.0
41000.0,23.453125,2.3496801053018626E-5,41000.0,74.5,71.66191216526329,71.21896162528216,71.28378378378379,41000.0,6261920.0
42000.0,24.078125,2.452498246889769E-5,42000.0,77.9,75.42765334089407,75.71428571428572,75.22421524663677,42000.0,6359048.0
43000.0,24.734375,2.561614056402404E-5,43000.0,74.8,71.97783135102436,72.18543046357617,71.74887892376681,43000.0,6427184.0
44000.0,25.390625,2.672511253169635E-5,44000.0,74.2,71.31507059494545,71.20535714285714,71.04377104377105,44000.0,6530648.0
45000.0,25.9375,2.766751202418366E-5,45000.0,73.3,70.31839359144102,70.26726057906458,69.79638009049773,45000.0,6661152.0
46000.0,26.59375,2.8815966248253573E-5,46000.0,74.3,71.42259860871421,71.18834080717488,70.76222980659841,46000.0,6764672.0
47000.0,27.1875,2.9868774808063695E-5,47000.0,73.4,70.42087974530821,70.70484581497797,70.11235955056179,47000.0,6854064.0
48000.0,27.84375,3.10541932251201E-5,48000.0,73.1,70.10363702036621,69.97767857142857,68.82966396292004,48000.0,6982400.0
49000.0,28.46875,3.220198750366561E-5,49000.0,73.9,70.9967774197133,71.22381477398015,70.80536912751678,49000.0,7098824.0
50000.0,29.078125,3.334198696797507E-5,50000.0,73.0,69.96789902095351,69.89966555183946,69.21322690992018,50000.0,7231400.0
