learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.296875,2.1122431563627388E-7,1000.0,52.300000000000004,46.89112680996041,47.0,45.29816513761468,1000.0,629992.0
2000.0,2.21875,4.273360698587365E-7,2000.0,60.6,56.16221316290745,56.367663344407525,55.17633674630261,2000.0,906168.0
3000.0,3.203125,7.553647608599729E-7,3000.0,71.7,68.497450853797,68.79823594266813,67.76765375854214,3000.0,1288112.0
4000.0,4.125,1.1208168709547155E-6,4000.0,71.8,68.65635809110552,68.56187290969899,68.02721088435374,4000.0,1532360.0
5000.0,4.96875,1.519442723494851E-6,5000.0,73.4,70.41732699418912,70.73707370737074,69.84126984126983,5000.0,1826224.0
6000.0,5.796875,1.927791260338078E-6,6000.0,70.39999999999999,67.08704808626752,67.14761376248613,66.40181611804768,6000.0,1906064.0
7000.0,7.09375,2.659927478008386E-6,7000.0,72.1,68.95042417726971,69.73969631236442,68.36734693877551,7000.0,2182208.0
8000.0,7.859375,3.129981826835622E-6,8000.0,73.8,70.86597011871561,71.33479212253829,70.3954802259887,8000.0,2373200.0
9000.0,8.59375,3.6090438111892173E-6,9000.0,74.0,71.09138901428308,71.17516629711751,71.01449275362319,9000.0,2521600.0
10000.0,9.453125,4.203405470535572E-6,10000.0,74.0,71.05492550539769,70.917225950783,70.75365579302587,10000.0,2673440.0
11000.0,10.25,4.782589061910079E-6,11000.0,75.5,72.76570390650966,72.89823008849558,72.44094488188976,11000.0,2809496.0
12000.0,10.984375,5.346385134746216E-6,12000.0,73.5,70.51817915824395,70.84708470847085,70.02262443438913,12000.0,2967608.0
13000.0,11.75,5.966246826574205E-6,13000.0,73.7,70.7575029798438,70.64732142857143,70.4161979752531,13000.0,3129544.0
14000.0,12.53125,6.625141379319958E-6,14000.0,71.89999999999999,68.77062972191412,68.74304783092325,68.1044267877412,14000.0,3260080.0
15000.0,13.265625,7.276433138435499E-6,15000.0,72.5,69.41280368914956,69.3422519509476,68.96162528216703,15000.0,3428152.0
16000.0,14.046875,7.98836942218865E-6,16000.0,74.8,71.96573589943263,72.06208425720621,71.2,16000.0,3522520.0
17000.0,14.8125,8.71651870612469E-6,17000.0,73.7,70.74296190244168,71.25683060109289,70.24886877828054,17000.0,3676264.0
18000.0,15.6875,9.578297613188624E-6,18000.0,71.89999999999999,68.77035206149017,68.70824053452115,68.24858757062147,18000.0,3807064.0
19000.0,16.4375,1.0339388391003012E-5,19000.0,76.4,73.76372679590627,73.69007803790413,73.4533183352081,19000.0,3922632.0
20000.0,17.1875,1.1118422650421659E-5,20000.0,73.3,70.33082793658131,70.06726457399103,70.33333333333334,20000.0,4015112.0
21000.0,17.890625,1.1865565999566267E-5,21000.0,74.9,72.09843139826877,72.59825327510917,71.24856815578465,21000.0,4107464.0
22000.0,18.8125,1.2874749566738804E-5,22000.0,75.8,73.09442965749876,73.31863285556781,72.59343148357871,22000.0,4231560.0
23000.0,19.625,1.3795220810506079E-5,23000.0,74.1,71.20840225530478,71.5071507150715,70.96412556053812,23000.0,4379144.0
24000.0,20.5625,1.4885999391683275E-5,24000.0,71.2,67.98128684097594,67.78523489932886,67.30987514188422,24000.0,4497464.0
25000.0,21.34375,1.583232175714026E-5,25000.0,69.3,65.86958624377564,65.85094549499443,65.23216308040769,25000.0,4682216.0
26000.0,22.203125,1.6810411115228716E-5,26000.0,72.7,69.6609359545692,69.32584269662921,69.11764705882352,26000.0,4399448.0
27000.0,23.03125,1.7791122534415787E-5,27000.0,72.6,69.53893735360069,69.85698569856986,68.36027713625866,27000.0,4577704.0
28000.0,23.953125,1.8923086334123378E-5,28000.0,75.4,72.63951898939726,72.48322147651007,72.32845894263217,28000.0,4746384.0
29000.0,24.78125,1.997498940909281E-5,29000.0,74.1,71.20872231201741,71.22222222222221,70.56818181818181,29000.0,4910008.0
30000.0,25.640625,2.1093548243192746E-5,30000.0,74.3,71.43974786964968,71.60220994475138,71.05855855855856,30000.0,5031280.0
31000.0,26.4375,2.2168504623954905E-5,31000.0,72.89999999999999,69.85133705426425,69.92230854605992,69.16951080773606,31000.0,5214384.0
32000.0,27.3125,2.337380134526433E-5,32000.0,72.1,68.96679447008299,68.8268156424581,68.47457627118644,32000.0,5324616.0
33000.0,28.171875,2.4592968402430414E-5,33000.0,74.8,71.9875500222321,71.81208053691275,71.42857142857143,33000.0,5483816.0
34000.0,29.046875,2.586471628294223E-5,34000.0,73.8,70.87746638403729,70.59483726150393,70.1254275940707,34000.0,5618176.0
35000.0,29.84375,2.704882444555147E-5,35000.0,72.0,68.88964936412665,68.39729119638825,68.36158192090394,35000.0,5743856.0
36000.0,30.703125,2.8351082615295634E-5,36000.0,72.8,69.76756593338193,69.23076923076923,69.71046770601336,36000.0,5857560.0
37000.0,31.609375,2.9762340418528768E-5,37000.0,73.5,70.53643697688278,69.98867497168743,69.47004608294931,37000.0,6019504.0
38000.0,32.4375,3.1073515969587286E-5,38000.0,72.6,69.54641948139998,69.95614035087719,68.7214611872146,38000.0,6120224.0
39000.0,33.265625,3.2401981265542824E-5,39000.0,75.0,72.21237305222628,71.81510710259302,71.65532879818595,39000.0,6200928.0
40000.0,34.125,3.379797527385462E-5,40000.0,74.1,71.20436893095942,71.41280353200882,70.86614173228347,40000.0,6279184.0
41000.0,35.046875,3.531821941982748E-5,41000.0,74.5,71.66191216526329,71.21896162528216,71.28378378378379,41000.0,6374464.0
42000.0,35.890625,3.673114985253455E-5,42000.0,77.9,75.42765334089407,75.71428571428572,75.22421524663677,42000.0,6473056.0
43000.0,36.734375,3.81586333646232E-5,43000.0,74.8,71.97783135102436,72.18543046357617,71.74887892376681,43000.0,6539728.0
44000.0,37.53125,3.952844336810004E-5,44000.0,74.2,71.31507059494545,71.20535714285714,71.04377104377105,44000.0,6644656.0
45000.0,38.390625,4.1034381299848765E-5,45000.0,73.3,70.31839359144102,70.26726057906458,69.79638009049773,45000.0,6773712.0
46000.0,39.28125,4.2618928483635595E-5,46000.0,74.3,71.42259860871421,71.18834080717488,70.76222980659841,46000.0,6877216.0
47000.0,40.15625,4.419624304217803E-5,47000.0,73.4,70.42087974530821,70.70484581497797,70.11235955056179,47000.0,6968072.0
48000.0,40.96875,4.568756341339192E-5,48000.0,73.1,70.10363702036621,69.97767857142857,68.82966396292004,48000.0,7094960.0
49000.0,41.84375,4.732028623240896E-5,49000.0,73.9,70.9967774197133,71.22381477398015,70.80536912751678,49000.0,7212848.0
50000.0,42.78125,4.910142707457352E-5,50000.0,73.0,69.96789902095351,69.89966555183946,69.21322690992018,50000.0,7343944.0
