learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,2.1875,5.474048925356733E-7,1000.0,25.8,17.41699963271712,17.555555555555554,14.908256880733944,1000.0,967304.0
2000.0,4.734375,1.184851280413568E-6,2000.0,25.2,16.88547195829162,17.16500553709856,14.903299203640502,2000.0,967472.0
3000.0,7.15625,1.7916936323874527E-6,3000.0,39.1,32.2088990012779,32.8555678059537,30.637813211845106,3000.0,968560.0
4000.0,9.4375,2.363979842306839E-6,4000.0,41.3,34.80045273143895,34.55964325529543,33.44671201814059,4000.0,969712.0
5000.0,11.953125,2.994807469399853E-6,5000.0,46.800000000000004,40.88947999408896,41.47414741474147,39.682539682539684,5000.0,969320.0
6000.0,14.21875,3.5633380240243345E-6,6000.0,48.4,42.5846264773888,42.730299667036626,41.43019296254256,6000.0,969992.0
7000.0,16.578125,4.155701608397067E-6,7000.0,49.1,43.30402741901888,44.7939262472885,42.290249433106574,7000.0,970496.0
8000.0,18.828125,4.720800206996501E-6,8000.0,52.6,47.27428052752416,48.140043763676154,46.440677966101696,8000.0,970832.0
9000.0,21.09375,5.29021697325839E-6,9000.0,53.800000000000004,48.68650788361833,48.78048780487806,48.49498327759198,9000.0,971504.0
10000.0,23.46875,5.8873292679588006E-6,10000.0,54.1,48.92395344179112,48.65771812080538,48.368953880764906,10000.0,971840.0
11000.0,25.796875,6.472454082945155E-6,11000.0,58.5,53.87136000569105,54.0929203539823,53.318335208098986,11000.0,971504.0
12000.0,28.0625,7.0417723812473325E-6,12000.0,60.699999999999996,56.32552045421458,56.76567656765676,55.54298642533937,12000.0,971336.0
13000.0,30.390625,7.626694827599245E-6,13000.0,60.3,55.8752592467451,55.69196428571428,55.34308211473565,13000.0,971168.0
14000.0,32.703125,8.207892630404482E-6,14000.0,57.99999999999999,53.324101877926964,53.28142380422691,52.32690124858115,14000.0,971504.0
15000.0,34.921875,8.765721221506182E-6,15000.0,62.6,58.44098119287718,58.30546265328874,57.78781038374717,15000.0,971840.0
16000.0,37.21875,9.343191664407237E-6,16000.0,64.2,60.17593781216837,60.310421286031044,59.08571428571429,16000.0,971840.0
17000.0,39.578125,9.936273046251802E-6,17000.0,64.0,59.961073265674955,60.65573770491803,59.276018099547514,17000.0,971672.0
18000.0,41.6875,1.0466603044834403E-5,18000.0,63.6,59.560183667869126,59.46547884187082,58.87005649717514,18000.0,971840.0
19000.0,44.015625,1.10519302284552E-5,19000.0,67.30000000000001,63.64275167665843,63.54515050167224,63.217097862767154,19000.0,971840.0
20000.0,46.46875,1.1668897609019445E-5,20000.0,65.7,61.88448442931184,61.54708520179373,61.88888888888889,20000.0,972176.0
21000.0,48.84375,1.2266113125305209E-5,21000.0,67.9,64.32588140633823,64.95633187772927,63.23024054982819,21000.0,972008.0
