learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.359375,1.0554762815849649E-8,1000.0,63.9,59.892275763379985,59.88888888888889,58.60091743119267,1000.0,113528.0
2000.0,0.53125,1.5602692858212523E-8,2000.0,74.3,71.41131333311826,71.53931339977852,70.76222980659841,2000.0,113528.0
3000.0,0.6875,2.0191720169451502E-8,3000.0,73.3,70.28717941869704,70.56229327453141,69.58997722095673,3000.0,113528.0
4000.0,0.9375,2.761798289914926E-8,4000.0,70.8,67.54960631671362,67.44704570791527,66.89342403628117,4000.0,114824.0
5000.0,1.109375,3.266662436847886E-8,5000.0,72.8,69.75358064229161,70.07700770077008,69.1609977324263,5000.0,113544.0
6000.0,1.25,3.679733102520307E-8,6000.0,71.6,68.41222491385656,68.47946725860156,67.7639046538025,6000.0,113544.0
7000.0,1.390625,4.097460381065806E-8,7000.0,74.4,71.50867149164347,72.23427331887203,70.97505668934241,7000.0,114824.0
8000.0,1.65625,4.886500796096193E-8,8000.0,73.3,70.32057117894027,70.78774617067833,69.83050847457626,8000.0,114824.0
9000.0,1.921875,5.666635439006819E-8,9000.0,72.89999999999999,69.86719326804189,69.95565410199556,69.78818283166109,9000.0,113528.0
10000.0,2.046875,6.037948575491707E-8,10000.0,74.6,71.73387105748708,71.58836689038031,71.42857142857143,10000.0,114824.0
11000.0,2.15625,6.362847569915984E-8,11000.0,75.0,72.2111993312903,72.34513274336283,71.8785151856018,11000.0,114824.0
12000.0,2.265625,6.684079481702713E-8,12000.0,73.8,70.85987827881979,71.17711771177117,70.36199095022624,12000.0,113528.0
13000.0,2.40625,7.101806760248212E-8,13000.0,73.1,70.09286776044497,69.97767857142857,69.74128233970754,13000.0,114824.0
14000.0,2.53125,7.473171636876134E-8,14000.0,70.7,67.42102378042881,67.40823136818686,66.74233825198638,14000.0,114840.0
15000.0,2.71875,8.030218951818017E-8,15000.0,71.6,68.42437638143353,68.33890746934225,67.94582392776523,15000.0,114840.0
16000.0,3.015625,8.912087650969626E-8,16000.0,74.8,71.97636673594732,72.06208425720621,71.2,16000.0,114824.0
17000.0,3.234375,9.554551474543083E-8,17000.0,73.0,69.99459902782502,70.49180327868852,69.45701357466064,17000.0,113528.0
18000.0,3.328125,9.833075132014024E-8,18000.0,73.6,70.63540969164956,70.60133630289532,70.16949152542374,18000.0,114840.0
19000.0,3.4375,1.01579741264383E-7,19000.0,76.4,73.76127653613273,73.69007803790413,73.4533183352081,19000.0,114824.0
20000.0,3.59375,1.0622180222223203E-7,20000.0,73.9,71.00106329434587,70.73991031390135,71.0,20000.0,114840.0
21000.0,3.71875,1.0993493358708091E-7,21000.0,72.89999999999999,69.88778477433061,70.41484716157204,68.95761741122566,21000.0,114824.0
22000.0,3.84375,1.136061554360721E-7,22000.0,75.2,72.43804394576074,72.65711135611907,71.91392978482446,22000.0,113528.0
23000.0,3.984375,1.1778342822152709E-7,23000.0,74.1,71.2151859343395,71.5071507150715,70.96412556053812,23000.0,114824.0
24000.0,4.109375,1.2149655958637596E-7,24000.0,70.7,67.4214584734785,67.22595078299776,66.74233825198638,24000.0,114824.0
25000.0,4.234375,1.2520969095122484E-7,25000.0,70.1,66.75432110433472,66.74082313681868,66.13816534541336,25000.0,114824.0
26000.0,4.375,1.2938696373667982E-7,26000.0,73.2,70.20480858813039,69.88764044943821,69.68325791855203,26000.0,114824.0
27000.0,4.515625,1.335170883167949E-7,27000.0,71.39999999999999,68.20879927080323,68.53685368536854,66.97459584295612,27000.0,113528.0
28000.0,4.65625,1.3769436110224987E-7,28000.0,75.4,72.62953406788543,72.48322147651007,72.32845894263217,28000.0,114824.0
29000.0,4.8125,1.4233577530831098E-7,29000.0,74.3,71.43041360312509,71.44444444444444,70.79545454545455,29000.0,114824.0
30000.0,4.9375,1.4604890667315986E-7,30000.0,73.8,70.88102676611574,71.04972375690608,70.4954954954955,30000.0,114824.0
31000.0,5.0625,1.4972012852215103E-7,31000.0,72.6,69.50551071035466,69.58934517203107,68.82821387940842,31000.0,113528.0
32000.0,5.1875,1.5343377728843026E-7,32000.0,71.8,68.619735738115,68.49162011173185,68.13559322033898,32000.0,114840.0
33000.0,5.359375,1.5853933291509747E-7,33000.0,72.5,69.42956683363681,69.23937360178971,68.82086167800453,33000.0,114824.0
34000.0,5.5,1.6271660570055245E-7,34000.0,74.0,71.09579188080794,70.81930415263749,70.35347776510832,34000.0,114824.0
35000.0,5.640625,1.6684673028066753E-7,35000.0,72.3,69.20792101220344,68.73589164785552,68.7005649717514,35000.0,113528.0
36000.0,5.75,1.700957202249103E-7,36000.0,71.89999999999999,68.76524917216794,68.21266968325791,68.70824053452115,36000.0,114824.0
37000.0,5.875,1.738088515897592E-7,37000.0,73.0,70.01669070883875,69.42242355605889,68.89400921658986,37000.0,114824.0
38000.0,6.015625,1.7798612437521417E-7,38000.0,74.0,71.11217033153228,71.49122807017544,70.31963470319634,38000.0,114824.0
39000.0,6.1875,1.8303405441757706E-7,39000.0,74.5,71.67337063561624,71.25140924464488,71.08843537414967,39000.0,113528.0
40000.0,6.28125,1.8581929099228647E-7,40000.0,74.0,71.08450885926163,71.30242825607064,70.75365579302587,40000.0,114840.0
41000.0,6.421875,1.8999656377774145E-7,41000.0,74.7,71.8821093530329,71.44469525959369,71.509009009009,41000.0,114824.0
42000.0,6.546875,1.9370969514259033E-7,42000.0,76.9,74.31055535908506,74.61538461538461,74.10313901345292,42000.0,114824.0
43000.0,6.671875,1.973809169915815E-7,43000.0,75.5,72.75174055208309,72.9580573951435,72.53363228699553,43000.0,113528.0
44000.0,6.796875,2.0109404835643038E-7,44000.0,74.1,71.19774030147848,71.09375,70.93153759820426,44000.0,114824.0
45000.0,6.953125,2.057354625624915E-7,45000.0,72.6,69.55301830708113,69.48775055679288,69.00452488687783,45000.0,114824.0
46000.0,7.078125,2.0944859392734037E-7,46000.0,75.7,72.96903452733076,72.75784753363229,72.35494880546075,46000.0,114824.0
47000.0,7.203125,2.1311981577633154E-7,47000.0,74.6,71.74493911813062,72.02643171806167,71.46067415730337,47000.0,113528.0
48000.0,7.328125,2.1683294714118042E-7,48000.0,72.5,69.43931704097021,69.30803571428571,68.13441483198146,48000.0,114824.0
49000.0,7.453125,2.205460785060293E-7,49000.0,74.6,71.77620978943274,71.99558985667034,71.58836689038031,49000.0,114824.0
50000.0,7.59375,2.2467678516275352E-7,50000.0,72.0,68.85140674834273,68.78483835005575,68.07297605473204,50000.0,113544.0
