learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,2.375,1.9766933595140775E-7,1000.0,30.0,22.117773502908904,22.22222222222222,19.724770642201833,1000.0,321720.0
2000.0,4.640625,3.862448567007151E-7,2000.0,41.0,34.284683207620304,34.662236987818375,32.8782707622298,2000.0,321736.0
3000.0,7.125,5.930276691085763E-7,3000.0,56.3,51.298556564999146,51.81918412348401,50.22779043280181,3000.0,321736.0
4000.0,9.3125,7.751005856941144E-7,4000.0,61.7,57.40236744962524,57.30211817168339,56.575963718820866,4000.0,321736.0
5000.0,11.453125,9.53271939781391E-7,5000.0,65.8,61.90662891487357,62.37623762376238,61.224489795918366,5000.0,321736.0
6000.0,13.484375,1.1223396480393907E-6,6000.0,68.89999999999999,65.41908510685613,65.48279689234184,64.69920544835414,6000.0,321736.0
7000.0,15.484375,1.2888063146318826E-6,7000.0,72.39999999999999,69.2760844373349,70.06507592190889,68.70748299319727,7000.0,321736.0
8000.0,17.546875,1.46047506455539E-6,8000.0,70.89999999999999,67.64049141972617,68.16192560175054,67.11864406779661,8000.0,321736.0
9000.0,19.515625,1.6243325404098464E-6,9000.0,73.6,70.63583429267398,70.73170731707317,70.5685618729097,9000.0,321720.0
10000.0,21.5625,1.7947007695006E-6,10000.0,71.7,68.47105799097136,68.34451901565996,68.16647919010124,10000.0,321736.0
11000.0,23.578125,1.9624596138277814E-6,11000.0,74.7,71.86572500247425,72.01327433628319,71.54105736782903,11000.0,321720.0
12000.0,25.625,2.132827842918535E-6,12000.0,73.9,70.96716063280468,71.28712871287128,70.47511312217193,12000.0,321736.0
13000.0,27.609375,2.297993988678273E-6,13000.0,74.3,71.43171568665593,71.31696428571429,71.09111361079866,13000.0,321736.0
14000.0,29.671875,2.4696627386017805E-6,14000.0,70.39999999999999,67.09370733854794,67.07452725250278,66.40181611804768,14000.0,321736.0
15000.0,31.6875,2.637429926027026E-6,15000.0,71.8,68.63195269431503,68.56187290969899,68.17155756207674,15000.0,321736.0
16000.0,33.71875,2.8064892265117826E-6,16000.0,74.0,71.07415030316515,71.17516629711751,70.28571428571428,16000.0,321720.0
17000.0,35.8125,2.9807503516268394E-6,17000.0,72.6,69.53016402557687,70.05464480874318,69.00452488687783,17000.0,321720.0
18000.0,37.828125,3.148517539052085E-6,18000.0,73.7,70.76731897412185,70.71269487750557,70.28248587570621,18000.0,321736.0
19000.0,39.875,3.3188857681428387E-6,19000.0,76.3,73.65384487117063,73.57859531772576,73.3408323959505,19000.0,321736.0
