learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,2.609375,1.2332895938824448E-6,1000.0,52.800000000000004,47.48477670460298,47.555555555555564,45.87155963302752,1000.0,1827384.0
2000.0,4.84375,2.634232288174745E-6,2000.0,67.0,63.32192237585026,63.45514950166113,62.45733788395905,2000.0,2423632.0
3000.0,7.21875,4.422128452764203E-6,3000.0,71.39999999999999,68.1593191883521,68.46747519294377,67.42596810933941,3000.0,2909920.0
4000.0,9.25,6.24553484764571E-6,4000.0,71.1,67.88089480048367,67.78149386845038,67.23356009070295,4000.0,3469944.0
5000.0,11.296875,8.295782641248985E-6,5000.0,71.5,68.29786216355411,68.64686468646865,67.68707482993197,5000.0,3871840.0
6000.0,13.234375,1.051489189396509E-5,6000.0,71.2,67.96101924007542,68.03551609322975,67.30987514188422,6000.0,4427304.0
7000.0,15.1875,1.2969913174553465E-5,7000.0,72.2,69.07637357075559,69.84815618221259,68.48072562358276,7000.0,4858784.0
8000.0,17.03125,1.542657862753711E-5,8000.0,73.9,70.9576304096977,71.44420131291028,70.50847457627118,8000.0,5150464.0
9000.0,18.828125,1.792355243297708E-5,9000.0,74.6,71.76554284634453,71.84035476718404,71.68338907469342,9000.0,5371536.0
10000.0,20.65625,2.0559587347735136E-5,10000.0,75.1,72.25768929948995,72.14765100671141,71.9910011248594,10000.0,5573752.0
11000.0,22.53125,2.3365976586420507E-5,11000.0,74.8,71.99393201860403,72.12389380530973,71.65354330708661,11000.0,5785608.0
12000.0,24.375,2.621027750946168E-5,12000.0,73.7,70.74992520655779,71.06710671067107,70.24886877828054,12000.0,5963152.0
13000.0,26.28125,2.9222864864601037E-5,13000.0,73.5,70.53293139510446,70.42410714285714,70.1912260967379,13000.0,6108888.0
14000.0,28.15625,3.2266671510620254E-5,14000.0,72.6,69.53141766755218,69.52169076751946,68.89897843359817,14000.0,6275064.0
15000.0,30.09375,3.546410667089125E-5,15000.0,72.3,69.19518243791772,69.11928651059085,68.73589164785552,15000.0,6379144.0
16000.0,31.96875,3.862670351130267E-5,16000.0,75.4,72.63641470292157,72.72727272727273,71.88571428571429,16000.0,6519960.0
17000.0,33.9375,4.2055812858355546E-5,17000.0,73.0,69.96078213222819,70.49180327868852,69.45701357466064,17000.0,6732760.0
18000.0,35.875,4.560483664843358E-5,18000.0,72.89999999999999,69.87473001199453,69.82182628062361,69.37853107344633,18000.0,7080592.0
19000.0,37.875,4.935087681385792E-5,19000.0,76.7,74.09574125091999,74.02452619843925,73.79077615298087,19000.0,7240104.0
20000.0,39.875,5.3230319624870194E-5,20000.0,73.6,70.66190737608545,70.4035874439462,70.66666666666667,20000.0,7497936.0
21000.0,41.984375,5.746937111123569E-5,21000.0,75.9,73.21397807992015,73.68995633187772,72.39404352806415,21000.0,7768144.0
22000.0,43.921875,6.153110776924426E-5,22000.0,74.7,71.88632742094279,72.1058434399118,71.34767836919592,22000.0,8103496.0
23000.0,45.9375,6.592616839851771E-5,23000.0,74.6,71.77024984440295,72.05720572057206,71.52466367713004,23000.0,8428640.0
24000.0,47.90625,7.037984841089283E-5,24000.0,71.2,67.98416995069783,67.78523489932886,67.30987514188422,24000.0,8744416.0
25000.0,49.828125,7.483592764603804E-5,25000.0,70.0,66.65425463922682,66.62958843159065,66.02491506228765,25000.0,8962520.0
26000.0,51.875,7.955861866422414E-5,26000.0,73.1,70.09592648711623,69.7752808988764,69.57013574660633,26000.0,8918680.0
27000.0,53.84375,8.42328288773489E-5,27000.0,72.2,69.0985445192156,69.41694169416942,67.89838337182448,27000.0,9177408.0
28000.0,55.921875,8.932673239744168E-5,28000.0,74.7,71.85981069327194,71.70022371364654,71.54105736782903,28000.0,9475048.0
29000.0,57.90625,9.431457997480824E-5,29000.0,74.0,71.09415301421278,71.11111111111111,70.45454545454545,29000.0,9716096.0
