learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.859375,6.270290274793903E-7,1000.0,58.3,53.56269870877575,53.666666666666664,52.178899082568805,1000.0,1303952.0
2000.0,3.4375,1.399568637781259E-6,2000.0,70.5,67.19809459847131,67.33111849390919,66.4391353811149,2000.0,1892264.0
3000.0,4.59375,2.1142421691264544E-6,3000.0,72.0,68.84558425099777,69.12899669239249,68.10933940774487,3000.0,2389232.0
4000.0,6.15625,3.1910774285077222E-6,4000.0,71.7,68.5576866456829,68.45039018952063,67.91383219954649,4000.0,2663984.0
5000.0,7.296875,4.108676285896864E-6,5000.0,73.2,70.19741985274412,70.51705170517052,69.61451247165533,5000.0,3109656.0
6000.0,8.515625,5.214438877171941E-6,6000.0,70.7,67.40478693521563,67.48057713651498,66.74233825198638,6000.0,3507112.0
7000.0,9.703125,6.403767814238867E-6,7000.0,71.1,67.82353491313468,68.65509761388286,67.23356009070295,7000.0,3871424.0
8000.0,10.859375,7.672670245584514E-6,8000.0,73.9,70.97142297862118,71.44420131291028,70.50847457627118,8000.0,4242080.0
9000.0,11.96875,8.969637791677895E-6,9000.0,73.8,70.88655981367398,70.95343680709534,70.79152731326644,9000.0,4519112.0
10000.0,12.953125,1.0171096299826684E-5,10000.0,74.5,71.6130152655185,71.47651006711409,71.31608548931383,10000.0,4717920.0
11000.0,14.109375,1.1624904420588993E-5,11000.0,75.8,73.08721854179433,73.23008849557522,72.77840269966255,11000.0,4860240.0
12000.0,15.265625,1.3154926612817993E-5,12000.0,73.6,70.63913269777436,70.95709570957096,70.13574660633483,12000.0,5115032.0
13000.0,16.390625,1.4714978072637072E-5,13000.0,74.1,71.1965871848167,71.09375,70.86614173228347,13000.0,5360296.0
14000.0,17.53125,1.6370991102626754E-5,14000.0,71.8,68.65144520172572,68.63181312569522,67.99091940976163,14000.0,5612072.0
15000.0,18.703125,1.8149072647146466E-5,15000.0,73.3,70.30281122264549,70.23411371237458,69.86455981941309,15000.0,5865064.0
16000.0,19.890625,1.9995559349707845E-5,16000.0,75.0,72.19373624980257,72.2838137472284,71.42857142857143,16000.0,6010560.0
17000.0,21.078125,2.1932227310672817E-5,17000.0,73.9,70.97258521937385,71.47540983606558,70.47511312217193,17000.0,6304112.0
18000.0,22.328125,2.404592856894144E-5,18000.0,72.0,68.87450199203187,68.8195991091314,68.36158192090394,18000.0,6536360.0
19000.0,23.625,2.630393547911404E-5,19000.0,77.10000000000001,74.53351289616235,74.47045707915272,74.24071991001125,19000.0,6730224.0
20000.0,24.875,2.855329163139686E-5,20000.0,74.2,71.32861848392847,71.0762331838565,71.33333333333334,20000.0,6955856.0
21000.0,26.09375,3.083686470442141E-5,21000.0,73.6,70.65887496790815,71.17903930131004,69.7594501718213,21000.0,7242736.0
22000.0,27.21875,3.302037143536533E-5,22000.0,75.8,73.0953569479017,73.31863285556781,72.59343148357871,22000.0,7502472.0
23000.0,28.28125,3.5154537472408264E-5,23000.0,73.6,70.65104650141575,70.95709570957096,70.4035874439462,23000.0,7764288.0
24000.0,29.5625,3.781747354272132E-5,24000.0,71.1,67.87032507671098,67.67337807606265,67.19636776390465,24000.0,8033952.0
25000.0,30.90625,4.056410207542487E-5,25000.0,69.6,66.19442652847897,66.18464961067852,65.57191392978481,25000.0,7901032.0
26000.0,32.109375,4.310603774178566E-5,26000.0,72.8,69.76292801575885,69.438202247191,69.23076923076923,26000.0,8166880.0
27000.0,33.34375,4.579912185565465E-5,27000.0,72.7,69.6467346891125,69.96699669966998,68.4757505773672,27000.0,8433448.0
28000.0,34.609375,4.865746084962868E-5,28000.0,75.4,72.63964071176974,72.48322147651007,72.32845894263217,28000.0,8729936.0
29000.0,35.8125,5.1434551585569147E-5,29000.0,73.9,70.99068478655924,71.0,70.3409090909091,29000.0,8922400.0
30000.0,37.0625,5.4372970027745595E-5,30000.0,74.2,71.31666512873592,71.49171270718232,70.94594594594594,30000.0,9086696.0
31000.0,38.359375,5.748696725479223E-5,31000.0,73.2,70.18306264449532,70.25527192008879,69.51080773606371,31000.0,9281592.0
32000.0,39.515625,6.03033606441588E-5,32000.0,71.5,68.27767828223071,68.15642458100558,67.79661016949152,32000.0,9415512.0
33000.0,40.828125,6.357212476561674E-5,33000.0,73.5,70.55143275614141,70.35794183445189,69.95464852607711,33000.0,9626904.0
34000.0,42.15625,6.692009586711518E-5,34000.0,73.1,70.09582675589746,69.80920314253648,69.327251995439,34000.0,9744176.0
35000.0,43.484375,7.036796004589026E-5,35000.0,73.5,70.54252880718363,70.09029345372461,70.05649717514125,35000.0,1.0034912E7
36000.0,44.84375,7.396181269238392E-5,36000.0,72.5,69.43218335354514,68.89140271493213,69.37639198218262,36000.0,1.0219352E7
37000.0,46.21875,7.765160304390722E-5,37000.0,73.6,70.64262623948723,70.10192525481314,69.5852534562212,37000.0,1.0372928E7
38000.0,47.546875,8.128484196883316E-5,38000.0,73.3,70.3140044517875,70.72368421052632,69.52054794520548,38000.0,1.057444E7
39000.0,48.859375,8.491230381575103E-5,39000.0,75.6,72.8775275865557,72.49154453213077,72.33560090702949,39000.0,1.0683312E7
40000.0,50.21875,8.8726780959405E-5,40000.0,74.1,71.20638573437613,71.41280353200882,70.86614173228347,40000.0,1.0846712E7
41000.0,51.609375,9.26778452251003E-5,41000.0,74.5,71.66074691157708,71.21896162528216,71.28378378378379,41000.0,1.0982632E7
42000.0,52.9375,9.650466924843688E-5,42000.0,75.1,72.31749278753954,72.63736263736263,72.08520179372198,42000.0,1.1137864E7
43000.0,54.3125,1.0050839240041871E-4,43000.0,76.8,74.19986210271125,74.39293598233996,73.99103139013454,43000.0,1.1255472E7
44000.0,55.71875,1.0467273726438481E-4,44000.0,74.8,71.9861487068606,71.875,71.71717171717171,44000.0,1.1446864E7
45000.0,57.09375,1.088181425196429E-4,45000.0,73.8,70.87931141797746,70.8240534521158,70.36199095022624,45000.0,1.1653776E7
46000.0,58.5,1.1313274463949103E-4,46000.0,74.6,71.75021854653762,71.52466367713004,71.10352673492605,46000.0,1.1859888E7
47000.0,59.96875,1.1770659197484039E-4,47000.0,75.4,72.64459997731504,72.90748898678414,72.35955056179776,47000.0,1.2037496E7
48000.0,61.421875,1.2228401681770466E-4,48000.0,71.7,68.5438468763373,68.41517857142857,67.20741599073001,48000.0,1.2176448E7
49000.0,62.984375,1.2730838892619227E-4,49000.0,74.8,71.99595497127363,72.21609702315325,71.81208053691275,49000.0,1.24298E7
50000.0,64.53125,1.3239133042386835E-4,50000.0,72.8,69.74516979411143,69.67670011148272,68.98517673888254,50000.0,1.2701712E7
