learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.8125,1.7070638326307137E-7,1000.0,62.4,58.13383810266117,58.22222222222222,56.88073394495413,1000.0,821328.0
2000.0,1.390625,3.1762947199038333E-7,2000.0,66.60000000000001,62.84244194131554,63.012181616832784,62.002275312855524,2000.0,982360.0
3000.0,1.78125,4.276209316837291E-7,3000.0,69.69999999999999,66.31716557280828,66.59316427783902,65.48974943052391,3000.0,1088432.0
4000.0,2.296875,6.198534780802826E-7,4000.0,70.1,66.79050808301264,66.66666666666666,66.09977324263038,4000.0,1441104.0
5000.0,2.75,8.300019221173392E-7,5000.0,71.3,68.10044248131875,68.42684268426844,67.46031746031746,5000.0,1792712.0
6000.0,3.21875,1.0246803544254767E-6,6000.0,69.5,66.08262051234148,66.14872364039955,65.38024971623156,6000.0,1605384.0
7000.0,3.84375,1.3151301148658E-6,7000.0,71.0,67.7502221342458,68.5466377440347,67.12018140589568,7000.0,1796360.0
8000.0,4.25,1.5003811050620346E-6,8000.0,70.89999999999999,67.63055675442382,68.16192560175054,67.11864406779661,8000.0,1762664.0
9000.0,4.578125,1.6563448459944794E-6,9000.0,72.5,69.45598329519959,69.51219512195121,69.3422519509476,9000.0,1837328.0
10000.0,4.984375,1.8728021273596422E-6,10000.0,72.5,69.35072577481365,69.23937360178971,69.06636670416198,10000.0,2059592.0
11000.0,5.34375,2.0762782595637774E-6,11000.0,72.3,69.17207546497859,69.35840707964601,68.8413948256468,11000.0,2188608.0
12000.0,5.796875,2.3605796417945792E-6,12000.0,71.39999999999999,68.18361834581515,68.53685368536854,67.6470588235294,12000.0,2425288.0
13000.0,6.421875,2.8094525461912986E-6,13000.0,71.89999999999999,68.74652430207986,68.63839285714285,68.39145106861642,13000.0,2776168.0
14000.0,6.859375,3.151659265212301E-6,14000.0,67.4,63.77310853398883,63.73748609566186,62.99659477866062,14000.0,3023520.0
15000.0,7.28125,3.501808904628787E-6,15000.0,70.8,67.51086494533591,67.44704570791527,67.04288939051918,15000.0,3208280.0
16000.0,7.703125,3.8793245847854355E-6,16000.0,74.4,71.5375293241275,71.61862527716187,70.74285714285715,16000.0,3459024.0
17000.0,8.140625,4.293393447167344E-6,17000.0,73.4,70.42393837505114,70.92896174863388,69.90950226244344,17000.0,3658448.0
18000.0,8.59375,4.7472097665174974E-6,18000.0,71.89999999999999,68.76115176855238,68.70824053452115,68.24858757062147,18000.0,3871368.0
19000.0,9.0625,5.240992144940215E-6,19000.0,76.0,73.32156517930687,73.24414715719064,73.00337457817773,19000.0,4071896.0
20000.0,9.5,5.7234244822110575E-6,20000.0,72.0,68.88802466735187,68.60986547085201,68.88888888888889,20000.0,4262464.0
21000.0,9.90625,6.187844652837764E-6,21000.0,73.8,70.88028239457441,71.39737991266377,69.9885452462772,21000.0,4418960.0
22000.0,10.328125,6.691418918004881E-6,22000.0,74.5,71.64262591508133,71.88533627342889,71.1211778029445,22000.0,4614048.0
23000.0,10.78125,7.261503390812626E-6,23000.0,72.89999999999999,69.87248613133818,70.18701870187019,69.61883408071749,23000.0,4863216.0
24000.0,11.1875,7.797499775834797E-6,24000.0,71.1,67.87221813985701,67.67337807606265,67.19636776390465,24000.0,5100008.0
25000.0,11.671875,8.461036551226346E-6,25000.0,70.0,66.63890282023594,66.62958843159065,66.02491506228765,25000.0,5295240.0
26000.0,12.15625,9.148289650006014E-6,26000.0,72.6,69.55589382340196,69.21348314606742,69.00452488687783,26000.0,5484504.0
27000.0,12.6875,9.934867234227973E-6,27000.0,72.8,69.74490056973022,70.07700770077008,68.59122401847574,27000.0,5723280.0
28000.0,13.1875,1.0696765675675124E-5,28000.0,75.6,72.86995814857478,72.7069351230425,72.55343082114736,28000.0,5890192.0
29000.0,13.6875,1.1484888091217726E-5,29000.0,73.6,70.65023079591238,70.66666666666667,70.0,29000.0,6092928.0
30000.0,14.203125,1.2320619134698063E-5,30000.0,72.6,69.54462546002621,69.72375690607736,69.14414414414414,30000.0,6265200.0
31000.0,14.6875,1.3127732996104492E-5,31000.0,73.3,70.29858267506317,70.36625971143174,69.6245733788396,31000.0,6441032.0
32000.0,15.265625,1.4117007150263008E-5,32000.0,70.7,67.40688993874052,67.26256983240224,66.89265536723164,32000.0,6614504.0
33000.0,15.765625,1.5001266890774584E-5,33000.0,74.2,71.31902471344037,71.14093959731544,70.74829931972789,33000.0,6836160.0
34000.0,16.28125,1.5934263517717935E-5,34000.0,73.3,70.3053543783476,70.03367003367003,69.55530216647662,34000.0,6994368.0
35000.0,16.84375,1.697823305019281E-5,35000.0,72.3,69.21651017466573,68.73589164785552,68.7005649717514,35000.0,7174104.0
36000.0,17.390625,1.80153541926605E-5,36000.0,72.1,68.95957847330078,68.43891402714932,68.93095768374164,36000.0,7330672.0
37000.0,17.890625,1.8983245665569685E-5,37000.0,74.3,71.41468395429465,70.8946772366931,70.39170506912443,37000.0,7482712.0
38000.0,18.46875,2.0130932809681527E-5,38000.0,74.0,71.08740278139184,71.49122807017544,70.31963470319634,38000.0,7673688.0
39000.0,18.984375,2.1179896656475545E-5,39000.0,73.9,70.97639413389558,70.5749718151071,70.40816326530613,39000.0,7863736.0
40000.0,19.5625,2.237850525287083E-5,40000.0,75.3,72.54481752863342,72.7373068432671,72.21597300337457,40000.0,8014160.0
41000.0,20.09375,2.3494107137796362E-5,41000.0,75.5,72.76603691369168,72.34762979683973,72.40990990990991,41000.0,8117320.0
42000.0,20.609375,2.4592766648210167E-5,42000.0,76.8,74.20872478819471,74.50549450549451,73.99103139013454,42000.0,8236288.0
43000.0,21.15625,2.577424747869372E-5,43000.0,75.8,73.08230918193578,73.28918322295806,72.86995515695067,43000.0,8351048.0
44000.0,21.75,2.7087318206516404E-5,44000.0,74.2,71.31931166347992,71.20535714285714,71.04377104377105,44000.0,8548440.0
45000.0,22.3125,2.8349081015524763E-5,45000.0,71.8,68.64042915906307,68.59688195991092,68.09954751131222,45000.0,8670768.0
46000.0,22.875,2.963724798367669E-5,46000.0,74.3,71.41655971047311,71.18834080717488,70.76222980659841,46000.0,8852216.0
47000.0,23.421875,3.091108157402939E-5,47000.0,73.1,70.08182454157902,70.37444933920705,69.7752808988764,47000.0,9003824.0
48000.0,24.0,3.227970313875832E-5,48000.0,73.1,70.10097866499201,69.97767857142857,68.82966396292004,48000.0,9149608.0
49000.0,24.5625,3.362713598309912E-5,49000.0,74.5,71.66291987496125,71.88533627342889,71.47651006711409,49000.0,9259488.0
50000.0,25.15625,3.5074803971737203E-5,50000.0,73.6,70.6445195875555,70.5685618729097,69.89737742303306,50000.0,9424704.0
