learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.4375,2.956523611727688E-7,1000.0,63.9,59.813293228261614,59.88888888888889,58.60091743119267,1000.0,795432.0
2000.0,2.75,7.718569961273008E-7,2000.0,64.8,60.819234194122885,61.01882613510521,59.954493742889646,2000.0,1402480.0
3000.0,3.84375,1.1597007849357194E-6,3000.0,69.8,66.39336235522438,66.70341786108048,65.60364464692482,3000.0,1370696.0
4000.0,5.09375,1.7650940895287526E-6,4000.0,71.8,68.65924935568084,68.56187290969899,68.02721088435374,4000.0,1872104.0
5000.0,6.203125,2.4465697869244546E-6,5000.0,72.0,68.85414395614663,69.1969196919692,68.25396825396825,5000.0,2374512.0
6000.0,7.234375,3.1510233465168207E-6,6000.0,69.5,66.0722449828637,66.14872364039955,65.38024971623156,6000.0,2640528.0
7000.0,8.515625,4.0725996303889485E-6,7000.0,70.6,67.28921011230705,68.11279826464208,66.66666666666666,7000.0,2779904.0
8000.0,9.578125,4.993131022072501E-6,8000.0,73.0,69.95543389360886,70.45951859956236,69.49152542372882,8000.0,3348976.0
9000.0,10.5625,5.9471001602812776E-6,9000.0,72.89999999999999,69.89718388710668,69.95565410199556,69.78818283166109,9000.0,3746072.0
10000.0,11.578125,7.0147990805303885E-6,10000.0,74.0,71.04412652380284,70.917225950783,70.75365579302587,10000.0,4063664.0
11000.0,12.5,8.078575806899204E-6,11000.0,74.5,71.65283955173689,71.7920353982301,71.31608548931383,11000.0,4460472.0
12000.0,13.4375,9.231813148491914E-6,12000.0,72.39999999999999,69.3237896234384,69.63696369636963,68.77828054298642,12000.0,4754544.0
13000.0,14.4375,1.0575877192119758E-5,13000.0,72.5,69.40552146897998,69.30803571428571,69.06636670416198,13000.0,5195440.0
