learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.5625,5.5748969316482543E-8,1000.0,59.8,55.351936693044564,55.333333333333336,53.89908256880733,1000.0,383104.0
2000.0,1.046875,1.0396654640013973E-7,2000.0,73.0,69.96916834616873,70.09966777408638,69.28327645051195,2000.0,384792.0
3000.0,1.421875,1.4135604336236915E-7,3000.0,74.1,71.18229368914484,71.44432194046306,70.50113895216401,3000.0,385408.0
4000.0,1.953125,1.9439376450868117E-7,4000.0,72.0,68.86494949450022,68.78483835005575,68.25396825396825,4000.0,385912.0
5000.0,2.359375,2.3508990933704707E-7,5000.0,72.89999999999999,69.87436163661143,70.18701870187019,69.27437641723357,5000.0,387224.0
6000.0,2.671875,2.6634418948863943E-7,6000.0,70.8,67.51162405163426,67.59156492785793,66.85584562996596,6000.0,386600.0
7000.0,3.09375,3.087321723190447E-7,7000.0,73.6,70.62041013462307,71.36659436008676,70.06802721088435,7000.0,388384.0
8000.0,3.671875,3.6684453435656096E-7,8000.0,73.3,70.32202272643907,70.78774617067833,69.83050847457626,8000.0,388552.0
9000.0,4.109375,4.1071280267917447E-7,9000.0,73.4,70.41650447644999,70.50997782705099,70.34559643255295,9000.0,387592.0
10000.0,4.453125,4.4531091892470915E-7,10000.0,73.6,70.62508484232124,70.46979865771812,70.3037120359955,10000.0,389056.0
11000.0,4.875,4.876674696182211E-7,11000.0,74.5,71.65397394611142,71.7920353982301,71.31608548931383,11000.0,388096.0
12000.0,5.25,5.254760617390275E-7,12000.0,73.6,70.63034619479423,70.95709570957096,70.13574660633483,12000.0,389728.0
13000.0,5.625,5.633009520048896E-7,13000.0,73.3,70.32370502429677,70.20089285714286,69.96625421822273,13000.0,389896.0
14000.0,6.046875,6.059290414365629E-7,14000.0,69.8,66.42818076312524,66.40711902113459,65.72077185017025,14000.0,390584.0
15000.0,6.640625,6.659499356626636E-7,15000.0,71.89999999999999,68.75132056252072,68.67335562987736,68.2844243792325,15000.0,390752.0
16000.0,7.15625,7.178983327725695E-7,16000.0,75.0,72.19908568352996,72.2838137472284,71.42857142857143,16000.0,389440.0
17000.0,7.59375,7.621414584314657E-7,17000.0,72.5,69.44271286484012,69.94535519125684,68.89140271493213,17000.0,390904.0
18000.0,8.109375,8.142872765246364E-7,18000.0,72.8,69.75169701876285,69.71046770601336,69.26553672316385,18000.0,390920.0
19000.0,8.484375,8.522099556608332E-7,19000.0,76.0,73.3176203764439,73.24414715719064,73.00337457817773,19000.0,390904.0
20000.0,8.828125,8.869738343896137E-7,20000.0,72.8,69.77932239018895,69.50672645739911,69.77777777777777,20000.0,390920.0
21000.0,9.21875,9.263796123882962E-7,21000.0,73.7,70.77254931159906,71.2882096069869,69.87399770904925,21000.0,389944.0
22000.0,9.59375,9.643348878146046E-7,22000.0,74.5,71.66065242734847,71.88533627342889,71.1211778029445,22000.0,391240.0
23000.0,10.0,1.0054884155073928E-6,23000.0,74.3,71.43673236218223,71.72717271727173,71.18834080717488,23000.0,391576.0
24000.0,10.375,1.0435088835139243E-6,24000.0,71.2,67.98416995069783,67.78523489932886,67.30987514188422,24000.0,391912.0
25000.0,10.75,1.0815782459556231E-6,25000.0,70.39999999999999,67.0973651214285,67.07452725250278,66.47791619479048,25000.0,392416.0
26000.0,11.3125,1.1384936967968115E-6,26000.0,73.2,70.20782266984598,69.88764044943821,69.68325791855203,26000.0,391120.0
27000.0,11.765625,1.1845138700058066E-6,27000.0,72.1,68.98328543715225,69.3069306930693,67.78290993071593,27000.0,392584.0
28000.0,12.15625,1.2241864331170092E-6,28000.0,75.7,72.97177051587214,72.81879194630872,72.66591676040494,28000.0,392584.0
29000.0,12.546875,1.2638589962282119E-6,29000.0,73.9,70.98368638367793,71.0,70.3409090909091,29000.0,392584.0
30000.0,13.046875,1.314639877010551E-6,30000.0,74.1,71.21105851046684,71.38121546961325,70.83333333333334,30000.0,392584.0
31000.0,13.453125,1.3558993426462018E-6,31000.0,72.5,69.39503442780399,69.47835738068812,68.71444823663253,31000.0,392584.0
32000.0,13.84375,1.395442555399819E-6,32000.0,71.6,68.40185716971874,68.26815642458101,67.909604519774,32000.0,391304.0
33000.0,14.28125,1.439875826084366E-6,33000.0,72.89999999999999,69.86223370892478,69.68680089485458,69.27437641723357,33000.0,392584.0
34000.0,14.6875,1.4811352917200167E-6,34000.0,74.1,71.21272242062102,70.93153759820426,70.46750285062714,34000.0,392584.0
35000.0,15.125,1.5255685624045636E-6,35000.0,72.5,69.43924911679429,68.96162528216703,68.92655367231639,35000.0,392584.0
36000.0,15.609375,1.5761950635351247E-6,36000.0,66.2,62.407520275470574,61.76470588235294,62.360801781737194,36000.0,404016.0
37000.0,16.046875,1.6271331050019304E-6,37000.0,27.500000000000004,18.79725859545018,17.893544733861837,16.474654377880185,37000.0,450056.0
38000.0,16.46875,1.6786233108076791E-6,38000.0,48.8,43.00960488514543,43.85964912280702,41.55251141552511,38000.0,471784.0
39000.0,16.875,1.7326726811006672E-6,39000.0,59.199999999999996,54.446999977670096,54.002254791431795,53.74149659863945,39000.0,514280.0
40000.0,17.28125,1.787978172716168E-6,40000.0,52.0,46.63227413221854,47.019867549668874,46.00674915635546,40000.0,526232.0
41000.0,17.703125,1.8458150508296166E-6,41000.0,55.400000000000006,50.568024383485735,49.661399548532735,49.774774774774784,41000.0,529936.0
42000.0,18.140625,1.906570008335015E-6,42000.0,57.099999999999994,52.12630620416289,52.85714285714286,51.90582959641256,42000.0,536792.0
43000.0,18.578125,1.9675649107537344E-6,43000.0,64.5,60.58887984715147,60.81677704194261,60.2017937219731,43000.0,538912.0
44000.0,18.921875,2.0160906327267496E-6,44000.0,61.6,57.26576576075284,57.14285714285714,56.9023569023569,44000.0,545672.0
45000.0,19.3125,2.0715398972647065E-6,45000.0,63.7,59.66187091131946,59.57683741648108,58.93665158371041,45000.0,548704.0
46000.0,19.625,2.1167420264747414E-6,46000.0,67.9,64.37600296533708,64.01345291479821,63.48122866894198,46000.0,559128.0
47000.0,19.953125,2.1644242871035312E-6,47000.0,68.60000000000001,65.12436385284704,65.41850220264318,64.71910112359551,47000.0,561720.0
48000.0,20.296875,2.2146851794483768E-6,48000.0,71.89999999999999,68.76629071358465,68.63839285714285,67.43916570104287,48000.0,565184.0
49000.0,20.65625,2.2672700773303713E-6,49000.0,75.2,72.44288287447401,72.65711135611907,72.25950782997764,49000.0,565608.0
50000.0,21.046875,2.3247404412056016E-6,50000.0,71.5,68.29620466635372,68.22742474916387,67.50285062713797,50000.0,568704.0
