learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.65625,6.053674345215162E-8,1000.0,50.8,45.31315996567623,45.333333333333336,43.57798165137615,1000.0,356576.0
2000.0,1.0625,9.818927436653111E-8,2000.0,61.9,57.640074046484735,57.80730897009967,56.655290102389074,2000.0,358264.0
3000.0,1.546875,1.432951992481119E-7,3000.0,64.5,60.56488853193633,60.85997794928335,59.56719817767654,3000.0,359960.0
4000.0,1.984375,1.8395363844724165E-7,4000.0,64.5,60.5404732475524,60.42363433667782,59.750566893424036,4000.0,359232.0
5000.0,2.453125,2.277199786880778E-7,5000.0,68.2,64.65897017572715,65.01650165016503,63.94557823129252,5000.0,360912.0
6000.0,2.984375,2.7734382052181497E-7,6000.0,68.0,64.35565040913029,64.48390677025529,63.677639046538026,6000.0,361072.0
7000.0,3.375,3.1397018271187944E-7,7000.0,72.8,69.73587878329332,70.49891540130152,69.1609977324263,7000.0,362440.0
8000.0,3.78125,3.520599178348979E-7,8000.0,74.0,71.09884417608363,71.55361050328227,70.62146892655367,8000.0,361072.0
9000.0,4.1875,3.9018496560553716E-7,9000.0,72.5,69.41464071100394,69.51219512195121,69.3422519509476,9000.0,362760.0
10000.0,4.609375,4.297580259541671E-7,10000.0,72.5,69.38914082553592,69.23937360178971,69.06636670416198,10000.0,362592.0
11000.0,5.03125,4.692385361219446E-7,11000.0,68.89999999999999,65.39988718805661,65.59734513274336,65.01687289088864,11000.0,361744.0
12000.0,5.453125,5.0884826729695E-7,12000.0,68.7,65.17362007423694,65.56655665566558,64.59276018099548,12000.0,362928.0
13000.0,5.859375,5.468841926712129E-7,13000.0,66.4,62.657912021596175,62.5,62.20472440944882,13000.0,361912.0
14000.0,6.28125,5.866056825551722E-7,14000.0,65.7,61.89638260031083,61.846496106785324,61.06696935300795,14000.0,362600.0
15000.0,6.703125,6.263620970356796E-7,15000.0,64.60000000000001,60.60402706970751,60.535117056856194,60.045146726862306,15000.0,364272.0
16000.0,7.15625,6.68906820161889E-7,16000.0,66.7,63.04844759093633,63.08203991130821,61.94285714285714,16000.0,362936.0
17000.0,7.578125,7.086632346423964E-7,17000.0,67.30000000000001,63.59762349255755,64.26229508196722,63.00904977375566,17000.0,364272.0
18000.0,8.015625,7.497390874454544E-7,18000.0,73.4,70.42709500684846,70.37861915367483,69.94350282485875,18000.0,362920.0
19000.0,8.4375,7.895138373391496E-7,19000.0,74.6,71.75942140168887,71.68338907469342,71.42857142857143,19000.0,364440.0
20000.0,8.875,8.30610515549779E-7,20000.0,69.5,66.10290048033856,65.80717488789237,66.11111111111111,20000.0,363104.0
21000.0,9.3125,8.718964333335559E-7,21000.0,71.2,67.98961440823022,68.55895196506549,67.0103092783505,21000.0,364776.0
22000.0,9.78125,9.159693339218696E-7,22000.0,71.7,68.55380854491916,68.79823594266813,67.95016987542468,22000.0,363440.0
23000.0,10.1875,9.543062575782339E-7,23000.0,71.5,68.31030548865509,68.64686468646865,68.04932735426009,23000.0,364776.0
24000.0,10.625,9.956302043671408E-7,24000.0,69.39999999999999,65.96013553650609,65.7718120805369,65.26674233825199,24000.0,365112.0
25000.0,11.078125,1.0384712691625786E-6,25000.0,66.0,62.16866987268646,62.180200222469416,61.49490373725934,25000.0,365464.0
26000.0,11.59375,1.0872662662424975E-6,26000.0,69.6,66.18382207351013,65.84269662921348,65.61085972850678,26000.0,365800.0
27000.0,12.0625,1.1314594626633657E-6,27000.0,67.80000000000001,64.14601258007299,64.57645764576458,62.8175519630485,27000.0,364432.0
28000.0,12.546875,1.1772951822624439E-6,28000.0,72.2,69.13477445069891,68.90380313199105,68.72890888638919,28000.0,365784.0
29000.0,12.984375,1.2187142015641763E-6,29000.0,73.4,70.43232169633994,70.44444444444444,69.77272727272728,29000.0,365952.0
30000.0,13.390625,1.2571747194872134E-6,30000.0,73.8,70.89509793466281,71.04972375690608,70.4954954954955,30000.0,365952.0
31000.0,13.796875,1.2955108023662534E-6,31000.0,74.2,71.29212157897781,71.36514983351832,70.64846416382252,31000.0,364768.0
32000.0,14.1875,1.332509046834376E-6,32000.0,70.89999999999999,67.62378617012753,67.48603351955308,67.11864406779661,32000.0,366120.0
33000.0,14.625,1.3739470806386736E-6,33000.0,72.89999999999999,69.87272058226803,69.68680089485458,69.27437641723357,33000.0,366120.0
34000.0,15.03125,1.4124252548855212E-6,34000.0,73.1,70.08382090773918,69.80920314253648,69.327251995439,34000.0,366120.0
35000.0,15.421875,1.4492868730384442E-6,35000.0,72.89999999999999,69.87777713556557,69.41309255079007,69.37853107344633,35000.0,364768.0
36000.0,15.875,1.497579311641554E-6,36000.0,71.5,68.30731011352654,67.76018099547511,68.26280623608018,36000.0,411968.0
37000.0,16.375,1.543644595787757E-6,37000.0,46.9,40.950070003636405,39.864099660249146,38.824884792626726,37000.0,356128.0
38000.0,16.8125,1.5841165117712483E-6,38000.0,46.800000000000004,40.72245070325236,41.666666666666664,39.269406392694066,38000.0,357584.0
39000.0,17.21875,1.6219439243690834E-6,39000.0,51.5,45.8782673903728,45.32130777903044,45.01133786848073,39000.0,359928.0
40000.0,17.609375,1.6618687206775776E-6,40000.0,57.599999999999994,52.7771806863124,53.2008830022075,52.30596175478065,40000.0,395080.0
41000.0,18.0,1.701998052239004E-6,41000.0,61.9,57.62843810193197,56.99774266365688,57.0945945945946,41000.0,397104.0
42000.0,18.40625,1.7437518949413464E-6,42000.0,67.7,64.1194832316904,64.50549450549451,63.789237668161434,42000.0,397288.0
43000.0,18.8125,1.7857756271647908E-6,43000.0,69.0,65.52816960140555,65.78366445916114,65.24663677130044,43000.0,399856.0
44000.0,19.21875,1.8279170682136382E-6,44000.0,69.89999999999999,66.5461141255421,66.40625,66.21773288439955,44000.0,400976.0
45000.0,19.640625,1.8715902761970128E-6,45000.0,70.7,67.41258119049738,67.37193763919821,66.8552036199095,45000.0,400160.0
46000.0,20.0625,1.915434614703473E-6,46000.0,75.1,72.29879916963147,72.08520179372198,71.67235494880546,46000.0,401728.0
47000.0,20.5,1.96099879556439E-6,47000.0,72.3,69.18047889307852,69.49339207048459,68.87640449438202,47000.0,402576.0
48000.0,20.921875,2.0048090825892156E-6,48000.0,69.89999999999999,66.53640694397349,66.40625,65.12166859791425,48000.0,401416.0
49000.0,21.296875,2.043882721207208E-6,49000.0,73.0,69.99276492220902,70.23153252480705,69.79865771812081,49000.0,402768.0
50000.0,21.75,2.0911360883878333E-6,50000.0,71.89999999999999,68.72798578180591,68.67335562987736,67.95895096921323,50000.0,403104.0
