learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.375,1.1857288579146068E-8,1000.0,63.5,59.425780303384,59.44444444444444,58.142201834862384,1000.0,122224.0
2000.0,0.625,1.9773013061947293E-8,2000.0,73.3,70.29372496662216,70.43189368770764,69.6245733788396,2000.0,122392.0
3000.0,0.796875,2.5215073643873135E-8,3000.0,73.7,70.72768960220822,71.00330760749725,70.04555808656036,3000.0,122392.0
4000.0,1.0625,3.372613314746155E-8,4000.0,70.89999999999999,67.6601627660674,67.55852842809364,67.00680272108843,4000.0,123856.0
5000.0,1.234375,3.9176375139504675E-8,5000.0,72.5,69.41994642374614,69.74697469746974,68.82086167800453,5000.0,122576.0
6000.0,1.390625,4.413793148058985E-8,6000.0,71.89999999999999,68.7360577837759,68.81243063263041,68.1044267877412,6000.0,122744.0
7000.0,1.5625,4.965255761312115E-8,7000.0,73.7,70.71921621019818,71.47505422993493,70.18140589569161,7000.0,124024.0
8000.0,1.84375,5.8676491284536E-8,8000.0,72.89999999999999,69.87560068163403,70.35010940919038,69.37853107344633,8000.0,124024.0
9000.0,2.0625,6.562176470955214E-8,9000.0,73.7,70.76351687100708,70.84257206208426,70.68004459308807,9000.0,122728.0
10000.0,2.1875,6.963240189684763E-8,10000.0,75.0,72.17922366680057,72.03579418344519,71.8785151856018,10000.0,124024.0
11000.0,2.34375,7.465248927474023E-8,11000.0,75.4,72.6524155365407,72.78761061946902,72.32845894263217,11000.0,124192.0
12000.0,2.515625,8.011695980611776E-8,12000.0,74.4,71.53335156977998,71.83718371837183,71.04072398190046,12000.0,122896.0
13000.0,2.640625,8.413302970843184E-8,13000.0,74.0,71.09967942875181,70.98214285714286,70.75365579302587,13000.0,124192.0
14000.0,2.8125,8.965583725108041E-8,14000.0,70.89999999999999,67.6435138032103,67.63070077864293,66.96935300794551,14000.0,124208.0
15000.0,3.03125,9.668486503263316E-8,15000.0,71.6,68.42406042122747,68.33890746934225,67.94582392776523,15000.0,124208.0
16000.0,3.359375,1.0722704852620762E-7,16000.0,74.5,71.64896301912972,71.72949002217295,70.85714285714285,16000.0,124192.0
17000.0,3.578125,1.1418182920250629E-7,17000.0,73.5,70.56039673475917,71.03825136612022,70.02262443438913,17000.0,122896.0
18000.0,3.734375,1.1920256333218682E-7,18000.0,73.8,70.84976279272624,70.8240534521158,70.3954802259887,18000.0,124208.0
19000.0,3.875,1.2372064197229016E-7,19000.0,76.5,73.87059830770428,73.8015607580825,73.56580427446569,19000.0,124192.0
20000.0,4.015625,1.2823930268900264E-7,20000.0,73.5,70.5562425765621,70.2914798206278,70.55555555555556,20000.0,124208.0
21000.0,4.15625,1.3275738132910598E-7,21000.0,72.7,69.67047470706457,70.19650655021834,68.72852233676976,21000.0,124192.0
22000.0,4.265625,1.3623952529289659E-7,22000.0,75.1,72.32656871679744,72.54685777287762,71.80067950169875,22000.0,123064.0
23000.0,4.453125,1.4227177921889559E-7,23000.0,73.4,70.44119297567177,70.73707370737074,70.17937219730942,23000.0,124360.0
24000.0,4.578125,1.4629328183622826E-7,24000.0,71.0,67.75854037353398,67.56152125279642,67.08286038592507,24000.0,124360.0
25000.0,4.734375,1.513201601078941E-7,25000.0,70.39999999999999,67.09100005558952,67.07452725250278,66.47791619479048,25000.0,124360.0
26000.0,4.875,1.5584435055239336E-7,26000.0,73.3,70.31878954020804,70.0,69.79638009049773,26000.0,124360.0
27000.0,5.21875,1.7128445001112094E-7,27000.0,34.4,27.089886166861906,27.83278327832783,24.249422632794452,27000.0,173624.0
28000.0,5.4375,1.8201587307784296E-7,28000.0,40.9,34.41655144250295,33.89261744966443,33.52080989876266,28000.0,189632.0
29000.0,5.546875,1.8748412710717987E-7,29000.0,54.400000000000006,49.43166065982811,49.33333333333334,48.18181818181819,29000.0,193256.0
30000.0,5.734375,1.973635193684863E-7,30000.0,48.3,42.523560337476745,42.87292817679558,41.77927927927928,30000.0,203672.0
31000.0,5.875,2.0495496250482072E-7,31000.0,53.400000000000006,48.27653186376527,48.27968923418424,46.985210466439135,31000.0,208672.0
32000.0,6.03125,2.134717134241429E-7,32000.0,62.8,58.68333105647389,58.435754189944134,57.96610169491525,32000.0,210696.0
33000.0,6.234375,2.2472047324602806E-7,33000.0,66.60000000000001,62.82258917291392,62.639821029082775,62.13151927437642,33000.0,214064.0
34000.0,6.375,2.3250283751015865E-7,34000.0,67.2,63.542390307611086,63.18742985409652,62.59977194982896,34000.0,213920.0
35000.0,6.515625,2.40340499052157E-7,35000.0,65.7,61.84403443158736,61.28668171557562,61.24293785310735,35000.0,215440.0
36000.0,6.703125,2.517084552285572E-7,36000.0,71.1,67.87553939081351,67.3076923076923,67.8173719376392,36000.0,234360.0
37000.0,6.890625,2.632758696563542E-7,37000.0,71.39999999999999,68.19624915903543,67.61041902604757,67.05069124423963,37000.0,238472.0
38000.0,7.078125,2.74891402417173E-7,38000.0,69.0,65.5266362337294,66.00877192982456,64.61187214611871,38000.0,239464.0
39000.0,7.203125,2.826940746874445E-7,39000.0,72.8,69.7445640325157,69.33483652762119,69.1609977324263,39000.0,240728.0
40000.0,7.34375,2.91498274438911E-7,40000.0,71.6,68.43536084273141,68.65342163355407,68.05399325084363,40000.0,242008.0
41000.0,7.5,3.0128039523131317E-7,41000.0,70.3,66.99545270681739,66.47855530474041,66.55405405405405,41000.0,242000.0
42000.0,7.671875,3.1205566806925665E-7,42000.0,72.8,69.76756593338193,70.1098901098901,69.50672645739911,42000.0,242336.0
43000.0,7.796875,3.1836305020583996E-7,43000.0,72.0,68.86612656809089,69.09492273730685,68.60986547085201,43000.0,195048.0
44000.0,7.9375,3.254588551094962E-7,44000.0,72.8,69.76312969394061,69.64285714285714,69.47250280583613,44000.0,195048.0
45000.0,8.140625,3.356410888954996E-7,45000.0,70.89999999999999,67.65534603777988,67.59465478841871,67.0814479638009,45000.0,193768.0
46000.0,8.3125,3.443148064737518E-7,46000.0,73.1,70.07337030588575,69.84304932735425,69.39704209328784,46000.0,195072.0
47000.0,8.46875,3.5220711854183E-7,47000.0,72.7,69.65655218406135,69.9339207048458,69.32584269662921,47000.0,195248.0
48000.0,8.640625,3.6088901753019946E-7,48000.0,72.1,68.97583562307975,68.86160714285714,67.67091541135574,48000.0,195256.0
49000.0,8.78125,3.680712608103122E-7,49000.0,72.2,69.10465741732718,69.34950385887542,68.90380313199105,49000.0,197424.0
50000.0,8.953125,3.7717645884388014E-7,50000.0,71.7,68.5059349063302,68.45039018952063,67.7309007981756,50000.0,204776.0
