learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.515625,2.0380248315632343E-8,1000.0,61.9,57.58102747435656,57.666666666666664,56.30733944954128,1000.0,152784.0
2000.0,0.859375,3.398059763842159E-8,2000.0,70.89999999999999,67.62962056575859,67.77408637873754,66.89419795221842,2000.0,152936.0
3000.0,1.171875,4.635942685935232E-8,3000.0,71.6,68.38616961710531,68.68798235942668,67.65375854214123,3000.0,153120.0
4000.0,1.609375,6.368978776865535E-8,4000.0,71.3,68.09611628576542,68.00445930880713,67.46031746031746,4000.0,153120.0
5000.0,1.921875,7.614169994162189E-8,5000.0,63.9,59.79753996581121,60.286028602860284,59.070294784580504,5000.0,154024.0
6000.0,2.265625,8.974347211834457E-8,6000.0,72.3,69.186204318826,69.25638179800222,68.55845629965948,6000.0,152952.0
7000.0,2.65625,1.0534231680341893E-7,7000.0,74.1,71.16484025432833,71.90889370932754,70.63492063492063,7000.0,154360.0
8000.0,3.03125,1.201969118685358E-7,8000.0,74.6,71.75345436347966,72.21006564551422,71.2994350282486,8000.0,153120.0
9000.0,3.34375,1.3267598761659527E-7,9000.0,73.8,70.88458627774993,70.95343680709534,70.79152731326644,9000.0,154360.0
10000.0,3.640625,1.4444754924625157E-7,10000.0,74.8,71.95069555596616,71.81208053691275,71.65354330708661,10000.0,153272.0
11000.0,3.9375,1.5631557390507722E-7,11000.0,74.4,71.55192052317796,71.68141592920354,71.20359955005624,11000.0,154528.0
12000.0,4.25,1.6870798491355444E-7,12000.0,75.3,72.53480407418938,72.82728272827282,72.05882352941177,12000.0,153288.0
13000.0,4.546875,1.8057478074398303E-7,13000.0,73.8,70.87328991748915,70.75892857142857,70.52868391451068,13000.0,154512.0
14000.0,4.84375,1.923475712020364E-7,14000.0,71.7,68.52250418494975,68.52057842046719,67.87741203178206,14000.0,153288.0
15000.0,5.15625,2.0475356399806007E-7,15000.0,72.6,69.53273896228953,69.45373467112597,69.0744920993228,15000.0,153456.0
16000.0,5.453125,2.166344913550549E-7,16000.0,72.8,69.73847141453733,69.84478935698448,68.91428571428571,16000.0,154696.0
17000.0,5.734375,2.2779988487147622E-7,17000.0,73.8,70.87730452780106,71.36612021857923,70.36199095022624,17000.0,153456.0
18000.0,6.03125,2.3967958340007395E-7,18000.0,73.1,70.07034026351452,70.0445434298441,69.6045197740113,18000.0,154680.0
19000.0,6.359375,2.5270451765714416E-7,19000.0,77.0,74.42716857610475,74.35897435897436,74.12823397075366,19000.0,153440.0
20000.0,6.703125,2.663511097327702E-7,20000.0,73.8,70.89713470072368,70.62780269058297,70.88888888888889,20000.0,153456.0
21000.0,7.0,2.78232037089765E-7,21000.0,74.6,71.78009808082446,72.27074235807859,70.9049255441008,21000.0,154696.0
22000.0,7.28125,2.893974306061863E-7,22000.0,75.0,72.21990721449009,72.43660418963617,71.68742921857304,22000.0,153456.0
23000.0,7.65625,3.0428462196141474E-7,23000.0,73.6,70.65287351721976,70.95709570957096,70.4035874439462,23000.0,153456.0
24000.0,7.96875,3.166906147574384E-7,24000.0,71.7,68.53653764052939,68.34451901565996,67.87741203178206,24000.0,153456.0
25000.0,8.25,3.2795845375706744E-7,25000.0,70.8,67.51838214845878,67.5194660734149,66.93091732729332,25000.0,154864.0
26000.0,8.53125,3.3913607088228057E-7,26000.0,73.4,70.43173008838245,70.11235955056179,69.90950226244344,26000.0,153624.0
27000.0,8.828125,3.5492098605674166E-7,27000.0,51.4,45.92525668813337,46.53465346534654,43.87990762124711,27000.0,205528.0
28000.0,9.125,3.720594557105666E-7,28000.0,54.2,48.99169500152023,48.76957494407159,48.4814398200225,28000.0,223152.0
29000.0,9.5,3.983825121799276E-7,29000.0,45.0,38.84825695295318,38.888888888888886,37.5,29000.0,271336.0
30000.0,9.84375,4.1198428435665025E-7,30000.0,53.5,48.309785568981425,48.61878453038674,47.63513513513514,30000.0,152952.0
31000.0,10.078125,4.2125724980400656E-7,31000.0,67.4,63.730587241844674,63.81798002219756,62.91240045506258,31000.0,152936.0
32000.0,10.375,4.330042348657216E-7,32000.0,67.5,63.83117952644442,63.68715083798884,63.2768361581921,32000.0,152952.0
33000.0,10.671875,4.447641226256058E-7,33000.0,72.1,68.98483703143758,68.79194630872483,68.36734693877551,33000.0,153120.0
34000.0,10.953125,4.5590506892444346E-7,34000.0,72.39999999999999,69.28145312082627,69.02356902356902,68.5290763968073,34000.0,153120.0
