learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.359375,1.1960477826909887E-8,1000.0,24.0,16.39062738933034,15.555555555555554,12.844036697247704,1000.0,128648.0
2000.0,0.609375,2.0280810228238504E-8,2000.0,31.0,23.98294133135615,23.588039867109632,21.501706484641637,2000.0,128648.0
3000.0,0.765625,2.548101797906889E-8,3000.0,34.699999999999996,27.27345625938317,28.004410143329654,25.62642369020501,3000.0,128648.0
4000.0,1.0625,3.539581990076436E-8,4000.0,36.4,28.987740336303347,29.096989966555185,27.89115646258503,4000.0,129096.0
5000.0,1.28125,4.267701620443E-8,5000.0,46.7,40.780936127850964,41.36413641364136,39.569160997732425,5000.0,128664.0
6000.0,1.421875,4.735778525678648E-8,6000.0,43.7,37.39700528622801,37.51387347391786,36.095346197502835,6000.0,128664.0
7000.0,1.578125,5.2576102057678834E-8,7000.0,41.9,35.476706091398746,36.98481561822125,34.12698412698413,7000.0,129096.0
8000.0,1.90625,6.353456733955278E-8,8000.0,53.5,48.30967064923053,49.124726477024076,47.457627118644076,8000.0,129096.0
9000.0,2.21875,7.393498284121355E-8,9000.0,56.3,51.29372558416878,51.552106430155206,51.28205128205128,9000.0,128648.0
10000.0,2.359375,7.863146796201666E-8,10000.0,63.0,58.86077708656471,58.61297539149888,58.38020247469067,10000.0,129096.0
11000.0,2.515625,8.384978476290902E-8,11000.0,71.1,67.8697892636178,68.03097345132743,67.49156355455568,11000.0,129096.0
12000.0,2.6875,8.957001328882244E-8,12000.0,68.10000000000001,64.46632655334508,64.90649064906492,63.91402714932127,12000.0,128648.0
13000.0,2.875,9.583199344989326E-8,13000.0,71.3,68.08238525784319,67.96875,67.71653543307087,13000.0,129096.0
14000.0,2.984375,9.948526793676945E-8,14000.0,67.60000000000001,63.990517502942446,63.959955506117915,63.223609534619754,14000.0,129112.0
15000.0,3.25,1.0835750597632594E-7,15000.0,70.19999999999999,66.85814060823097,66.77814938684503,66.36568848758465,15000.0,129112.0
16000.0,3.671875,1.2244696133873528E-7,16000.0,73.5,70.48172707516244,70.62084257206209,69.71428571428572,16000.0,129096.0
17000.0,3.953125,1.3180733529022997E-7,17000.0,69.39999999999999,65.98922992280889,66.55737704918032,65.38461538461537,17000.0,128648.0
18000.0,4.09375,1.3650440248764223E-7,18000.0,60.8,56.50668820621155,56.347438752783965,55.70621468926553,18000.0,129112.0
19000.0,4.28125,1.4276638264871305E-7,19000.0,63.5,59.486128716453955,59.308807134894096,58.94263217097863,19000.0,129096.0
20000.0,4.46875,1.4902913891192938E-7,20000.0,61.3,57.09201379264466,56.61434977578475,56.99999999999999,20000.0,129112.0
21000.0,4.640625,1.5476928739291096E-7,21000.0,68.0,64.39277440374589,65.06550218340612,63.34478808705614,21000.0,129096.0
22000.0,4.796875,1.5996949514374135E-7,22000.0,65.2,61.24708657155872,61.631753031973545,60.58890147225369,22000.0,128648.0
23000.0,4.953125,1.651878119446337E-7,23000.0,65.7,61.8742316490562,62.266226622662266,61.54708520179373,23000.0,129096.0
24000.0,5.109375,1.7040612874552607E-7,24000.0,57.8,53.131264667304166,52.79642058165548,52.09988649262202,24000.0,129096.0
25000.0,5.265625,1.7562444554641842E-7,25000.0,58.9,54.42332195210123,54.282536151279196,53.45413363533409,25000.0,129096.0
26000.0,5.40625,1.8032093066722154E-7,26000.0,64.9,61.02918481048637,60.561797752808985,60.29411764705883,26000.0,129096.0
27000.0,5.71875,1.9075756426900626E-7,27000.0,67.5,63.886240546528974,64.24642464246425,62.47113163972286,27000.0,129096.0
28000.0,5.96875,1.9907789667033488E-7,28000.0,69.3,65.8750493255598,65.65995525727068,65.466816647919,28000.0,128648.0
29000.0,6.109375,2.03774381791138E-7,29000.0,67.2,63.54546980220084,63.555555555555564,62.727272727272734,29000.0,129096.0
30000.0,6.265625,2.0899269859203036E-7,30000.0,64.9,60.87623850112522,61.21546961325968,60.47297297297297,30000.0,129096.0
31000.0,6.4375,2.1473284707301193E-7,31000.0,64.60000000000001,60.55090549044474,60.710321864594896,59.72696245733788,31000.0,129096.0
32000.0,6.609375,2.2047370698096025E-7,32000.0,64.3,60.262069978828706,60.11173184357542,59.66101694915255,32000.0,129112.0
33000.0,6.765625,2.256920237818526E-7,33000.0,68.30000000000001,64.76047125366013,64.54138702460851,64.05895691609977,33000.0,129096.0
34000.0,6.921875,2.30892231532683E-7,34000.0,68.0,64.45084329265177,64.08529741863076,63.51197263397948,34000.0,128648.0
35000.0,7.15625,2.3871970673402155E-7,35000.0,66.7,62.96518727603948,62.41534988713319,62.37288135593221,35000.0,129096.0
36000.0,7.3125,2.439380235349139E-7,36000.0,66.7,63.01746397534498,62.33031674208145,62.917594654788424,36000.0,129096.0
37000.0,7.484375,2.4967817201589546E-7,37000.0,66.60000000000001,62.95215836954002,62.17440543601359,61.52073732718895,37000.0,129096.0
38000.0,7.65625,2.5541832049687703E-7,38000.0,70.3,66.98851934061511,67.43421052631578,66.0958904109589,38000.0,129096.0
39000.0,7.796875,2.6011480561768017E-7,39000.0,68.7,65.27465748941322,64.71251409244645,64.51247165532881,39000.0,129096.0
40000.0,7.875,2.6271523286898934E-7,40000.0,70.8,67.4643835280642,67.77041942604856,67.1541057367829,40000.0,128664.0
41000.0,8.03125,2.6793354966988167E-7,41000.0,68.30000000000001,64.80648004849378,64.2212189616253,64.3018018018018,41000.0,129096.0
42000.0,8.1875,2.73151866470774E-7,42000.0,70.5,67.18886423419364,67.58241758241758,66.92825112107623,42000.0,129096.0
43000.0,8.375,2.794138466318448E-7,43000.0,68.10000000000001,64.5245342316003,64.79028697571745,64.23766816143498,43000.0,129096.0
44000.0,8.515625,2.8411033175264796E-7,44000.0,65.60000000000001,61.78007097351937,61.60714285714286,61.39169472502807,44000.0,129096.0
45000.0,8.703125,2.903723119137188E-7,45000.0,66.0,62.22595765529854,62.13808463251671,61.53846153846154,45000.0,129096.0
46000.0,8.875,2.9609254043963223E-7,46000.0,69.5,66.06239178910168,65.80717488789237,65.30147895335608,46000.0,128648.0
47000.0,9.046875,3.018326889206138E-7,47000.0,68.4,64.84158128326003,65.19823788546256,64.49438202247192,47000.0,129096.0
48000.0,9.171875,3.060073423613277E-7,48000.0,69.1,65.66632332989995,65.51339285714285,64.19466975666279,48000.0,129096.0
49000.0,9.359375,3.122693225223985E-7,49000.0,73.7,70.78540603286919,71.00330760749725,70.58165548098434,49000.0,129096.0
50000.0,9.515625,3.174882860750788E-7,50000.0,73.7,70.74471931059875,70.68004459308807,70.01140250855188,50000.0,129112.0
