learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,2.421875,2.0351548705043065E-7,1000.0,24.0,15.771741419246158,15.555555555555554,12.844036697247704,1000.0,324824.0
2000.0,4.78125,4.017887274838156E-7,2000.0,43.9,37.475898686436615,37.87375415282392,36.177474402730375,2000.0,324840.0
3000.0,6.859375,5.764267472032872E-7,3000.0,52.2,46.867045340862354,47.29878721058435,45.55808656036447,3000.0,324840.0
4000.0,9.015625,7.576301060099569E-7,4000.0,55.00000000000001,49.93937101600828,49.83277591973245,48.9795918367347,4000.0,324840.0
5000.0,11.0625,9.296419900945491E-7,5000.0,64.8,60.84838872211144,61.27612761276128,60.090702947845806,5000.0,324840.0
6000.0,13.25,1.113471484536098E-6,6000.0,66.60000000000001,62.87341948033903,62.930077691453945,62.08853575482407,6000.0,324840.0
7000.0,15.28125,1.2841703008032506E-6,7000.0,66.8,63.08005733711578,63.991323210412155,62.35827664399094,7000.0,324840.0
8000.0,17.28125,1.452242981435524E-6,8000.0,68.7,65.2222608641546,65.75492341356674,64.63276836158192,8000.0,324840.0
9000.0,19.234375,1.6163683742181293E-6,9000.0,70.5,67.19459277925185,67.29490022172948,67.11259754738015,9000.0,324824.0
10000.0,21.28125,1.7883802583027216E-6,10000.0,70.39999999999999,67.0529779210429,66.8903803131991,66.70416197975253,10000.0,324840.0
11000.0,23.296875,1.95775766365437E-6,11000.0,71.6,68.41394635486931,68.58407079646017,68.05399325084363,11000.0,324824.0
12000.0,25.234375,2.120578073016885E-6,12000.0,67.4,63.75329111221804,64.13641364136414,63.12217194570137,12000.0,324840.0
13000.0,27.265625,2.2912768892840376E-6,13000.0,67.80000000000001,64.19700099848116,64.06250000000001,63.779527559055126,13000.0,324840.0
14000.0,29.265625,2.459349569916311E-6,14000.0,65.7,61.880163681909416,61.846496106785324,61.06696935300795,14000.0,324840.0
15000.0,31.265625,2.6274222505485843E-6,15000.0,68.30000000000001,64.75310495124366,64.65997770345598,64.2212189616253,15000.0,324840.0
16000.0,33.296875,2.7981126590424938E-6,16000.0,74.3,71.41948412724891,71.50776053215078,70.62857142857143,16000.0,324824.0
17000.0,35.25,2.9622380518250993E-6,17000.0,71.1,67.85259804401413,68.4153005464481,67.3076923076923,17000.0,324824.0
