learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.859375,4.626943134806222E-8,1000.0,10.8,-0.9863147693617464,0.8888888888888882,-2.2935779816513766,1000.0,208120.0
2000.0,1.609375,8.665002597909834E-8,2000.0,12.1,0.0,2.657807308970099,0.0,2000.0,208120.0
3000.0,2.375,1.2787188299828105E-7,3000.0,10.299999999999999,0.0,1.1025358324145529,-2.1640091116173124,3000.0,208120.0
4000.0,2.953125,1.5899859135970472E-7,4000.0,10.299999999999999,0.0,0.0,-1.7006802721088434,4000.0,208120.0
5000.0,3.828125,2.0610928509591352E-7,5000.0,9.6,0.0,0.5500550055005505,-2.4943310657596363,5000.0,208120.0
6000.0,4.421875,2.380772558454838E-7,6000.0,9.8,0.0,-0.11098779134295236,-2.383654937570941,6000.0,208120.0
7000.0,5.09375,2.744670685691138E-7,7000.0,12.0,0.0,4.55531453362256,0.22675736961451265,7000.0,209360.0
8000.0,5.984375,3.224190246934692E-7,8000.0,8.799999999999999,0.0,0.21881838074398266,-3.05084745762712,8000.0,208120.0
9000.0,6.5625,3.537311891300811E-7,9000.0,9.3,-0.23982405534741236,-0.5543237250554328,-1.1148272017837229,9000.0,209360.0
10000.0,7.203125,3.882229470440911E-7,10000.0,10.299999999999999,-0.2826248334212828,-0.335570469798658,-0.8998875140607432,10000.0,208120.0
11000.0,7.875,4.243972297343943E-7,11000.0,11.899999999999999,0.0,2.5442477876106184,0.8998875140607416,11000.0,208120.0
12000.0,8.46875,4.565556688855092E-7,12000.0,10.4,0.0,1.43014301430143,-1.3574660633484175,12000.0,209360.0
13000.0,9.078125,4.89364902023226E-7,13000.0,10.2,0.0,-0.22321428571428592,-1.0123734533183362,13000.0,208120.0
14000.0,9.671875,5.213328727727963E-7,14000.0,9.9,0.0,-0.22246941045606247,-2.2701475595913725,14000.0,208120.0
15000.0,10.21875,5.509524877804022E-7,15000.0,10.5,0.0,0.22296544035674493,-1.0158013544018067,15000.0,209360.0
16000.0,10.796875,5.820791961418259E-7,16000.0,7.5,0.0,-2.5498891352549893,-5.714285714285714,16000.0,208120.0
17000.0,11.359375,6.123646421151029E-7,17000.0,10.6,0.0,2.2950819672131137,-1.1312217194570147,17000.0,208120.0
18000.0,11.9375,6.434913504765266E-7,18000.0,10.5,0.0,0.33407572383073525,-1.12994350282486,18000.0,208120.0
19000.0,12.5,6.739572401986354E-7,19000.0,8.6,0.0,-1.89520624303233,-2.812148481439821,19000.0,209360.0
20000.0,13.078125,7.050839485600591E-7,20000.0,10.0,0.0,-0.8968609865470845,0.0,20000.0,208120.0
21000.0,13.6875,7.378931816977759E-7,21000.0,9.4,0.0,1.0917030567685584,-3.780068728522337,21000.0,208120.0
22000.0,14.28125,7.698611524473462E-7,22000.0,10.9,0.0,1.7640573318632855,-0.9060022650056633,22000.0,208120.0
23000.0,14.875,8.018291231969165E-7,23000.0,9.5,0.0,0.44004400440044045,-1.4573991031390132,23000.0,208120.0
24000.0,15.453125,8.329558315583402E-7,24000.0,11.1,0.0,0.5592841163310966,-0.9080590238365487,24000.0,208120.0
25000.0,15.984375,8.615587527553241E-7,25000.0,9.700000000000001,0.0,-0.44493882091212494,-2.265005662514157,25000.0,208120.0
26000.0,16.578125,8.935267235048944E-7,26000.0,9.2,-1.2963252192150656,-2.0224719101123596,-2.714932126696833,26000.0,208120.0
27000.0,17.15625,9.24653431866318E-7,27000.0,12.0,-0.2490276983506765,3.1903190319031904,-1.616628175519632,27000.0,208120.0
28000.0,17.734375,9.557801402277417E-7,28000.0,11.1,0.0,0.5592841163310966,0.0,28000.0,208120.0
29000.0,18.34375,9.885893733654585E-7,29000.0,9.1,0.0,-1.0000000000000009,-3.295454545454545,29000.0,208120.0
30000.0,18.9375,1.0205573441150288E-6,30000.0,10.5,0.0,1.1049723756906071,-0.7882882882882889,30000.0,208120.0
31000.0,19.5625,1.0542078396408922E-6,31000.0,9.9,0.0,0.0,-2.502844141069396,31000.0,208120.0
32000.0,20.140625,1.0853345480023158E-6,32000.0,8.6,0.0,-2.122905027932961,-3.2768361581920917,32000.0,208120.0
33000.0,20.734375,1.117302518751886E-6,33000.0,8.7,0.0,-2.1252796420581657,-3.5147392290249435,33000.0,208120.0
34000.0,21.328125,1.149460957903001E-6,34000.0,11.5,0.0,0.673400673400674,-0.9122006841505123,34000.0,209360.0
35000.0,21.90625,1.1805876662644247E-6,35000.0,10.8,0.0,-0.6772009029345378,-0.7909604519774018,35000.0,208120.0
36000.0,22.5,1.212555637013995E-6,36000.0,10.8,0.0,-0.9049773755656116,0.6681514476614705,36000.0,208120.0
37000.0,23.046875,1.2421752520216008E-6,37000.0,9.9,0.0,-2.038505096262741,-3.8018433179723505,37000.0,209360.0
38000.0,23.640625,1.274143222771171E-6,38000.0,10.299999999999999,0.0,1.644736842105263,-2.3972602739726034,38000.0,208120.0
39000.0,24.21875,1.305455387207783E-6,39000.0,11.200000000000001,0.0,-0.11273957158962807,-0.6802721088435364,39000.0,209360.0
40000.0,24.8125,1.3374233579573533E-6,40000.0,9.3,0.0,-0.11037527593818994,-2.024746906636671,40000.0,208120.0
41000.0,25.421875,1.3702325910950701E-6,41000.0,9.6,0.0,-2.031602708803612,-1.8018018018018018,41000.0,208120.0
42000.0,26.015625,1.402391030246185E-6,42000.0,9.2,0.0,0.21978021978021994,-1.7937219730941705,42000.0,209360.0
43000.0,26.578125,1.432676476219462E-6,43000.0,11.200000000000001,0.0,1.9867549668874174,0.448430493273543,43000.0,208120.0
44000.0,27.125,1.4621206598045926E-6,44000.0,9.6,0.0,-0.8928571428571421,-1.4590347923681255,44000.0,208120.0
45000.0,27.671875,1.4917402748121983E-6,45000.0,9.2,0.0,-1.1135857461024494,-2.714932126696833,45000.0,209360.0
46000.0,28.265625,1.5237082455617686E-6,46000.0,10.9,0.0,0.11210762331838575,-1.3651877133105799,46000.0,208120.0
47000.0,28.828125,1.5539936915350457E-6,47000.0,7.6,-1.6373066113747983,-1.7621145374449338,-3.8202247191011236,47000.0,208120.0
48000.0,29.390625,1.5842791375083227E-6,48000.0,10.6,-0.7898587814573732,0.22321428571428592,-3.592120509849364,48000.0,208120.0
49000.0,29.984375,1.616247108257893E-6,49000.0,10.100000000000001,0.0,0.8820286659316435,-0.5592841163310951,49000.0,208120.0
50000.0,30.59375,1.6490563413956098E-6,50000.0,12.8,0.0,2.78706800445931,0.5701254275940713,50000.0,208120.0
