learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,3.078125,8.32981766305036E-7,1000.0,52.300000000000004,46.899462983248284,47.0,45.29816513761468,1000.0,1055240.0
2000.0,5.84375,2.1514082780211335E-6,2000.0,61.3,56.92490575236161,57.14285714285714,55.972696245733786,2000.0,1842744.0
3000.0,8.171875,3.3665981997425358E-6,3000.0,68.0,64.38940629350475,64.7188533627343,63.55353075170843,3000.0,2017624.0
4000.0,10.375,4.868790371498714E-6,4000.0,71.1,67.88282231088094,67.78149386845038,67.23356009070295,4000.0,2635656.0
5000.0,12.546875,6.593803215461473E-6,5000.0,72.2,69.07386229636585,69.41694169416942,68.48072562358276,5000.0,3070152.0
6000.0,14.625,8.450424065813422E-6,6000.0,71.2,67.94761215275187,68.03551609322975,67.30987514188422,6000.0,3453456.0
7000.0,16.78125,1.0551637775885561E-5,7000.0,70.5,67.15390233908752,68.00433839479393,66.55328798185941,7000.0,3766808.0
8000.0,18.953125,1.2894752241360643E-5,8000.0,73.7,70.72899276572065,71.2253829321663,70.28248587570621,8000.0,4170240.0
9000.0,21.125,1.5456117786622296E-5,9000.0,72.6,69.55352579060826,69.6230598669623,69.45373467112597,9000.0,4558680.0
10000.0,23.40625,1.8136175834418583E-5,10000.0,73.3,70.27877837987062,70.13422818791946,69.96625421822273,10000.0,4541232.0
11000.0,25.671875,2.088798019233056E-5,11000.0,74.3,71.43152514526014,71.570796460177,71.09111361079866,11000.0,4694960.0
12000.0,27.90625,2.3686087548008394E-5,12000.0,72.0,68.87879178577938,69.1969196919692,68.32579185520362,12000.0,4840728.0
13000.0,30.125,2.6736585229324795E-5,13000.0,73.4,70.41462896496803,70.3125,70.07874015748031,13000.0,5314528.0
14000.0,32.375,3.001992571322868E-5,14000.0,71.39999999999999,68.19699183574525,68.18687430478309,67.53688989784335,14000.0,5640736.0
15000.0,34.578125,3.3454955167447525E-5,15000.0,71.2,67.97445072847005,67.89297658862876,67.49435665914221,15000.0,6026896.0
16000.0,36.875,3.729166821964706E-5,16000.0,75.2,72.40940438801722,72.50554323725056,71.65714285714286,16000.0,6456904.0
17000.0,39.21875,4.152760462602601E-5,17000.0,73.0,69.98198919351611,70.49180327868852,69.45701357466064,17000.0,6986192.0
18000.0,41.578125,4.601355072938734E-5,18000.0,72.6,69.53480537299293,69.48775055679288,69.03954802259888,18000.0,7349528.0
19000.0,43.859375,5.060571155303883E-5,19000.0,76.2,73.54073836904223,73.46711259754738,73.22834645669292,19000.0,7781200.0
20000.0,46.3125,5.5912858644862564E-5,20000.0,72.5,69.43612427827574,69.17040358744394,69.44444444444444,20000.0,8362648.0
21000.0,48.65625,6.118999428710798E-5,21000.0,75.0,72.21589362021349,72.70742358078603,71.3631156930126,21000.0,8703408.0
22000.0,51.046875,6.685349142773907E-5,22000.0,76.0,73.32162449074872,73.53914002205072,72.81993204983013,22000.0,9157472.0
23000.0,53.390625,7.274275823470414E-5,23000.0,75.1,72.32432336305041,72.60726072607261,72.08520179372198,23000.0,9712976.0
24000.0,55.765625,7.913992090228327E-5,24000.0,70.6,67.31277670179246,67.11409395973153,66.62883087400681,24000.0,1.0411808E7
25000.0,58.09375,8.572478426180576E-5,25000.0,70.1,66.76718020079736,66.74082313681868,66.13816534541336,25000.0,1.0933088E7
26000.0,60.5625,9.291022159029836E-5,26000.0,73.4,70.42673334363579,70.11235955056179,69.90950226244344,26000.0,1.1250672E7
27000.0,62.96875,1.0020862918786914E-4,27000.0,73.2,70.21348484444326,70.51705170517052,69.05311778290994,27000.0,1.1724376E7
