learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.828125,8.76981519266135E-8,1000.0,33.5,26.203193126798453,26.111111111111114,23.738532110091747,1000.0,409352.0
2000.0,1.40625,1.4917384962447815E-7,2000.0,54.50000000000001,49.37846771403173,49.6124031007752,48.236632536973836,2000.0,411040.0
3000.0,2.078125,2.2088416800316836E-7,3000.0,53.400000000000006,48.44066195108944,48.621830209481814,46.9248291571754,3000.0,412568.0
4000.0,2.625,2.79276799927983E-7,4000.0,57.49999999999999,52.70346967346475,52.61984392419174,51.8140589569161,4000.0,412736.0
5000.0,3.171875,3.376671682215399E-7,5000.0,65.3,61.321877772675194,61.826182618261825,60.65759637188209,5000.0,412720.0
6000.0,3.75,3.995951394447022E-7,6000.0,64.1,60.0471421464812,60.15538290788014,59.25085130533485,6000.0,414064.0
7000.0,4.3125,4.5987382893347077E-7,7000.0,63.4,59.20014447161957,60.303687635574846,58.50340136054422,7000.0,414232.0
8000.0,4.828125,5.15151704247627E-7,8000.0,69.3,65.87167304395773,66.41137855579868,65.31073446327683,8000.0,414400.0
9000.0,5.40625,5.771299280847112E-7,9000.0,71.7,68.53506838897326,68.62527716186253,68.45039018952063,9000.0,414400.0
10000.0,5.9375,6.340828905295995E-7,10000.0,74.2,71.30419114522971,71.14093959731544,70.97862767154106,10000.0,414400.0
11000.0,6.453125,6.894504056415625E-7,11000.0,74.5,71.65318618187317,71.7920353982301,71.31608548931383,11000.0,415072.0
12000.0,7.0,7.48244832114627E-7,12000.0,72.89999999999999,69.86136226642556,70.18701870187019,69.34389140271493,12000.0,415576.0
13000.0,7.609375,8.13811590584616E-7,13000.0,69.89999999999999,66.57260352775639,66.40625,66.14173228346456,13000.0,415912.0
14000.0,8.1875,8.760434704729253E-7,14000.0,66.10000000000001,62.337266996558135,62.291434927697445,61.52099886492623,14000.0,416096.0
15000.0,8.71875,9.332273233061035E-7,15000.0,68.60000000000001,65.03013644928926,64.9944258639911,64.55981941309255,15000.0,416080.0
16000.0,9.296875,9.954592031944129E-7,16000.0,70.6,67.39144901752876,67.40576496674058,66.39999999999999,16000.0,416096.0
17000.0,9.84375,1.0544765973463655E-6,17000.0,66.5,62.81942002734715,63.387978142076506,62.10407239819005,17000.0,417152.0
