learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.96875,5.993338870919413E-8,1000.0,28.499999999999996,20.741548721223083,20.555555555555554,18.0045871559633,1000.0,239144.0
2000.0,1.765625,1.0927136625266736E-7,2000.0,59.4,54.88608180064537,55.03875968992248,53.811149032992034,2000.0,239328.0
3000.0,2.4375,1.50870053201086E-7,3000.0,59.9,55.33745283144956,55.788313120176404,54.32801822323462,3000.0,239328.0
4000.0,3.375,2.0895547802663513E-7,4000.0,67.10000000000001,63.4411541483178,63.32218506131551,62.69841269841271,4000.0,239496.0
5000.0,4.0,2.4767909457700123E-7,5000.0,68.89999999999999,65.43929874003462,65.78657865786577,64.7392290249433,5000.0,239496.0
6000.0,4.90625,3.0382833857503203E-7,6000.0,66.2,62.480379902804195,62.48612652608213,61.63450624290579,6000.0,239496.0
7000.0,5.8125,3.5997758257306283E-7,7000.0,65.2,61.2889446565395,62.25596529284165,60.544217687074834,7000.0,239496.0
8000.0,6.5625,4.064785187236137E-7,8000.0,69.5,66.11058394241688,66.63019693654266,65.5367231638418,8000.0,239664.0
9000.0,7.1875,4.45226711841921E-7,9000.0,70.6,67.31938960623198,67.40576496674058,67.22408026755853,9000.0,239648.0
10000.0,7.8125,4.839749049602283E-7,10000.0,72.2,69.07448155259452,68.90380313199105,68.72890888638919,10000.0,239648.0
11000.0,8.46875,5.246632240919603E-7,11000.0,71.89999999999999,68.75291898888449,68.91592920353982,68.39145106861642,11000.0,239664.0
12000.0,9.09375,5.634140042174193E-7,12000.0,71.3,68.08000685112047,68.42684268426844,67.5339366515837,12000.0,239664.0
13000.0,9.765625,6.050683118195997E-7,13000.0,72.3,69.2326147612362,69.08482142857143,68.8413948256468,13000.0,239648.0
14000.0,10.46875,6.486934984827207E-7,14000.0,67.9,64.29155445204223,64.29365962180201,63.56413166855847,14000.0,239832.0
15000.0,11.125,6.894103393683003E-7,15000.0,70.89999999999999,67.63739648971404,67.55852842809364,67.15575620767494,15000.0,239832.0
16000.0,11.75,7.281882830688524E-7,16000.0,74.3,71.4122991630589,71.50776053215078,70.62857142857143,16000.0,239832.0
17000.0,12.328125,7.64057880991863E-7,17000.0,70.39999999999999,67.11998871415828,67.65027322404372,66.51583710407239,17000.0,239832.0
18000.0,13.03125,8.076801572719383E-7,18000.0,70.89999999999999,67.64829808924844,67.59465478841871,67.11864406779661,18000.0,239816.0
19000.0,13.8125,8.561493531386887E-7,19000.0,75.0,72.21240393828042,72.12931995540691,71.8785151856018,19000.0,239816.0
20000.0,14.46875,8.968661940242683E-7,20000.0,72.39999999999999,69.33002779188423,69.05829596412556,69.33333333333334,20000.0,239832.0
21000.0,15.140625,9.385524835023617E-7,21000.0,74.9,72.09334387337717,72.59825327510917,71.24856815578465,21000.0,239832.0
22000.0,15.859375,9.831471187579964E-7,22000.0,73.3,70.3117598788453,70.56229327453141,69.76217440543601,22000.0,239832.0
23000.0,16.5625,1.0267693950380717E-6,23000.0,74.0,71.11493035920806,71.3971397139714,70.85201793721974,23000.0,239816.0
24000.0,17.265625,1.0704222303401266E-6,24000.0,70.0,66.64461505106154,66.44295302013423,65.94778660612938,24000.0,239984.0
25000.0,18.0,1.1160182313890094E-6,25000.0,70.5,67.19156456199626,67.1857619577308,66.59116647791619,25000.0,240000.0
26000.0,18.703125,1.15967397707411E-6,26000.0,72.39999999999999,69.33639969336399,68.98876404494382,68.77828054298642,26000.0,240000.0
27000.0,19.390625,1.221724637111442E-6,27000.0,38.2,30.98866002981558,32.01320132013202,28.63741339491917,27000.0,348880.0
28000.0,20.09375,1.2651213587054776E-6,28000.0,32.0,24.323446043173476,23.93736017897092,23.509561304836897,28000.0,238576.0
29000.0,20.671875,1.3008533601856066E-6,29000.0,34.2,26.942464414984574,26.88888888888889,25.22727272727273,29000.0,238912.0
30000.0,21.390625,1.3452769295933346E-6,30000.0,42.8,36.15323224261772,36.795580110497234,35.585585585585584,30000.0,238912.0
31000.0,22.0625,1.386803309691863E-6,31000.0,47.099999999999994,41.25772866178665,41.28745837957825,39.817974971558584,31000.0,238912.0
32000.0,22.6875,1.4254325004811917E-6,32000.0,55.7,50.78357437901758,50.502793296089386,49.94350282485877,32000.0,238912.0
33000.0,23.40625,1.4697935936662059E-6,33000.0,43.1,36.51027440058558,36.35346756152125,35.487528344671205,33000.0,238576.0
34000.0,24.078125,1.511317192732046E-6,34000.0,50.0,44.35801389269109,43.88327721661055,42.98745724059293,34000.0,238896.0
35000.0,24.703125,1.549943796514223E-6,35000.0,57.8,53.11178838527888,52.370203160270876,52.316384180790955,35000.0,238896.0
36000.0,25.453125,1.596331421751529E-6,36000.0,60.699999999999996,56.29579627835908,55.54298642533937,56.23608017817372,36000.0,239080.0
37000.0,26.21875,1.6436854558479455E-6,37000.0,61.5,57.23001586377593,56.39864099660249,55.64516129032258,37000.0,239080.0
38000.0,26.9375,1.6881715014783873E-6,38000.0,63.4,59.30154331661287,59.86842105263158,58.21917808219178,38000.0,239248.0
39000.0,27.515625,1.723951362590823E-6,39000.0,71.39999999999999,68.17632541153797,67.75648252536641,67.57369614512471,39000.0,239232.0
40000.0,28.15625,1.763574125814355E-6,40000.0,71.0,67.75251724962331,67.99116997792494,67.37907761529809,40000.0,239080.0
41000.0,28.8125,1.8041632978969977E-6,41000.0,69.19999999999999,65.78306239369697,65.23702031602708,65.31531531531532,41000.0,239080.0
42000.0,29.46875,1.8447782753759786E-6,42000.0,73.3,70.27186215051346,70.65934065934066,70.06726457399103,42000.0,239232.0
43000.0,30.125,1.885395969212469E-6,43000.0,70.8,67.57720677636378,67.77041942604856,67.26457399103138,43000.0,239248.0
44000.0,30.71875,1.9221428535982137E-6,44000.0,69.8,66.40353141158566,66.29464285714285,66.10549943883277,44000.0,239232.0
45000.0,31.390625,1.963724854350504E-6,45000.0,69.69999999999999,66.30472979284637,66.25835189309576,65.72398190045249,45000.0,239232.0
46000.0,32.0,2.0014412843415307E-6,46000.0,70.3,66.98018811286772,66.70403587443946,66.21160409556313,46000.0,239248.0
47000.0,32.65625,2.042058978178021E-6,47000.0,69.6,66.18630456351413,66.51982378854625,65.84269662921348,47000.0,239248.0
48000.0,33.328125,2.083672960806224E-6,48000.0,68.60000000000001,65.09579204206291,64.95535714285715,63.615295480880654,48000.0,239416.0
49000.0,34.03125,2.1272224775101576E-6,49000.0,68.0,64.42863494886618,64.7188533627343,64.20581655480984,49000.0,239416.0
50000.0,34.640625,2.1649653919869E-6,50000.0,67.4,63.71678165627327,63.656633221850626,62.82782212086659,50000.0,239416.0
