learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.984375,6.008107447996737E-8,1000.0,60.199999999999996,55.70375382862027,55.77777777777778,54.357798165137616,1000.0,235928.0
2000.0,1.703125,1.0398103364018933E-7,2000.0,71.5,68.29920214097179,68.43853820598007,67.57679180887372,2000.0,236096.0
3000.0,2.53125,1.5456484915274714E-7,3000.0,73.7,70.74354772862027,71.00330760749725,70.04555808656036,3000.0,236112.0
4000.0,3.15625,1.9276847726561959E-7,4000.0,71.39999999999999,68.2144170957535,68.1159420289855,67.57369614512471,4000.0,236280.0
5000.0,4.171875,2.548451690624158E-7,5000.0,73.5,70.52719616875794,70.84708470847085,69.95464852607711,5000.0,236264.0
6000.0,4.796875,2.9327386679748695E-7,6000.0,71.8,68.63272029952415,68.70144284128745,67.99091940976163,6000.0,237672.0
7000.0,5.4375,3.32457776595321E-7,7000.0,73.6,70.6099438583132,71.36659436008676,70.06802721088435,7000.0,236432.0
8000.0,6.1875,3.785722138774064E-7,8000.0,74.1,71.20881832764364,71.66301969365426,70.73446327683615,8000.0,237672.0
9000.0,6.921875,4.234903543773625E-7,9000.0,73.9,70.974877143661,71.06430155210643,70.90301003344482,9000.0,236432.0
10000.0,7.578125,4.6384048699918724E-7,10000.0,75.6,72.84154264489983,72.7069351230425,72.55343082114736,10000.0,237672.0
11000.0,8.21875,5.030522394614916E-7,11000.0,75.2,72.42137032428244,72.56637168141593,72.10348706411699,11000.0,236600.0
12000.0,8.796875,5.384384550982052E-7,12000.0,74.0,71.07974870526259,71.3971397139714,70.58823529411765,12000.0,236600.0
13000.0,9.4375,5.778557129411233E-7,13000.0,74.0,71.10263455057928,70.98214285714286,70.75365579302587,13000.0,237840.0
14000.0,10.09375,6.180238496098254E-7,14000.0,70.39999999999999,67.09410973447392,67.07452725250278,66.40181611804768,14000.0,236600.0
15000.0,10.75,6.581919862785274E-7,15000.0,72.3,69.20309392166912,69.11928651059085,68.73589164785552,15000.0,236600.0
16000.0,11.390625,6.976092441214456E-7,16000.0,75.2,72.42615379312721,72.50554323725056,71.65714285714286,16000.0,237840.0
17000.0,11.96875,7.329954597581592E-7,17000.0,73.6,70.65789663799514,71.14754098360656,70.13574660633483,17000.0,236600.0
18000.0,12.546875,7.683816753948728E-7,18000.0,73.7,70.75704777386636,70.71269487750557,70.28248587570621,18000.0,236600.0
19000.0,13.171875,8.068375367050369E-7,19000.0,76.0,73.32257343795331,73.24414715719064,73.00337457817773,19000.0,237840.0
20000.0,13.828125,8.470056733737389E-7,20000.0,73.7,70.77881675318211,70.51569506726457,70.77777777777777,20000.0,236600.0
21000.0,14.421875,8.833740786131885E-7,21000.0,74.6,71.77228905620538,72.27074235807859,70.9049255441008,21000.0,236768.0
22000.0,15.03125,9.206995471484131E-7,22000.0,74.7,71.87654581733094,72.1058434399118,71.34767836919592,22000.0,236768.0
23000.0,15.6875,9.608962055709625E-7,23000.0,75.0,72.20437125175945,72.4972497249725,71.97309417040358,23000.0,236768.0
24000.0,16.265625,9.963075475146372E-7,24000.0,70.1,66.75635409486112,66.55480984340045,66.06129398410896,24000.0,236768.0
25000.0,16.921875,1.0365042059371867E-6,25000.0,70.8,67.53752084491383,67.5194660734149,66.93091732729332,25000.0,236768.0
26000.0,17.578125,1.0767008643597363E-6,26000.0,73.3,70.32466153998335,70.0,69.79638009049773,26000.0,236768.0
27000.0,18.25,1.126905456961443E-6,27000.0,49.6,43.909382491269234,44.554455445544555,41.801385681293304,27000.0,288840.0
28000.0,18.921875,1.1801441562258535E-6,28000.0,60.5,56.0443962725648,55.816554809843396,55.56805399325084,28000.0,306296.0
29000.0,19.578125,1.2325752888702683E-6,29000.0,65.5,61.64851362978476,61.66666666666667,60.795454545454554,29000.0,308832.0
30000.0,20.25,1.2881111211350395E-6,30000.0,70.1,66.75724114008209,66.96132596685082,66.32882882882882,30000.0,319512.0
31000.0,20.859375,1.3393699514886571E-6,31000.0,70.89999999999999,67.64524062601456,67.70255271920088,66.89419795221842,31000.0,325152.0
