learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.25,3.968986372152964E-9,1000.0,51.5,2.821190991424217,0.20576131687242818,-1.2526096033402934,1000.0,61368.0
2000.0,0.34375,5.4573562617103255E-9,2000.0,50.6,2.144113592063769,-0.4065040650406508,-0.20283975659229225,2000.0,61368.0
3000.0,0.421875,6.697664503008127E-9,3000.0,69.1,38.130210877870226,39.76608187134502,37.0672097759674,3000.0,61368.0
4000.0,0.546875,8.68215768908461E-9,4000.0,66.7,32.34457537586347,28.540772532188846,30.480167014613784,4000.0,61368.0
5000.0,0.609375,9.674662982838021E-9,5000.0,53.900000000000006,5.778380941480418,5.532786885245907,5.532786885245907,5000.0,61384.0
6000.0,0.671875,1.0667168276591433E-8,6000.0,53.400000000000006,4.693731465385014,10.384615384615394,3.3195020746887995,6000.0,61384.0
7000.0,0.75,1.1907476517889235E-8,7000.0,52.2,3.4986776492439517,4.970178926441356,3.434343434343438,7000.0,61368.0
8000.0,0.90625,1.4388093000484838E-8,8000.0,53.300000000000004,3.8999736599499477,9.49612403100776,2.301255230125525,8000.0,61368.0
9000.0,1.03125,1.637258618656132E-8,9000.0,62.1,22.899781922338313,21.041666666666664,22.17659137577002,9000.0,61368.0
10000.0,1.09375,1.7364832779599562E-8,10000.0,74.0,47.98918174980396,47.368421052631575,47.791164658634536,10000.0,61368.0
11000.0,1.171875,1.8605141020897364E-8,11000.0,68.7,37.481024592128605,36.382113821138226,35.19668737060042,11000.0,61368.0
12000.0,1.265625,2.0093510910454725E-8,12000.0,65.4,31.23131717865548,28.512396694214882,28.215767634854778,12000.0,61368.0
13000.0,1.3125,2.0837695855233407E-8,13000.0,67.0,34.35526928264235,32.098765432098766,32.51533742331289,13000.0,61368.0
14000.0,1.375,2.183020114898682E-8,14000.0,58.099999999999994,15.198665846313256,18.003913894324846,10.660980810234529,14000.0,61384.0
15000.0,1.453125,2.3070832766178585E-8,15000.0,66.8,33.11063742338952,32.38289205702649,29.21108742004265,15000.0,61384.0
16000.0,1.609375,2.5551449248774188E-8,16000.0,69.1,37.85047104918058,37.575757575757564,33.1168831168831,16000.0,61368.0
17000.0,1.765625,2.803206573136979E-8,17000.0,70.5,41.029721020605606,43.37811900191938,42.043222003929266,17000.0,61368.0
18000.0,1.9375,3.0761455289191675E-8,18000.0,70.6,41.101049763602845,40.606060606060595,40.365111561866115,18000.0,61384.0
19000.0,2.015625,3.2001763530489474E-8,19000.0,71.0,41.978880312433716,39.58333333333333,40.2061855670103,19000.0,61368.0
20000.0,2.078125,3.299426882424289E-8,20000.0,69.89999999999999,40.36769950075282,38.1930184804928,34.27947598253274,20000.0,61384.0
21000.0,2.15625,3.4234577065540686E-8,21000.0,72.1,44.278010784901134,42.59259259259259,42.35537190082644,21000.0,61368.0
22000.0,2.234375,3.5474885306838484E-8,22000.0,71.7,43.448860184800324,43.1726907630522,38.61171366594359,22000.0,61368.0
23000.0,2.3125,3.671519354813628E-8,23000.0,73.1,46.07056936647955,47.66536964980544,48.26923076923077,23000.0,61368.0
24000.0,2.421875,3.8451625085953206E-8,24000.0,69.89999999999999,40.53451763813377,41.095890410958894,39.19191919191918,24000.0,61368.0
25000.0,2.484375,3.9443871678991445E-8,25000.0,70.89999999999999,40.9894308217678,43.495145631067956,38.86554621848738,25000.0,61368.0
26000.0,2.5625,4.068417992028924E-8,26000.0,69.5,39.20136507885881,42.99065420560747,38.1338742393509,26000.0,61368.0
27000.0,2.640625,4.192448816158704E-8,27000.0,71.2,42.81357224552039,42.85714285714285,40.98360655737704,27000.0,61368.0
28000.0,2.71875,4.316479640288484E-8,28000.0,71.0,39.816294426988854,39.834024896265554,36.95652173913042,28000.0,61368.0
29000.0,2.765625,4.390898134766352E-8,29000.0,72.8,45.510200810936425,46.56188605108055,45.38152610441767,29000.0,61368.0
30000.0,2.84375,4.514928958896132E-8,30000.0,69.3,39.061184952281124,40.155945419103304,37.47454175152748,30000.0,61368.0
31000.0,2.96875,4.71337827750378E-8,31000.0,67.80000000000001,35.861684327942,34.949494949494955,35.08064516129033,31000.0,61368.0
32000.0,3.140625,4.9863172332859685E-8,32000.0,73.4,46.45301554070376,48.046875,45.379876796714576,32000.0,61384.0
33000.0,3.296875,5.234378881545529E-8,33000.0,68.7,36.939405417166995,39.69171483622352,36.63967611336034,33000.0,61368.0
34000.0,3.453125,5.482440529805089E-8,34000.0,71.5,42.55283123835938,40.624999999999986,39.4904458598726,34000.0,61368.0
35000.0,3.53125,5.606471353934869E-8,35000.0,58.3,19.930875576036858,17.097415506958242,14.549180327868843,35000.0,61368.0
36000.0,3.609375,5.730502178064649E-8,36000.0,60.199999999999996,22.752345572622502,19.91951710261569,16.561844863731647,36000.0,61368.0
37000.0,3.671875,5.8297268373684727E-8,37000.0,60.099999999999994,22.919403446410634,17.561983471074374,14.925373134328348,37000.0,61368.0
38000.0,3.71875,5.9041453318463405E-8,38000.0,65.10000000000001,29.08637239204468,29.63709677419355,32.49516441005804,38000.0,61368.0
39000.0,3.765625,5.978563826324209E-8,39000.0,60.699999999999996,20.709218713431408,23.391812865497073,19.63190184049079,39000.0,61368.0
40000.0,3.796875,6.028189091011879E-8,40000.0,58.5,16.878309845613977,20.192307692307686,15.99190283400809,40000.0,61384.0
41000.0,3.84375,6.102607585489748E-8,41000.0,57.9,17.227657365755437,13.016528925619825,9.656652360515007,41000.0,61368.0
42000.0,3.953125,6.27625073927144E-8,42000.0,61.199999999999996,22.8395061728395,22.862823061630216,21.457489878542507,42000.0,61368.0
43000.0,4.015625,6.375475398575264E-8,43000.0,60.3,18.31544640505662,19.308943089430887,17.634854771784227,43000.0,61368.0
44000.0,4.078125,6.474700057879088E-8,44000.0,59.9,20.735949903539012,15.578947368421044,19.315895372233395,44000.0,61368.0
45000.0,4.171875,6.623537046834824E-8,45000.0,59.9,20.043706781729277,17.319587628865975,17.48971193415637,45000.0,61368.0
46000.0,4.234375,6.722761706138647E-8,46000.0,58.4,18.47996488367717,11.489361702127647,12.236286919831212,46000.0,61368.0
47000.0,4.34375,6.89640485992034E-8,47000.0,56.8,13.59999999999999,12.373225152129805,12.727272727272718,47000.0,61368.0
48000.0,4.421875,7.02043568405012E-8,48000.0,56.699999999999996,16.123633376982617,14.087301587301578,9.979209979209966,48000.0,61368.0
49000.0,4.484375,7.119660343353944E-8,49000.0,57.199999999999996,15.985851075106295,15.913555992141445,12.114989733059536,49000.0,61368.0
50000.0,4.5625,7.24372350507312E-8,50000.0,60.0,19.030962559917086,15.611814345991554,16.142557651991606,50000.0,61384.0
