learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,3.046875,1.6186898331701136E-4,1000.0,62.4,24.799699198796805,22.633744855967073,21.50313152400835,1000.0,2.0535788E8
2000.0,9.546875,5.145183822929135E-4,2000.0,58.199999999999996,16.15450037710415,15.040650406504055,15.212981744421898,2000.0,2.09716288E8
3000.0,18.890625,0.0010334841146767658,3000.0,56.599999999999994,13.23193064952096,15.399610136452232,11.608961303462308,3000.0,2.14693968E8
4000.0,31.96875,0.0017763200983689684,4000.0,53.900000000000006,8.010472039972544,1.072961373390559,3.75782881002088,4000.0,2.1955828E8
5000.0,47.359375,0.002669974364236825,5000.0,52.6,5.3907322837160345,2.868852459016396,2.868852459016396,5000.0,2.24447952E8
6000.0,91.390625,0.0061606068041227344,6000.0,52.400000000000006,4.656221582145874,8.461538461538469,1.2448132780082999,6000.0,3.06440016E8
7000.0,109.59375,0.007621358172360084,7000.0,53.300000000000004,6.521478041554916,7.157057654075554,5.656565656565662,7000.0,3.1019352E8
8000.0,129.90625,0.009269763073017304,8000.0,51.9,2.68516120678494,6.782945736434115,-0.6276150627615069,8000.0,3.136916E8
9000.0,171.546875,0.012581573293977678,9000.0,51.800000000000004,3.198467242120314,-0.4166666666666671,1.026694045174539,9000.0,3.07433064E8
10000.0,189.015625,0.01398255256712825,10000.0,52.400000000000006,4.860889031020149,3.6437246963562786,4.417670682730928,10000.0,3.10007536E8
11000.0,208.96875,0.015596184969439897,11000.0,52.800000000000004,5.714650984402981,4.065040650406507,2.277432712215323,11000.0,3.12605096E8
12000.0,254.40625,0.01922702486678544,12000.0,52.2,4.668453634565061,1.2396694214876043,0.8298755186721999,12000.0,3.08883736E8
13000.0,273.421875,0.020752680340212666,13000.0,54.800000000000004,9.731070485654838,6.995884773662558,7.566462167689168,13000.0,3.10133184E8
14000.0,294.390625,0.022442973586665985,14000.0,53.300000000000004,6.35126897038535,8.610567514677111,0.4264392324093821,14000.0,3.11596008E8
15000.0,334.78125,0.025676161042033022,15000.0,52.800000000000004,3.677007783387545,3.8696537678207776,-0.6396588486140731,15000.0,3.09423064E8
16000.0,353.875,0.027224386568640412,16000.0,54.2,6.321077348518327,7.474747474747481,0.8658008658008667,16000.0,3.13433464E8
17000.0,396.59375,0.030617522745451427,17000.0,52.2,4.488252854362566,8.25335892514396,6.090373280943031,17000.0,3.07033048E8
18000.0,413.375,0.03195206987312607,18000.0,54.7,8.925684967309747,8.484848484848492,8.113590263691691,18000.0,3.07405744E8
19000.0,432.453125,0.03346434556054495,19000.0,54.400000000000006,8.94023204265432,5.000000000000004,5.9793814432989745,19000.0,3.06406272E8
20000.0,478.609375,0.03710256853389891,20000.0,54.6,7.774563655865066,6.776180698151957,0.873362445414848,20000.0,3.0469208E8
21000.0,495.703125,0.03844950526464447,21000.0,52.6,4.888414445724192,2.469135802469138,2.066115702479341,21000.0,3.045876E8
22000.0,514.8125,0.039973953942632465,22000.0,54.0,7.6041762912316475,7.6305220883534215,0.2169197396963126,22000.0,3.08367568E8
23000.0,555.6875,0.04320800839894219,23000.0,52.400000000000006,5.316969347363401,7.392996108949424,8.461538461538469,23000.0,3.05838344E8
24000.0,572.328125,0.04451544922504885,24000.0,52.7,4.661700206398356,7.436399217221141,4.444444444444449,24000.0,3.03706984E8
25000.0,591.625,0.04603518979940823,25000.0,51.300000000000004,2.9300378712377895,5.4368932038835,-2.310924369747901,25000.0,3.04428176E8
26000.0,630.859375,0.04915498432816499,26000.0,50.6,1.0892199263174756,7.663551401869157,-0.20283975659229225,26000.0,3.07370104E8
27000.0,648.328125,0.05054873436246353,27000.0,50.6,0.8000257036370622,1.9841269841269857,-1.2295081967213126,27000.0,3.08407856E8
28000.0,668.0,0.052131566149214964,28000.0,51.800000000000004,4.086855123393654,0.0,-4.782608695652178,28000.0,3.11022192E8
29000.0,712.75,0.05569063040689799,29000.0,52.0,4.081339024507217,5.697445972495093,3.6144578313253044,29000.0,3.07429232E8
30000.0,730.078125,0.05706598915557456,30000.0,50.9,1.1650845028462875,4.288499025341134,0.0,30000.0,3.0680808E8
31000.0,749.484375,0.05861518148148511,31000.0,50.2,0.06902862279871153,-0.6060606060606066,-0.4032258064516132,31000.0,3.085788E8
32000.0,799.3125,0.06258539017949565,32000.0,51.800000000000004,3.953451299218879,5.859375000000004,1.026694045174539,32000.0,3.07993224E8
33000.0,816.75,0.063976020674066,33000.0,51.800000000000004,4.060127627896613,7.129094412331413,2.4291497975708523,33000.0,3.08269032E8
34000.0,836.359375,0.06555039753303088,34000.0,54.300000000000004,9.144406714963942,4.791666666666671,2.9723991507431027,34000.0,3.10346832E8
35000.0,883.640625,0.06931518049651965,35000.0,53.0,4.2598266084349214,6.5606361829025905,3.688524590163938,35000.0,3.07789192E8
36000.0,901.28125,0.07071411710817807,36000.0,51.9,2.7803604200858585,3.2193158953722363,-0.8385744234800846,36000.0,3.06539496E8
37000.0,921.0625,0.07229732451362199,37000.0,54.900000000000006,8.436063603436802,6.818181818181825,3.837953091684439,37000.0,3.0937588E8
38000.0,962.515625,0.07558804355548798,38000.0,52.2,4.652860613652597,3.629032258064519,7.5435203094777625,38000.0,3.06856904E8
39000.0,980.171875,0.07698861935331176,39000.0,53.300000000000004,6.803541066311179,8.966861598440554,4.498977505112479,39000.0,3.06627088E8
40000.0,1000.0625,0.07857694178240814,40000.0,53.6,7.235250604770198,10.769230769230779,6.072874493927131,40000.0,3.08668712E8
