learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,4.21875,1.0162428952753543E-5,1000.0,67.7,35.40826774172906,33.53909465020577,32.56784968684761,1000.0,9320616.0
2000.0,8.359375,2.5934685092781563E-5,2000.0,77.10000000000001,54.130645536050515,53.45528455284553,53.54969574036511,2000.0,1.4724152E7
3000.0,12.234375,4.8173374671023334E-5,3000.0,82.5,64.98963693253201,65.8869395711501,64.35845213849286,3000.0,2.2184E7
4000.0,16.4375,7.972004968905821E-5,4000.0,83.7,67.33885834281774,65.0214592274678,65.97077244258872,4000.0,2.90124E7
5000.0,20.5625,1.1804337681193525E-4,5000.0,84.3,68.52900142721981,67.827868852459,67.827868852459,5000.0,3.5912168E7
6000.0,24.75,1.6473088533126024E-4,6000.0,86.4,72.7049038851358,73.84615384615385,71.78423236514523,6000.0,4.309712E7
7000.0,29.390625,2.2374368072228712E-4,7000.0,86.4,72.77658786556438,72.96222664015905,72.52525252525253,7000.0,4.9155496E7
8000.0,34.28125,2.93709369466847E-4,8000.0,85.5,70.8975594091201,71.89922480620154,69.66527196652719,8000.0,5.5299744E7
9000.0,39.328125,3.7451417321184027E-4,9000.0,87.3,74.53072356810524,73.54166666666666,73.92197125256673,9000.0,6.1889504E7
10000.0,44.59375,4.68430622422602E-4,10000.0,86.9,73.79643631533888,73.48178137651821,73.69477911646585,10000.0,6.8943624E7
11000.0,49.90625,5.714933299653543E-4,11000.0,88.7,77.38299200999151,77.03252032520325,76.60455486542443,11000.0,7.499028E7
12000.0,55.546875,6.902736824445634E-4,12000.0,87.1,74.1851306352459,73.34710743801652,73.23651452282157,12000.0,8.1399128E7
13000.0,61.109375,8.16195884318505E-4,13000.0,87.3,74.5709091200333,73.86831275720165,74.02862985685071,13000.0,8.750536E7
14000.0,67.828125,9.791656095896745E-4,14000.0,87.5,75.01998401278976,75.53816046966732,73.34754797441364,14000.0,9.3760696E7
15000.0,74.5,0.0011517009791310153,15000.0,87.6,75.12288093088574,74.74541751527495,73.56076759061834,15000.0,9.9961464E7
16000.0,81.296875,0.0013400924257520172,16000.0,87.3,74.51866357412862,74.34343434343434,72.5108225108225,16000.0,1.07140648E8
17000.0,88.203125,0.0015410137144176081,17000.0,89.4,78.79346838826359,79.65451055662189,79.17485265225933,17000.0,1.1245688E8
18000.0,95.171875,0.001754452660615142,18000.0,89.5,78.9799889494799,78.7878787878788,78.70182555780933,18000.0,1.18391672E8
19000.0,102.4375,0.0019889023212534894,19000.0,87.1,74.18265074129815,73.125,73.4020618556701,19000.0,1.2473232E8
20000.0,109.78125,0.0022378873706717668,20000.0,89.2,78.32717932252368,77.82340862422998,76.41921397379913,20000.0,1.31056256E8
21000.0,117.484375,0.002515236417918156,21000.0,87.2,74.40071677993015,73.66255144032921,73.55371900826447,21000.0,1.3917528E8
22000.0,125.28125,0.0028085174295119945,22000.0,87.3,74.60182866833588,74.49799196787149,72.45119305856834,22000.0,1.45400448E8
23000.0,133.578125,0.003133255009306595,23000.0,89.60000000000001,79.17125633374057,79.76653696498055,80.0,23000.0,1.51293536E8
24000.0,141.671875,0.0034633372602466913,24000.0,90.10000000000001,80.18351268255189,80.62622309197653,80.0,24000.0,1.57643024E8
25000.0,149.59375,0.0037995113639691333,25000.0,89.4,78.75811099488192,79.41747572815534,77.73109243697479,25000.0,1.640358E8
26000.0,157.671875,0.004152191490995594,26000.0,88.2,76.40075517583438,77.94392523364488,76.06490872210954,26000.0,1.68761272E8
27000.0,167.390625,0.004590423696920172,27000.0,89.7,79.40724864847574,79.56349206349206,78.89344262295083,27000.0,1.74299544E8
28000.0,177.3125,0.005054884804671423,28000.0,90.3,80.45300660970499,79.87551867219918,78.91304347826087,28000.0,1.80949744E8
29000.0,187.03125,0.0055233854739668055,29000.0,90.9,81.79898074292161,82.12180746561887,81.72690763052209,29000.0,1.8633832E8
30000.0,196.984375,0.006017589343892824,30000.0,88.2,76.41556572662044,76.99805068226121,75.96741344195519,30000.0,1.91932736E8
31000.0,207.5,0.006558603873806229,31000.0,89.60000000000001,79.20199660832562,78.989898989899,79.03225806451614,31000.0,1.98873176E8
32000.0,218.359375,0.0071350118527576945,32000.0,90.4,80.80000000000001,81.25,80.28747433264888,32000.0,2.05176456E8
33000.0,228.90625,0.007709113393890826,33000.0,88.8,77.59112608593003,78.42003853564547,77.32793522267207,33000.0,2.1041044E8
34000.0,239.765625,0.008315570979805974,34000.0,88.7,77.3784642980117,76.45833333333334,76.00849256900213,34000.0,2.15872824E8
35000.0,251.484375,0.008984654678497463,35000.0,90.0,79.9435209550093,80.11928429423459,79.50819672131148,35000.0,2.20699592E8
36000.0,262.953125,0.009655628451404885,36000.0,90.3,80.59642974307273,80.48289738430584,79.66457023060796,36000.0,2.2614752E8
37000.0,274.71875,0.010362279235915694,37000.0,90.3,80.56299193664739,79.95867768595042,79.317697228145,37000.0,2.32162576E8
38000.0,286.40625,0.011081337928707297,38000.0,91.10000000000001,82.18888586477962,82.05645161290323,82.7852998065764,38000.0,2.378182E8
39000.0,298.34375,0.0118315817590984,39000.0,89.2,78.3958520035847,78.94736842105263,77.91411042944786,39000.0,2.42935744E8
40000.0,310.25,0.012595722355440053,40000.0,90.7,81.40119032381928,82.11538461538463,81.17408906882592,40000.0,2.4808508E8
41000.0,322.859375,0.013422887709037039,41000.0,90.2,80.39913756205273,79.75206611570248,78.96995708154508,41000.0,2.53571912E8
42000.0,335.734375,0.014284995959961735,42000.0,90.4,80.80000000000001,80.9145129224652,80.5668016194332,42000.0,2.58831384E8
43000.0,347.953125,0.015118449176888033,43000.0,89.5,78.95842184155893,78.65853658536585,78.21576763485477,43000.0,2.63667632E8
44000.0,360.703125,0.016011202088783545,44000.0,89.8,79.60783059305227,78.52631578947368,79.47686116700201,44000.0,2.70659616E8
