learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,2.90625,3.606799873523414E-6,1000.0,65.10000000000001,30.210607987585885,28.189300411522638,27.139874739039666,1000.0,4797656.0
2000.0,5.421875,9.931116914635317E-6,2000.0,74.3,48.49245224027769,47.76422764227642,47.870182555780936,2000.0,9717848.0
3000.0,8.0625,1.964871823373768E-5,3000.0,76.9,53.77744339237548,54.970760233918135,52.9531568228106,3000.0,1.422508E7
4000.0,10.59375,3.1773974122996956E-5,4000.0,78.60000000000001,57.08171721263804,54.077253218884124,55.323590814196244,4000.0,1.8516472E7
5000.0,13.46875,4.8665081396595473E-5,5000.0,82.0,63.90644550675349,63.11475409836065,63.11475409836065,5000.0,2.2710288E7
6000.0,16.34375,6.887184941054632E-5,6000.0,80.4,60.66294971681339,62.30769230769232,59.33609958506225,6000.0,2.7168232E7
7000.0,19.234375,9.236543698029386E-5,7000.0,81.8,63.54969858404598,63.81709741550695,63.23232323232322,7000.0,3.1416656E7
8000.0,22.03125,1.178669318000579E-4,8000.0,83.6,67.10737436621525,68.21705426356588,65.69037656903764,8000.0,3.5244792E7
9000.0,25.09375,1.4878849334005887E-4,9000.0,83.1,66.11243453082764,64.79166666666666,65.29774127310061,9000.0,3.9029024E7
10000.0,28.21875,1.8355080692951256E-4,10000.0,83.8,67.58807241064711,67.20647773279352,67.46987951807229,10000.0,4.2999264E7
11000.0,31.5625,2.2401071318502847E-4,11000.0,83.89999999999999,67.77576737706754,67.27642276422763,66.66666666666666,11000.0,4.6772808E7
12000.0,35.078125,2.7003566346441704E-4,12000.0,86.1,72.14473515454661,71.28099173553719,71.16182572614107,12000.0,5.0604968E7
13000.0,38.640625,3.195945584836105E-4,13000.0,85.6,71.1530371444712,70.37037037037037,70.5521472392638,13000.0,5.37736E7
14000.0,42.453125,3.770641447044909E-4,14000.0,86.2,72.4088291746641,72.99412915851272,70.57569296375266,14000.0,5.8268064E7
15000.0,46.28125,4.3904535427120406E-4,15000.0,84.2,68.35683872802502,67.82077393075355,66.31130063965884,15000.0,6.2585872E7
16000.0,50.40625,5.10304528611919E-4,16000.0,83.8,67.59014740481105,67.27272727272727,64.93506493506493,16000.0,6.6775816E7
17000.0,54.484375,5.850264081123491E-4,17000.0,86.7,73.39254991397591,74.4721689059501,73.87033398821218,17000.0,7.0825496E7
18000.0,58.53125,6.629415197918812E-4,18000.0,88.5,76.99613535073892,76.76767676767678,76.67342799188641,18000.0,7.4422504E7
19000.0,62.671875,7.464640903506531E-4,19000.0,86.1,72.17974685571096,71.04166666666666,71.34020618556701,19000.0,7.7972296E7
20000.0,67.0,8.378787635269368E-4,20000.0,86.5,72.96063067826756,72.27926078028747,70.5240174672489,20000.0,8.1642912E7
21000.0,71.34375,9.337868328374397E-4,21000.0,85.0,70.0041994120823,69.1358024691358,69.0082644628099,21000.0,8.5347872E7
22000.0,76.578125,0.0010550124305882492,22000.0,86.9,73.80565797787678,73.69477911646585,71.58351409978307,22000.0,8.9522432E7
23000.0,81.78125,0.0011809299458400348,23000.0,87.1,74.19380651356326,74.90272373540856,75.1923076923077,23000.0,9.3545792E7
24000.0,87.015625,0.0013115370233168103,24000.0,87.3,74.60162549596826,75.14677103718199,74.34343434343434,24000.0,9.6450448E7
25000.0,92.3125,0.0014493377467281084,25000.0,88.2,76.3662510064372,77.0873786407767,75.21008403361344,25000.0,1.00562056E8
26000.0,97.859375,0.001599029703712505,26000.0,86.9,73.8062864912421,75.51401869158879,73.42799188640974,26000.0,1.04316368E8
27000.0,103.4375,0.0017554736076918847,27000.0,86.4,72.81391927333205,73.01587301587301,72.1311475409836,27000.0,1.08410856E8
28000.0,109.21875,0.0019233438883222537,28000.0,87.6,75.04518029857235,74.27385892116183,73.04347826086956,28000.0,1.12241752E8
29000.0,114.796875,0.0020912026552185937,29000.0,88.3,76.59456994022614,77.01375245579568,76.50602409638554,29000.0,1.16321008E8
30000.0,120.609375,0.002271235870462584,30000.0,87.3,74.61117108472271,75.24366471734892,74.13441955193483,30000.0,1.19726984E8
31000.0,126.53125,0.00245974078240882,31000.0,86.1,72.20867089468086,71.91919191919192,71.9758064516129,31000.0,1.2304552E8
32000.0,132.828125,0.0026662077357306976,32000.0,89.7,79.36781378951164,79.8828125,78.85010266940452,32000.0,1.26744128E8
33000.0,139.125,0.002879514286048814,33000.0,88.2,76.39272896051985,77.26396917148362,76.11336032388664,33000.0,1.3094276E8
34000.0,145.765625,0.003111009620899697,34000.0,87.3,74.57009443105092,73.54166666666666,73.03609341825901,34000.0,1.34752136E8
35000.0,152.515625,0.0033544242520131074,35000.0,86.2,72.3787869083456,72.56461232604373,71.72131147540983,35000.0,1.39394384E8
36000.0,158.984375,0.0035938841760637143,36000.0,87.4,74.85321060635695,74.64788732394366,73.58490566037736,36000.0,1.43091832E8
37000.0,165.59375,0.0038448625033035777,37000.0,89.3,78.55917667238423,77.89256198347107,77.18550106609808,37000.0,1.46783824E8
38000.0,172.4375,0.004112249729643939,38000.0,88.3,76.56099749983973,76.41129032258065,77.36943907156673,38000.0,1.51025016E8
39000.0,179.140625,0.004380586028985111,39000.0,87.9,75.79477167068087,76.41325536062378,75.25562372188139,39000.0,1.54740672E8
40000.0,186.09375,0.00466451075348434,40000.0,88.6,77.19990879963521,78.07692307692308,76.92307692307693,40000.0,1.5784308E8
41000.0,193.015625,0.004954482719994203,41000.0,88.6,77.18695093593536,76.44628099173553,75.53648068669528,41000.0,1.61932728E8
42000.0,200.171875,0.005260880462366105,42000.0,88.8,77.60788202552702,77.73359840954275,77.32793522267207,42000.0,1.65501688E8
43000.0,207.421875,0.0055780795285439435,43000.0,88.8,77.56419245115205,77.23577235772358,76.76348547717843,43000.0,1.69120504E8
44000.0,215.9375,0.0059582402964264885,44000.0,89.2,78.40414640389045,77.26315789473685,78.26961770623743,44000.0,1.72565168E8
45000.0,224.53125,0.006350820209772792,45000.0,88.3,76.60318196725245,75.87628865979381,75.92592592592592,45000.0,1.76582528E8
46000.0,233.21875,0.006756544162021278,46000.0,88.9,77.79378225903253,76.38297872340426,76.58227848101265,46000.0,1.80525352E8
47000.0,242.484375,0.007198151771218465,47000.0,87.9,75.8,75.45638945233266,75.55555555555556,47000.0,1.84231632E8
48000.0,251.75,0.00764783127181646,48000.0,90.3,80.59146024250671,80.75396825396825,79.83367983367984,48000.0,1.87599096E8
49000.0,260.71875,0.008091684086571656,49000.0,87.9,75.80503255322893,76.2278978388998,75.15400410677618,49000.0,1.9129756E8
50000.0,269.828125,0.008548787337139303,50000.0,89.8,79.59216339074206,78.48101265822785,78.61635220125787,50000.0,1.93967112E8
