learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.1875,3.6216522049572735E-7,1000.0,78.5,56.9986239559666,55.76131687242799,55.11482254697286,1000.0,1188088.0
2000.0,2.109375,8.444467675872147E-7,2000.0,88.2,76.38413013545102,76.01626016260163,76.06490872210954,2000.0,2022232.0
3000.0,2.890625,1.4019581269369356E-6,3000.0,89.1,78.20122073163903,78.7524366471735,77.80040733197556,3000.0,2758456.0
4000.0,3.875,2.263490298193776E-6,4000.0,89.7,79.38499227437575,77.8969957081545,78.49686847599166,4000.0,3383088.0
5000.0,4.59375,2.98901328480699E-6,5000.0,92.2,84.39100922131149,84.01639344262296,84.01639344262296,5000.0,3901896.0
6000.0,5.359375,3.878313647065725E-6,6000.0,92.80000000000001,85.58425800974665,86.15384615384616,85.06224066390043,6000.0,4489312.0
7000.0,6.078125,4.806600239438315E-6,7000.0,92.10000000000001,84.19747159545528,84.29423459244533,84.04040404040404,7000.0,4992368.0
8000.0,6.875,5.9623220780243474E-6,8000.0,90.7,81.37258043840534,81.97674418604652,80.5439330543933,8000.0,5606160.0
9000.0,7.671875,7.235159767636408E-6,9000.0,92.4,84.79069190344491,84.16666666666669,84.39425051334703,9000.0,6174264.0
10000.0,8.40625,8.493696028987567E-6,10000.0,91.2,82.39831023778284,82.18623481781377,82.32931726907631,10000.0,6624456.0
11000.0,9.234375,1.0027864385241022E-5,11000.0,92.4,84.79756761081774,84.5528455284553,84.26501035196688,11000.0,7161096.0
12000.0,10.03125,1.1611023704366138E-5,12000.0,92.2,84.40199654444231,83.88429752066116,83.81742738589213,12000.0,7679568.0
13000.0,10.8125,1.325585902021784E-5,13000.0,91.8,83.59350302719878,83.12757201646092,83.2310838445808,13000.0,8138320.0
14000.0,11.640625,1.5105973127194577E-5,14000.0,92.0,83.99692741006274,84.3444227005871,82.94243070362474,14000.0,8635848.0
15000.0,12.453125,1.7019414161849355E-5,15000.0,92.80000000000001,85.53723158507925,85.33604887983708,84.64818763326227,15000.0,9103200.0
16000.0,13.3125,1.916629443359044E-5,16000.0,91.60000000000001,83.1075645934554,83.03030303030303,81.81818181818183,16000.0,9656672.0
17000.0,14.171875,2.1434586831471988E-5,17000.0,93.5,87.00000000000001,87.52399232245682,87.22986247544206,17000.0,1.0202784E7
18000.0,15.0625,2.3898607727864554E-5,18000.0,94.0,87.98923835756837,87.87878787878786,87.82961460446246,18000.0,1.0694288E7
19000.0,16.0,2.660967028027194E-5,19000.0,92.5,84.99747957656886,84.37500000000001,84.53608247422682,19000.0,1.1178168E7
20000.0,16.875,2.9239397715880644E-5,20000.0,93.89999999999999,87.74647660983173,87.47433264887063,86.68122270742357,20000.0,1.1617296E7
21000.0,17.796875,3.216015271997701E-5,21000.0,92.5,84.99495830599082,84.56790123456791,84.50413223140497,21000.0,1.224688E7
22000.0,18.71875,3.519780775402777E-5,22000.0,92.7,85.38316140193504,85.3413654618474,84.1648590021692,22000.0,1.2737048E7
23000.0,19.6875,3.849808582648015E-5,23000.0,93.2,86.39755155928069,86.77042801556422,86.92307692307693,23000.0,1.3168648E7
24000.0,20.6875,4.20265773168972E-5,24000.0,92.9,85.78271177752147,86.10567514677105,85.65656565656566,24000.0,1.363928E7
25000.0,21.703125,4.573909054872477E-5,25000.0,93.4,86.80089753896736,87.18446601941748,86.1344537815126,25000.0,1.4129832E7
26000.0,22.6875,4.9461853761588126E-5,26000.0,91.5,82.9970074733153,84.11214953271029,82.75862068965519,26000.0,1.4618648E7
27000.0,23.671875,5.329578662187689E-5,27000.0,93.5,86.99209119144442,87.10317460317462,86.68032786885247,27000.0,1.5055192E7
28000.0,24.6875,5.736450357491979E-5,28000.0,94.1,88.14203828312792,87.75933609958506,87.17391304347825,28000.0,1.5485544E7
29000.0,25.75,6.175085362176307E-5,29000.0,95.19999999999999,90.4003071901699,90.5697445972495,90.36144578313252,29000.0,1.5957936E7
30000.0,26.734375,6.593423093565636E-5,30000.0,93.5,86.98854992393306,87.32943469785576,86.76171079429736,30000.0,1.64274E7
31000.0,27.71875,7.021740994079867E-5,31000.0,93.2,86.39804131794979,86.26262626262627,86.29032258064517,31000.0,1.6819304E7
32000.0,28.796875,7.500732136476372E-5,32000.0,94.6,89.19999999999999,89.45312499999999,88.91170431211498,32000.0,1.7173576E7
33000.0,29.8125,7.963388986859678E-5,33000.0,92.2,84.40891809884747,84.97109826589596,84.21052631578948,33000.0,1.7608728E7
34000.0,30.921875,8.48266688343655E-5,34000.0,92.5,84.99747957656886,84.37500000000001,84.07643312101911,34000.0,1.8093552E7
35000.0,32.0625,9.02911253959044E-5,35000.0,93.4,86.73889281810584,86.87872763419485,86.47540983606558,35000.0,1.8518528E7
36000.0,33.21875,9.595600684406236E-5,36000.0,94.1,88.17606836236541,88.12877263581488,87.63102725366875,36000.0,1.893832E7
37000.0,34.484375,1.023169991094619E-4,37000.0,94.8,89.54849498327758,89.25619834710743,88.91257995735606,37000.0,1.9427736E7
38000.0,35.765625,1.0889115070717201E-4,38000.0,94.3,88.60118547671041,88.50806451612902,88.97485493230172,38000.0,1.9833904E7
39000.0,36.890625,1.1476103475110398E-4,39000.0,94.0,88.00403064570304,88.30409356725146,87.73006134969324,39000.0,2.0168768E7
40000.0,38.046875,1.2091139713043553E-4,40000.0,93.10000000000001,86.20077275672563,86.73076923076924,86.03238866396762,40000.0,2.0561336E7
41000.0,39.25,1.2742347695166245E-4,41000.0,92.9,85.7812312252173,85.3305785123967,84.76394849785409,41000.0,2.0922392E7
42000.0,40.625,1.3502340366054947E-4,42000.0,93.5,87.00228759738286,87.0775347912525,86.8421052631579,42000.0,2.1365304E7
43000.0,41.921875,1.4234796518899708E-4,43000.0,93.89999999999999,87.78886344346043,87.60162601626014,87.34439834024896,43000.0,2.1831616E7
44000.0,43.1875,1.496166966131164E-4,44000.0,93.0,86.00358308273083,85.26315789473685,85.91549295774648,44000.0,2.2200152E7
45000.0,44.546875,1.5756628227083842E-4,45000.0,92.7,85.40011679906561,84.94845360824743,84.97942386831276,45000.0,2.260516E7
46000.0,45.90625,1.6566709783445631E-4,46000.0,94.6,89.1915261565067,88.51063829787233,88.60759493670885,46000.0,2.3035192E7
47000.0,47.234375,1.7372798704956143E-4,47000.0,93.10000000000001,86.20000000000002,86.00405679513186,86.06060606060608,47000.0,2.3460992E7
48000.0,48.609375,1.8224291412884165E-4,48000.0,94.0,87.97460236018469,88.09523809523809,87.52598752598752,48000.0,2.39376E7
49000.0,49.9375,1.9059816934815095E-4,49000.0,93.0,85.98323595019644,86.24754420432221,85.62628336755648,49000.0,2.4317736E7
50000.0,51.28125,1.992036161310454E-4,50000.0,95.3,90.60210512845121,90.08438818565399,90.14675052410901,50000.0,2.475468E7
