learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,11.796875,1.0287561259853343E-4,1000.0,73.5,47.01271694793249,45.47325102880658,44.67640918580375,1000.0,3.3718344E7
2000.0,20.75,2.20548517924423E-4,2000.0,78.0,55.93443043248353,55.28455284552846,55.37525354969575,2000.0,5.0804736E7
3000.0,30.625,4.0523661675656006E-4,3000.0,81.10000000000001,62.18033377356227,63.15789473684211,61.50712830957231,3000.0,7.229432E7
4000.0,41.765625,6.834484577282435E-4,4000.0,82.0,63.82127710891805,61.3733905579399,62.42171189979122,4000.0,9.653136E7
5000.0,53.734375,0.0010569947293778467,5000.0,83.89999999999999,67.6680857900233,67.00819672131146,67.00819672131146,5000.0,1.20641848E8
6000.0,66.875,0.001548713800924209,6000.0,84.2,68.2132208859257,69.61538461538461,67.21991701244812,6000.0,1.44644992E8
7000.0,80.0,0.0021161450210881107,7000.0,82.69999999999999,65.32788199454865,65.60636182902584,65.05050505050504,7000.0,1.67115328E8
8000.0,95.125,0.002858438296825625,8000.0,82.1,63.901974703149186,65.31007751937985,62.55230125523011,8000.0,1.89706632E8
9000.0,110.359375,0.003678569839976262,9000.0,83.89999999999999,67.53953724686886,66.45833333333333,66.94045174537987,9000.0,2.08094808E8
10000.0,127.75,0.004721685708888496,10000.0,84.7,69.37231257056379,69.02834008097165,69.27710843373494,10000.0,2.31856744E8
11000.0,145.4375,0.0058830804654604035,11000.0,84.3,68.5441343826636,68.08943089430893,67.49482401656314,11000.0,2.5381412E8
12000.0,163.75,0.007190372510554476,12000.0,84.7,69.18503480278422,68.3884297520661,68.25726141078837,12000.0,2.75948064E8
13000.0,181.78125,0.008565400961023342,13000.0,85.8,71.4959030378944,70.78189300411523,70.96114519427402,13000.0,2.94773352E8
14000.0,201.046875,0.010134734872489289,14000.0,84.1,68.2903091994001,68.88454011741683,66.09808102345414,14000.0,3.14872424E8
15000.0,221.59375,0.011926653567708046,15000.0,83.0,66.27184889788306,65.37678207739307,63.75266524520254,15000.0,3.37112528E8
16000.0,245.28125,0.014109537773797962,16000.0,83.1,66.67113681005307,65.85858585858585,63.41991341991341,16000.0,3.56216344E8
17000.0,268.78125,0.016386107489395525,17000.0,85.39999999999999,70.71225391272252,71.97696737044146,71.31630648330058,17000.0,3.74468648E8
18000.0,293.53125,0.018912217792983736,18000.0,86.1,72.31627165903205,71.91919191919192,71.80527383367141,18000.0,3.94529496E8
19000.0,318.75,0.021625735401337606,19000.0,86.2,72.31395176207653,71.24999999999999,71.54639175257732,19000.0,4.15921584E8
20000.0,345.140625,0.024584058358806136,20000.0,87.1,74.37506952500516,73.51129363449692,71.83406113537117,20000.0,4.33309568E8
