learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.34375,1.719590121259292E-8,1000.0,54.2,8.539385975772937,5.761316872427988,4.384133611691027,1000.0,193368.0
2000.0,0.53125,2.7321317854026953E-8,2000.0,54.1,8.60579029110749,6.707317073170738,6.896551724137938,2000.0,208744.0
3000.0,0.671875,3.543983135993282E-8,3000.0,58.599999999999994,17.054015066517064,19.298245614035086,15.682281059063127,3000.0,223160.0
4000.0,0.8125,4.53438648643593E-8,4000.0,54.50000000000001,6.799727978107155,2.36051502145923,5.0104384133611735,4000.0,272240.0
5000.0,1.0,6.107661950712403E-8,5000.0,66.8,33.26042906307292,31.967213114754106,31.967213114754106,5000.0,324344.0
6000.0,1.140625,7.35228726019462E-8,6000.0,58.099999999999994,16.477961344645013,19.423076923076916,13.070539419087126,6000.0,342120.0
7000.0,1.296875,8.886511851516036E-8,7000.0,51.300000000000004,3.495561192136978,3.1809145129224685,1.6161616161616175,7000.0,379272.0
8000.0,1.421875,1.01428401346008E-7,8000.0,52.7,6.28170174993661,8.333333333333341,1.0460251046025115,8000.0,388504.0
9000.0,1.578125,1.1871154937479232E-7,9000.0,63.1,26.579437467169676,23.125,24.229979466119094,9000.0,427568.0
10000.0,1.78125,1.407550492634376E-7,10000.0,61.7,23.270480571204196,22.469635627530362,23.092369477911646,10000.0,419488.0
11000.0,2.0,1.6663514543324711E-7,11000.0,62.3,24.291107719495535,23.3739837398374,21.946169772256727,11000.0,457320.0
12000.0,2.15625,1.8816615920513871E-7,12000.0,61.6,22.143644975021083,20.661157024793383,20.331950207468875,12000.0,532656.0
13000.0,2.3125,2.1069931487242385E-7,13000.0,68.7,37.18996323706475,35.59670781893005,35.99182004089981,13000.0,557448.0
14000.0,2.453125,2.3123294037456317E-7,14000.0,66.3,33.060543460988406,34.050880626223105,28.144989339019194,14000.0,564424.0
15000.0,2.59375,2.520826334754626E-7,15000.0,69.39999999999999,38.395132812846015,37.678207739307524,34.754797441364595,15000.0,573112.0
16000.0,2.734375,2.738461868527035E-7,16000.0,64.9,27.72364486982019,29.090909090909093,24.025974025974026,16000.0,598232.0
17000.0,2.859375,2.936975862313476E-7,17000.0,66.0,32.27874070326537,34.74088291746642,33.20235756385069,17000.0,613880.0
18000.0,3.0,3.169125476334658E-7,18000.0,71.89999999999999,44.1223025588406,43.232323232323225,43.002028397565915,18000.0,638128.0
19000.0,3.140625,3.404092341144052E-7,19000.0,71.5,43.28899925977219,40.624999999999986,41.23711340206185,19000.0,645872.0
20000.0,3.375,3.8222901316152677E-7,20000.0,73.6,45.704037645200565,45.79055441478439,42.35807860262008,20000.0,689720.0
21000.0,3.59375,4.221617321794232E-7,21000.0,71.1,42.12545758937511,40.53497942386831,40.289256198347104,21000.0,705640.0
22000.0,3.828125,4.6678760554641487E-7,22000.0,73.0,46.06795437748437,45.78313253012048,41.43167028199565,22000.0,736000.0
23000.0,4.015625,5.043365914995472E-7,23000.0,72.2,44.997329006984145,45.91439688715953,46.53846153846153,23000.0,774104.0
24000.0,4.140625,5.30620066759487E-7,24000.0,76.7,53.09077438474424,54.40313111545989,52.929292929292934,24000.0,812784.0
