learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.546875,3.385826453773512E-8,1000.0,63.0,26.047625329287943,23.868312757201647,22.755741127348642,1000.0,239320.0
2000.0,0.890625,5.5329841820316184E-8,2000.0,67.30000000000001,34.67055579973629,33.53658536585367,33.6713995943205,2000.0,241448.0
3000.0,1.25,8.048024028539658E-8,3000.0,64.7,29.411858807720304,31.189083820662773,28.105906313645622,3000.0,270520.0
4000.0,1.59375,1.0645159313248264E-7,4000.0,66.60000000000001,32.6430930936987,28.32618025751073,30.2713987473904,4000.0,292048.0
5000.0,1.890625,1.2812689722826084E-7,5000.0,72.6,45.06816359262229,43.85245901639344,43.85245901639344,5000.0,282224.0
6000.0,2.296875,1.6095588863309886E-7,6000.0,64.2,29.104137704320692,31.15384615384616,25.72614107883818,6000.0,312368.0
7000.0,2.59375,1.8592752490399611E-7,7000.0,57.99999999999999,16.389624350526546,16.50099403578528,15.151515151515143,7000.0,325144.0
8000.0,2.90625,2.1312279083455602E-7,8000.0,61.199999999999996,21.444768383543895,24.8062015503876,18.828451882845183,8000.0,336392.0
9000.0,3.203125,2.4057113073973194E-7,9000.0,61.7,24.47844776590291,20.20833333333333,21.35523613963039,9000.0,357392.0
10000.0,3.5,2.6973122860201535E-7,10000.0,68.7,37.45153993109678,36.63967611336034,37.14859437751005,10000.0,379680.0
11000.0,3.796875,3.059392717356484E-7,11000.0,69.19999999999999,38.36252441484421,37.39837398373982,36.231884057971,11000.0,471448.0
12000.0,4.109375,3.457041586645776E-7,12000.0,62.3,25.2838026382547,22.107438016528924,21.784232365145225,12000.0,491872.0
13000.0,4.421875,3.896923347686728E-7,13000.0,62.8,24.507165731123752,23.456790123456788,23.926380368098158,13000.0,544112.0
14000.0,4.75,4.4201752947022517E-7,14000.0,65.0,30.582000507743086,31.506849315068497,25.37313432835821,14000.0,616416.0
15000.0,5.0625,4.876458681085043E-7,15000.0,67.7,35.38397522585602,34.21588594704686,31.13006396588487,15000.0,564400.0
16000.0,5.359375,5.350368640696009E-7,16000.0,65.5,28.376279884737716,30.303030303030308,25.324675324675326,16000.0,617056.0
17000.0,5.65625,5.823141934039692E-7,17000.0,71.0,41.8648940136878,44.33781190019193,43.02554027504911,17000.0,615576.0
18000.0,5.953125,6.335262312657304E-7,18000.0,74.9,49.970899407623556,49.292929292929294,49.087221095334684,18000.0,666808.0
19000.0,6.25,6.878895995517572E-7,19000.0,74.6,49.03303221353153,47.083333333333336,47.62886597938144,19000.0,707840.0
20000.0,6.546875,7.447530192116069E-7,20000.0,73.6,47.44720833200624,45.79055441478439,42.35807860262008,20000.0,740392.0
21000.0,6.84375,8.057158104040557E-7,21000.0,74.2,48.35517228954732,46.913580246913575,46.69421487603305,21000.0,793768.0
22000.0,7.140625,8.682926676960456E-7,22000.0,73.3,46.74952732726504,46.3855421686747,42.08242950108459,22000.0,814784.0
23000.0,7.453125,9.415437751967047E-7,23000.0,77.0,53.941966878266626,55.252918287937746,55.769230769230774,23000.0,906080.0
24000.0,7.703125,1.0017408446098368E-6,24000.0,77.10000000000001,54.2087919119529,55.18590998043054,53.73737373737374,24000.0,930760.0
25000.0,8.015625,1.08122857960148E-6,25000.0,77.9,55.80601038258797,57.087378640776706,53.57142857142857,25000.0,983224.0
26000.0,8.328125,1.1606496991589666E-6,26000.0,76.7,53.42906026639377,56.448598130841134,52.73833671399595,26000.0,982400.0
27000.0,8.609375,1.2358184903860093E-6,27000.0,79.0,58.06173312883436,58.333333333333336,56.9672131147541,27000.0,1033112.0
28000.0,8.890625,1.3139797374606133E-6,28000.0,81.3,62.11568694186479,61.20331950207467,59.3478260869565,28000.0,1074240.0
29000.0,9.203125,1.4031454662068022E-6,29000.0,81.39999999999999,62.774388779480276,63.45776031434184,62.650602409638545,29000.0,1102936.0
30000.0,9.484375,1.4863917345388067E-6,30000.0,79.60000000000001,59.248412885492044,60.233918128654985,58.4521384928717,30000.0,1144128.0
31000.0,9.796875,1.584723876375291E-6,31000.0,80.5,61.02899442814548,60.606060606060616,60.68548387096775,31000.0,1216320.0
32000.0,10.125,1.6897572721872063E-6,32000.0,82.8,65.52000641488252,66.40624999999999,64.68172484599589,32000.0,1237344.0
33000.0,10.40625,1.7768004262405963E-6,33000.0,79.2,58.34318009765321,59.92292870905589,57.89473684210527,33000.0,1196312.0
34000.0,10.703125,1.872662558323807E-6,34000.0,80.10000000000001,60.317776838343796,58.54166666666667,57.749469214437376,34000.0,1248176.0
35000.0,11.015625,1.976058766659763E-6,35000.0,81.6,63.2845922993423,63.41948310139164,62.29508196721311,35000.0,1278960.0
36000.0,11.359375,2.096021716069016E-6,36000.0,80.5,61.19989812486073,60.764587525150915,59.11949685534592,36000.0,1348984.0
37000.0,11.65625,2.2031030514174037E-6,37000.0,84.39999999999999,68.73697373905794,67.76859504132231,66.73773987206822,37000.0,1394256.0
38000.0,11.96875,2.3175231439785823E-6,38000.0,83.1,66.09421394751624,65.9274193548387,67.31141199226305,38000.0,1415320.0
39000.0,12.28125,2.43444616595904E-6,39000.0,82.5,64.9503697235285,65.8869395711501,64.2126789366053,39000.0,1446280.0
40000.0,12.59375,2.555831128524409E-6,40000.0,82.19999999999999,64.39700934878529,65.76923076923076,63.967611336032384,40000.0,1501472.0
41000.0,12.921875,2.686690293355948E-6,41000.0,82.5,65.07376420998851,63.84297520661156,62.446351931330454,41000.0,1541584.0
42000.0,13.234375,2.8105225646868346E-6,42000.0,81.10000000000001,62.23081965116466,62.42544731610339,61.74089068825912,42000.0,1531744.0
43000.0,13.5625,2.9432478671272592E-6,43000.0,80.9,61.68351789439899,61.1788617886179,60.373443983402495,43000.0,1563568.0
44000.0,13.859375,3.0680212593223484E-6,44000.0,83.6,67.22307495523151,65.4736842105263,67.0020120724346,44000.0,1624616.0
45000.0,14.171875,3.203656104031122E-6,45000.0,82.8,65.59339393163486,64.5360824742268,64.60905349794238,45000.0,1677736.0
46000.0,14.515625,3.3566079218871887E-6,46000.0,85.5,70.94630877862289,69.14893617021276,69.40928270042194,46000.0,1719944.0
47000.0,14.859375,3.514203223555038E-6,47000.0,83.89999999999999,67.8,67.34279918864097,67.47474747474746,47000.0,1772160.0
48000.0,15.203125,3.675534228225135E-6,48000.0,86.9,73.8529216865065,74.0079365079365,72.76507276507276,48000.0,1814168.0
49000.0,15.515625,3.825473928979287E-6,49000.0,87.7,75.39744133389871,75.83497053045186,74.74332648870636,49000.0,1854680.0
50000.0,15.8125,3.9741535632250204E-6,50000.0,86.8,73.5678585159554,72.15189873417721,72.32704402515722,50000.0,1935888.0
