learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.078125,6.319023668766021E-8,1000.0,53.1,6.172977817611492,3.497942386831279,2.0876826722338224,1000.0,226560.0
2000.0,2.078125,1.2184493243694304E-7,2000.0,53.400000000000006,6.705959607284137,5.284552845528459,5.476673427991892,2000.0,226728.0
3000.0,2.859375,1.9218565689192876E-7,3000.0,56.89999999999999,13.842045081999979,15.984405458089663,12.219959266802432,3000.0,348032.0
4000.0,3.96875,3.100790652549929E-7,4000.0,53.7,7.73584153680604,0.6437768240343353,3.340292275574116,4000.0,410784.0
5000.0,4.765625,3.9500549771926466E-7,5000.0,55.900000000000006,11.344666205632134,9.631147540983616,9.631147540983616,5000.0,411960.0
6000.0,5.6875,4.933739223310517E-7,6000.0,58.599999999999994,15.830049892042886,20.384615384615383,14.107883817427375,6000.0,412464.0
7000.0,6.421875,5.718309613358643E-7,7000.0,59.9,19.529619521592544,20.278330019880713,18.989898989898986,7000.0,412968.0
8000.0,7.28125,6.63717089790023E-7,8000.0,62.4,24.645674341050466,27.13178294573644,21.33891213389121,8000.0,413304.0
9000.0,8.140625,7.688820025780135E-7,9000.0,62.9,26.021344138338097,22.70833333333333,23.819301848049278,9000.0,473032.0
10000.0,8.859375,8.682846479738752E-7,10000.0,62.4,24.75665983606558,23.886639676113358,24.497991967871485,10000.0,534592.0
11000.0,9.640625,9.88745402234296E-7,11000.0,63.4,26.760157525693973,25.609756097560975,24.22360248447205,11000.0,596016.0
12000.0,10.3125,1.092692061016957E-6,12000.0,66.10000000000001,32.26502557544758,29.95867768595042,29.668049792531125,12000.0,598032.0
13000.0,11.0625,1.220542471855879E-6,13000.0,64.8,29.38561472630908,27.572016460905353,28.01635991820041,13000.0,658936.0
14000.0,11.8125,1.360372795412938E-6,14000.0,65.60000000000001,31.39757498404595,32.68101761252447,26.652452025586353,14000.0,720680.0
15000.0,12.578125,1.5033159029877022E-6,15000.0,65.5,31.811713364113594,29.735234215885953,26.439232409381663,15000.0,721688.0
16000.0,13.359375,1.6613157478989E-6,16000.0,67.2,35.246458297139796,33.737373737373744,29.00432900432901,16000.0,781752.0
17000.0,14.09375,1.8205385034283005E-6,17000.0,70.8,41.529601640375006,43.95393474088291,42.63261296660117,17000.0,838088.0
18000.0,14.828125,1.980852523249471E-6,18000.0,74.6,49.262508589417834,48.686868686868685,48.478701825557806,18000.0,843832.0
19000.0,15.5625,2.1414537978772493E-6,19000.0,70.89999999999999,41.669339320076965,39.374999999999986,39.99999999999999,19000.0,845344.0
20000.0,16.34375,2.3246155210977633E-6,20000.0,72.2,44.77113795295613,42.91581108829568,39.30131004366812,20000.0,906248.0
21000.0,17.09375,2.5005811605499028E-6,21000.0,70.3,40.64653311803544,38.88888888888888,38.636363636363626,21000.0,906920.0
22000.0,17.765625,2.658421451795019E-6,22000.0,73.1,46.25030971011134,45.98393574297188,41.648590021691966,22000.0,908096.0
23000.0,18.53125,2.838382626780206E-6,23000.0,72.0,43.86865264719443,45.52529182879377,46.15384615384615,23000.0,908584.0
24000.0,19.328125,3.050214662734006E-6,24000.0,72.8,45.73197982506544,46.771037181996086,45.050505050505045,24000.0,1027552.0
25000.0,20.015625,3.2334768265071847E-6,25000.0,73.6,46.84214129519928,48.737864077669904,44.53781512605042,25000.0,1030392.0
26000.0,20.75,3.4294575582154927E-6,26000.0,74.3,48.65340046351794,51.96261682242991,47.870182555780936,26000.0,1031568.0
27000.0,21.484375,3.625537081259407E-6,27000.0,74.2,48.54818123803446,48.80952380952381,47.131147540983605,27000.0,1032088.0
28000.0,22.25,3.830093515312506E-6,28000.0,78.0,54.99310576210993,54.35684647302905,52.17391304347826,28000.0,1032760.0
29000.0,23.0,4.0421587699610324E-6,29000.0,75.7,51.3754932485973,52.259332023575645,51.204819277108435,29000.0,1092976.0
30000.0,23.75,4.253578307624492E-6,30000.0,75.4,50.94891908166805,52.046783625730995,49.89816700610998,30000.0,1089648.0
