learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.171875,1.838925527408719E-7,1000.0,49.6,-0.7931460660675125,-3.703703703703707,-5.219206680584556,1000.0,606576.0
2000.0,2.046875,3.2123702112585303E-7,2000.0,50.2,-0.35628496348481997,-1.2195121951219523,-1.0141987829614614,2000.0,606744.0
3000.0,2.90625,4.568225510107974E-7,3000.0,48.5,-3.15101308315373,-0.3898635477582849,-4.887983706720982,3000.0,609864.0
4000.0,3.734375,5.876936484128237E-7,4000.0,51.0,2.803619672547374,-5.150214592274683,-2.2964509394572046,4000.0,610872.0
5000.0,4.5,7.086971891112626E-7,5000.0,52.800000000000004,5.916121830649027,3.2786885245901667,3.2786885245901667,5000.0,610920.0
6000.0,5.296875,1.0448455577716232E-6,6000.0,51.5,3.130966932706985,6.730769230769236,-0.6224066390041499,6000.0,1630584.0
7000.0,6.015625,1.348163156459729E-6,7000.0,50.5,0.7140564826700914,1.5904572564612343,0.0,7000.0,1631256.0
8000.0,6.953125,1.7440392790983122E-6,8000.0,50.3,-0.7868267358857874,3.682170542635662,-3.974895397489543,8000.0,1632264.0
9000.0,7.90625,2.1473240728179618E-6,9000.0,53.6,7.570825846703025,3.3333333333333366,4.722792607802879,9000.0,1635552.0
10000.0,8.875,2.6423795174600355E-6,10000.0,53.300000000000004,6.650035580928638,5.465587044534418,6.22489959839358,10000.0,1975352.0
11000.0,9.78125,3.105865390453902E-6,11000.0,51.800000000000004,3.4826348840189816,2.0325203252032535,0.20703933747412026,11000.0,1976928.0
12000.0,10.796875,3.714939197784083E-6,12000.0,55.7,10.89244335736356,8.471074380165296,8.091286307053949,12000.0,2318136.0
13000.0,11.78125,4.305528968365656E-6,13000.0,52.2,4.1173379121650715,1.6460905349794255,2.2494887525562395,13000.0,2319144.0
14000.0,12.8125,4.925025342446235E-6,14000.0,54.1,8.279246730824573,10.176125244618405,2.1321961620469105,14000.0,2322080.0
15000.0,13.84375,5.635868939053681E-6,15000.0,51.800000000000004,0.934341254475435,1.8329938900203684,-2.771855010660983,15000.0,2664480.0
16000.0,14.59375,6.219016569149164E-6,16000.0,54.800000000000004,4.3977055449330855,8.686868686868694,2.1645021645021667,16000.0,3005520.0
17000.0,15.328125,6.854542750968702E-6,17000.0,51.800000000000004,4.112804720355543,7.485604606525918,5.304518664047156,17000.0,3345168.0
18000.0,16.359375,7.838025792605348E-6,18000.0,52.300000000000004,4.744027031128933,3.63636363636364,3.245436105476676,18000.0,3686424.0
19000.0,17.25,8.766284606988646E-6,19000.0,52.2,3.8805706035415457,0.4166666666666671,1.4432989690721663,19000.0,4028808.0
20000.0,18.25,9.896407298381543E-6,20000.0,53.5,6.1273599379835035,4.517453798767971,-1.528384279475984,20000.0,4368456.0
21000.0,19.40625,1.1304521435199098E-5,21000.0,51.7,3.685860366432439,0.6172839506172845,0.20661157024793406,21000.0,4707480.0
22000.0,20.109375,1.2161579765638129E-5,22000.0,50.6,2.4120424329823695,0.8032128514056233,-7.158351409978316,22000.0,4711728.0
23000.0,21.15625,1.343800838286471E-5,23000.0,49.8,-0.49044139725752217,2.3346303501945544,3.4615384615384643,23000.0,4713072.0
24000.0,22.21875,1.4733811420026338E-5,24000.0,49.8,0.45370899168728124,1.7612524461839547,-1.4141414141414155,24000.0,4714248.0
25000.0,23.359375,1.6125503138432073E-5,25000.0,50.8,1.766996106618753,4.466019417475732,-3.361344537815129,25000.0,4716312.0
26000.0,24.578125,1.7720641012096572E-5,26000.0,51.4,2.588031556667315,9.158878504672895,1.4198782961460459,26000.0,5059248.0
27000.0,25.40625,1.8877245763885895E-5,27000.0,50.5,1.104433717993794,1.7857142857142874,-1.434426229508198,27000.0,5398728.0
28000.0,26.65625,2.0733006887086153E-5,28000.0,50.5,-2.94827213283862,-2.6970954356846497,-7.60869565217392,28000.0,5738712.0
29000.0,27.9375,2.26352734090243E-5,29000.0,49.5,-1.2714073717563092,0.7858546168958749,-1.4056224899598406,29000.0,5739048.0
30000.0,28.671875,2.3725596903305918E-5,30000.0,49.3,0.29341661225742954,1.1695906432748548,-3.258655804480655,30000.0,5739048.0
31000.0,29.5625,2.5126890751481472E-5,31000.0,48.1,-3.6432913434886527,-4.848484848484853,-4.6370967741935525,31000.0,6081864.0
32000.0,30.59375,2.7014337796976584E-5,32000.0,49.5,-1.4178415070088675,1.367187500000001,-3.69609856262834,32000.0,7074784.0
33000.0,31.359375,2.8415956993639056E-5,33000.0,52.400000000000006,4.577474670932619,8.285163776493263,3.6437246963562786,33000.0,7076464.0
34000.0,32.078125,2.9731950198765845E-5,34000.0,51.300000000000004,3.6200850201467722,-1.4583333333333348,-3.39702760084926,34000.0,7077472.0
35000.0,33.09375,3.1680890953996115E-5,35000.0,53.400000000000006,2.871339958647371,7.355864811133207,4.50819672131148,35000.0,7417672.0
36000.0,34.4375,3.437864561823921E-5,36000.0,53.400000000000006,6.705586053085727,6.237424547283708,2.3060796645702326,36000.0,7760440.0
37000.0,35.71875,3.6950528220687476E-5,37000.0,56.99999999999999,13.903572000640708,11.157024793388418,8.315565031982928,37000.0,7759248.0
38000.0,36.84375,3.930747515470204E-5,38000.0,50.9,0.1699753576395278,1.0080645161290331,5.029013539651841,38000.0,8098408.0
39000.0,37.890625,4.15010182122286E-5,39000.0,50.6,0.16490978464723027,3.703703703703707,-1.0224948875255633,39000.0,8099416.0
40000.0,39.265625,4.438321659108624E-5,40000.0,53.900000000000006,7.740954210694855,11.346153846153856,6.6801619433198445,40000.0,8102584.0
41000.0,40.796875,4.7728634510551476E-5,41000.0,55.800000000000004,12.006529832175367,8.677685950413231,5.150214592274683,41000.0,8445136.0
42000.0,41.921875,5.018697686157086E-5,42000.0,50.8,2.026381189065181,2.1868787276341966,0.4048582995951421,42000.0,8446800.0
43000.0,43.21875,5.302123748050589E-5,43000.0,49.8,-1.5968104268280245,-2.0325203252032535,-4.149377593361,43000.0,8447808.0
44000.0,44.484375,5.589905130263004E-5,44000.0,52.7,6.100117523742968,0.4210526315789478,4.828973843058355,44000.0,8789416.0
45000.0,46.046875,5.959023837931454E-5,45000.0,52.0,4.187026923445434,1.0309278350515474,1.234567901234569,45000.0,9131632.0
46000.0,47.296875,6.255199938702087E-5,46000.0,50.8,2.0825372564004643,-4.680851063829792,-3.797468354430383,46000.0,9158880.0
