learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.21875,3.084423951804638E-9,1000.0,68.8,37.62519941943454,35.802469135802454,34.86430062630479,1000.0,54504.0
2000.0,0.296875,4.186003934592009E-9,2000.0,70.7,41.33382455409701,40.44715447154471,40.56795131845841,2000.0,54504.0
3000.0,0.40625,5.728215910494328E-9,3000.0,69.69999999999999,39.40436288587221,40.935672514619874,38.28920570264765,3000.0,54504.0
4000.0,0.484375,6.829795893281699E-9,4000.0,71.5,42.970344579181166,38.84120171673819,40.50104384133611,4000.0,54504.0
5000.0,0.609375,8.592841267171834E-9,5000.0,72.6,45.06816359262229,43.85245901639344,43.85245901639344,5000.0,54520.0
6000.0,0.671875,9.480831471996176E-9,6000.0,72.89999999999999,45.766158082643564,47.88461538461538,43.7759336099585,6000.0,54920.0
7000.0,0.734375,1.0362095458226072E-8,7000.0,69.39999999999999,38.77918492287377,39.16500994035784,38.18181818181817,7000.0,54504.0
8000.0,0.796875,1.1249826962335242E-8,8000.0,71.2,42.289195254889385,44.1860465116279,39.74895397489539,8000.0,54904.0
9000.0,0.953125,1.3469155722608168E-8,9000.0,74.6,49.099624459434,47.083333333333336,47.84394250513347,9000.0,54904.0
10000.0,1.046875,1.4791051701953013E-8,10000.0,73.6,47.1915506481037,46.558704453441294,46.98795180722891,10000.0,54504.0
11000.0,1.109375,1.5678783206062183E-8,11000.0,72.89999999999999,45.79219407594694,44.918699186991866,43.892339544513455,11000.0,54904.0
12000.0,1.15625,1.634458183414406E-8,12000.0,72.89999999999999,45.81733845169546,44.00826446280991,43.7759336099585,12000.0,54904.0
13000.0,1.234375,1.7446161816931432E-8,13000.0,74.5,48.95058416547217,47.53086419753087,47.852760736196316,13000.0,54504.0
14000.0,1.296875,1.8334152021755773E-8,14000.0,72.1,44.22677114984807,45.40117416829745,40.51172707889125,14000.0,54920.0
15000.0,1.359375,1.9222142226580113E-8,15000.0,69.8,39.56252876783605,38.49287169042769,35.60767590618335,15000.0,54920.0
16000.0,1.4375,2.0331806606716575E-8,16000.0,70.3,40.69915101949539,39.99999999999999,35.7142857142857,16000.0,54904.0
17000.0,1.5625,2.2107269614934915E-8,17000.0,72.0,43.96391275981731,46.25719769673704,44.9901768172888,17000.0,54904.0
18000.0,1.703125,2.4090695660561317E-8,18000.0,71.8,43.612630770707355,43.030303030303024,42.799188640973625,18000.0,54520.0
19000.0,1.765625,2.4978427164670488E-8,19000.0,72.6,45.21073869521574,42.91666666666666,43.50515463917525,19000.0,54904.0
20000.0,1.84375,2.6088414920700916E-8,20000.0,72.1,44.231230510913875,42.71047227926078,39.0829694323144,20000.0,54920.0
21000.0,1.890625,2.6754213548782794E-8,21000.0,72.5,44.99075844741917,43.4156378600823,43.18181818181818,21000.0,54904.0
22000.0,1.96875,2.7863877928919256E-8,22000.0,72.3,44.599999999999994,44.37751004016064,39.91323210412146,22000.0,54904.0
23000.0,2.015625,2.852482591859168E-8,23000.0,73.0,46.02267047839908,47.47081712062256,48.07692307692307,23000.0,54504.0
24000.0,2.078125,2.941255742270085E-8,24000.0,70.7,41.35871653644165,42.66144814090019,40.808080808080796,24000.0,54904.0
25000.0,2.125,3.007835605078273E-8,25000.0,72.5,44.91009327222025,46.60194174757281,42.22689075630252,25000.0,54904.0
26000.0,2.203125,3.118802043091919E-8,26000.0,72.1,44.20803404309778,47.850467289719624,43.4077079107505,26000.0,54904.0
27000.0,2.265625,3.207575193502836E-8,27000.0,72.0,44.01791426743442,44.44444444444444,42.62295081967212,27000.0,54904.0
28000.0,2.328125,3.2957015921258256E-8,28000.0,73.1,46.05802472106584,44.1908713692946,41.521739130434774,28000.0,54504.0
29000.0,2.375,3.362281454934014E-8,29000.0,74.8,49.596774193548384,50.491159135559926,49.39759036144578,29000.0,54904.0
30000.0,2.46875,3.495441180550389E-8,30000.0,72.8,45.56407228770988,46.978557504873294,44.602851323828915,30000.0,54904.0
31000.0,2.515625,3.5620210433585774E-8,31000.0,71.8,43.608120430657976,43.030303030303024,43.14516129032258,31000.0,54904.0
32000.0,2.5625,3.6286203087204034E-8,32000.0,73.5,46.94694694694694,48.2421875,45.58521560574948,32000.0,54920.0
33000.0,2.625,3.716746707343393E-8,33000.0,69.1,38.16735236204715,40.46242774566473,37.4493927125506,33000.0,54504.0
34000.0,2.71875,3.8499064329597685E-8,34000.0,71.3,42.622491983142595,40.20833333333332,39.065817409766446,34000.0,54904.0
35000.0,2.78125,3.9386795833706854E-8,35000.0,72.1,44.10699403807935,44.53280318091451,42.82786885245901,35000.0,54904.0
36000.0,2.84375,4.027452733781602E-8,36000.0,71.1,42.25312712304679,41.851106639839024,39.41299790356393,36000.0,54904.0
37000.0,2.90625,4.115579132404592E-8,37000.0,71.5,42.90407885247215,41.115702479338836,39.2324093816631,37000.0,54504.0
38000.0,2.96875,4.2043522828155087E-8,38000.0,71.5,43.04146581288821,42.54032258064516,44.8742746615087,38000.0,54904.0
39000.0,3.03125,4.2931254332264255E-8,39000.0,70.19999999999999,40.420018873658435,41.910331384015585,39.05930470347647,39000.0,54904.0
40000.0,3.078125,4.3597246985882514E-8,40000.0,69.69999999999999,39.407755807256656,41.73076923076922,38.66396761133602,40000.0,54920.0
41000.0,3.140625,4.448497848999168E-8,41000.0,73.3,46.67039507849638,44.83471074380165,42.703862660944196,41000.0,54904.0
42000.0,3.171875,4.4925610483106634E-8,42000.0,73.3,46.59059994559042,46.91848906560636,45.95141700404858,42000.0,54504.0
43000.0,3.234375,4.58133419872158E-8,43000.0,72.5,44.941417668399176,44.105691056910565,42.9460580912863,43000.0,54904.0
44000.0,3.28125,4.6479140615297684E-8,44000.0,71.6,43.2254350051177,40.210526315789465,42.85714285714285,44000.0,54904.0
45000.0,3.34375,4.736687211940685E-8,45000.0,71.5,42.995895704490714,41.23711340206185,41.35802469135801,45000.0,54904.0
46000.0,3.390625,4.8032670747488733E-8,46000.0,70.0,39.97310795236265,36.17021276595743,36.70886075949366,46000.0,54904.0
47000.0,3.453125,4.891393473371863E-8,47000.0,69.8,39.599999999999994,38.74239350912778,38.98989898989898,47000.0,54504.0
48000.0,3.515625,4.98016662378278E-8,48000.0,72.8,45.53289652852314,46.03174603174603,43.451143451143444,48000.0,54904.0
49000.0,3.59375,5.091133061796426E-8,49000.0,72.5,45.02858513572942,45.97249508840864,43.53182751540041,49000.0,54904.0
50000.0,3.65625,5.1799320822788603E-8,50000.0,74.1,48.218227184031214,45.358649789029535,45.70230607966457,50000.0,54920.0
