learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,2.078125,1.1717370297345851E-7,1000.0,48.1,-3.851510349133179,-6.79012345679013,-8.35073068893529,1000.0,217952.0
2000.0,3.875,2.184967484532131E-7,2000.0,50.3,-0.5511090969417791,-1.0162601626016268,-0.811359026369169,2000.0,217968.0
3000.0,5.484375,3.0924029286122984E-7,3000.0,49.4,-1.560743761842064,1.3645224171539971,-3.0549898167006138,3000.0,217952.0
4000.0,7.140625,4.0262685312579076E-7,4000.0,50.8,-0.9350856101854299,-5.5793991416309066,-2.7139874739039693,4000.0,217952.0
5000.0,8.84375,4.986634788413843E-7,5000.0,51.2,0.0,0.0,0.0,5000.0,217968.0
6000.0,10.4375,5.885260179638862E-7,6000.0,51.300000000000004,0.0,6.346153846153851,-1.03734439834025,6000.0,217952.0
7000.0,12.125,6.836815737187862E-7,7000.0,50.5,0.0,1.5904572564612343,0.0,7000.0,217968.0
8000.0,13.859375,7.814731604109208E-7,8000.0,51.6,0.0,6.201550387596905,-1.2552301255230138,8000.0,217952.0
9000.0,15.46875,8.722233663623531E-7,9000.0,51.7,0.0,-0.6250000000000006,0.8213552361396311,9000.0,217968.0
10000.0,17.140625,9.664909319124288E-7,10000.0,50.2,0.0,-0.8097165991902842,0.0,10000.0,217952.0
11000.0,18.828125,1.0616464876673287E-6,11000.0,50.4,0.0,-0.8130081300813016,-2.6915113871635636,11000.0,217968.0
12000.0,20.46875,1.1541520426463749E-6,12000.0,51.6,0.0,0.0,-0.41493775933609994,12000.0,217952.0
13000.0,22.109375,1.246657597625421E-6,13000.0,51.1,0.0,-0.6172839506172845,0.0,13000.0,217952.0
14000.0,23.703125,1.3365201367479231E-6,14000.0,49.2,0.0,0.5870841487279849,-8.31556503198295,14000.0,217952.0
15000.0,25.328125,1.4281446864414545E-6,15000.0,46.9,0.0,-8.146639511201636,-13.219616204690842,15000.0,217952.0
16000.0,26.984375,1.5215381022749675E-6,16000.0,46.2,0.0,-8.686868686868683,-16.450216450216455,16000.0,217968.0
17000.0,28.5625,1.6105261683050129E-6,17000.0,50.7,0.0,5.374280230326301,3.1434184675834995,17000.0,217968.0
18000.0,30.28125,1.7074438639812999E-6,18000.0,48.6,0.0,-3.838383838383842,-4.259634888438138,18000.0,217968.0
19000.0,32.0,1.8043615596575869E-6,19000.0,50.7,0.0,-2.7083333333333357,-1.6494845360824757,19000.0,217968.0
20000.0,33.671875,1.8986291252076624E-6,20000.0,47.199999999999996,0.0,-8.41889117043122,-15.283842794759842,20000.0,217952.0
21000.0,35.25,1.9876171912377075E-6,21000.0,49.2,-0.20000552283494202,-4.52674897119342,-4.958677685950417,21000.0,217968.0
22000.0,36.796875,2.074843117346366E-6,22000.0,48.9,-0.6634727519147804,-2.6104417670682754,-10.845986984815628,22000.0,217968.0
23000.0,38.359375,2.1629436458978383E-6,23000.0,48.6,-2.339472374315576,0.0,1.1538461538461549,23000.0,217952.0
24000.0,39.96875,2.2536938518492708E-6,24000.0,46.9,-7.277928626842526,-3.9138943248532323,-7.27272727272728,24000.0,217968.0
25000.0,41.75,2.3541284543979493E-6,25000.0,49.6,-0.18008563012080492,2.135922330097089,-5.882352941176476,25000.0,217952.0
26000.0,43.421875,2.448396019948025E-6,26000.0,49.6,0.0,5.794392523364482,-2.231237322515215,26000.0,217952.0
27000.0,45.046875,2.5400272958601508E-6,27000.0,48.6,-2.37412364563417,-1.9841269841269857,-5.327868852459021,27000.0,217968.0
28000.0,46.71875,2.6343017816543574E-6,28000.0,54.1,-0.9474545406560878,4.77178423236515,0.2173913043478263,28000.0,217968.0
29000.0,48.3125,2.7241643207768595E-6,29000.0,50.2,0.0,2.1611001964636563,0.0,29000.0,217952.0
30000.0,49.859375,2.8113838440428172E-6,30000.0,48.9,0.0,0.3898635477582849,-4.073319755600818,30000.0,217952.0
31000.0,51.390625,2.897728700190782E-6,31000.0,49.4,0.0,-2.2222222222222245,-2.0161290322580663,31000.0,217968.0
32000.0,53.078125,2.9928772710263724E-6,32000.0,51.0,0.0,4.2968750000000036,-0.6160164271047234,32000.0,217952.0
33000.0,54.65625,3.0818588048633597E-6,33000.0,51.1,0.0,5.780346820809253,1.0121457489878551,33000.0,217952.0
34000.0,56.359375,3.1778883809844648E-6,34000.0,51.4,0.0,-1.250000000000001,-3.184713375796181,34000.0,217952.0
35000.0,58.109375,3.2765609729621142E-6,35000.0,46.800000000000004,0.0,-5.765407554671962,-9.016393442622949,35000.0,217952.0
36000.0,59.78125,3.3708285385121898E-6,36000.0,47.199999999999996,-1.0004399640377137,-6.237424547283708,-10.69182389937108,36000.0,217952.0
37000.0,61.40625,3.4624530882057214E-6,37000.0,50.6,3.6601347978032965,-2.066115702479341,-5.330490405117276,37000.0,217952.0
38000.0,63.046875,3.5549586431847674E-6,38000.0,47.599999999999994,-2.753560097106036,-5.645161290322586,-1.3539651837524191,38000.0,217952.0
39000.0,64.71875,3.649233128978974E-6,39000.0,48.699999999999996,-1.506169517281762,0.0,-4.907975460122704,39000.0,217968.0
40000.0,66.25,3.735571646959417E-6,40000.0,47.8,-4.368689393182053,-0.3846153846153849,-5.6680161943319884,40000.0,217952.0
41000.0,67.78125,3.82191016493986E-6,41000.0,49.1,-1.5319556371180125,-5.165289256198352,-9.227467811158807,41000.0,217952.0
42000.0,69.359375,3.910891698776847E-6,42000.0,50.4,0.0,1.3916500994035799,-0.4048582995951421,42000.0,217952.0
43000.0,70.953125,4.000754237899349E-6,43000.0,47.599999999999994,-5.497549799272802,-6.504065040650413,-8.7136929460581,43000.0,217952.0
44000.0,72.734375,4.101188840448028E-6,44000.0,48.6,-1.295957621239836,-8.210526315789481,-3.420523138833001,44000.0,217952.0
45000.0,74.390625,4.194575400712589E-6,45000.0,49.1,-1.8464419775417618,-4.948453608247427,-4.732510288065848,45000.0,217952.0
46000.0,75.9375,4.281794923978546E-6,46000.0,50.2,-1.9990168769457626,-5.957446808510644,-5.063291139240511,46000.0,217952.0
47000.0,77.546875,4.372538468386563E-6,47000.0,50.0,0.0,-1.4198782961460459,-1.010101010101011,47000.0,217952.0
48000.0,79.171875,4.464169744298689E-6,48000.0,52.2,0.0,5.1587301587301635,0.6237006237006243,48000.0,217968.0
49000.0,80.8125,4.5566752992777355E-6,49000.0,51.300000000000004,0.0,4.3222003929273125,0.0,49000.0,217952.0
50000.0,82.40625,4.646537838400237E-6,50000.0,49.2,0.0,-7.172995780590724,-6.498951781970656,50000.0,217952.0
