learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,2.015625,1.2981026278187831E-6,1000.0,69.19999999999999,38.39433227856962,36.62551440329217,35.69937369519832,1000.0,2498632.0
2000.0,3.671875,3.0049884743574593E-6,2000.0,80.7,61.37311568851922,60.772357723577244,60.85192697768763,2000.0,3983648.0
3000.0,5.34375,5.3733451447139185E-6,3000.0,85.8,71.6,72.31968810916179,71.07942973523421,3000.0,5475776.0
4000.0,6.96875,8.373080571699473E-6,4000.0,86.8,73.568387791799,71.67381974248926,72.44258872651356,4000.0,7135624.0
5000.0,8.640625,1.2162422871268871E-5,5000.0,88.8,77.56338344177698,77.04918032786885,77.04918032786885,5000.0,8761176.0
6000.0,10.3125,1.6654225312069885E-5,6000.0,88.8,77.54277900089428,78.46153846153847,76.76348547717843,6000.0,1.0385304E7
7000.0,12.046875,2.1996717098065547E-5,7000.0,90.5,80.98707120842174,81.11332007952286,80.80808080808082,7000.0,1.1907024E7
8000.0,13.984375,2.8781570468304883E-5,8000.0,89.9,79.76503397871522,80.4263565891473,78.8702928870293,8000.0,1.3536336E7
9000.0,15.96875,3.6461490284030634E-5,9000.0,89.7,79.3747546997525,78.54166666666667,78.85010266940452,9000.0,1.4960128E7
10000.0,17.90625,4.475495765089161E-5,10000.0,90.8,81.59823343040932,81.37651821862349,81.52610441767068,10000.0,1.6546144E7
11000.0,20.09375,5.4993696847102706E-5,11000.0,90.10000000000001,80.19524685924623,79.8780487804878,79.50310559006212,11000.0,1.8092592E7
12000.0,22.21875,6.556178300848438E-5,12000.0,90.60000000000001,81.18555050278614,80.57851239669422,80.49792531120332,12000.0,1.9223824E7
13000.0,24.546875,7.799325449418069E-5,13000.0,89.3,78.60376573723025,77.98353909465021,78.11860940695297,13000.0,2.0640424E7
14000.0,26.796875,9.082813685785772E-5,14000.0,90.5,81.00911562450025,81.40900195694717,79.74413646055437,14000.0,2.205016E7
15000.0,29.390625,1.0491952057539796E-4,15000.0,91.2,82.35404994605955,82.07739307535643,81.2366737739872,15000.0,2.1000416E7
