learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.875,2.5916223724683124E-7,1000.0,78.60000000000001,57.20188311714285,55.96707818930041,55.323590814196244,1000.0,1154088.0
2000.0,1.3125,4.726108939697345E-7,2000.0,86.5,72.98379027416449,72.5609756097561,72.61663286004057,2000.0,1885896.0
3000.0,1.8125,7.975710711131494E-7,3000.0,89.4,78.79898235115286,79.33723196881091,78.41140529531569,3000.0,2512248.0
4000.0,2.1875,1.1016835924237968E-6,4000.0,90.3,80.58586651081988,79.18454935622317,79.74947807933195,4000.0,3134768.0
5000.0,2.71875,1.6133993631228808E-6,5000.0,91.10000000000001,82.1871747658314,81.76229508196722,81.76229508196722,5000.0,3723336.0
6000.0,3.15625,2.1048898472347197E-6,6000.0,92.5,84.9859468462481,85.57692307692308,84.43983402489627,6000.0,4341928.0
7000.0,3.5625,2.6179321705260214E-6,7000.0,92.60000000000001,85.19674328352238,85.28827037773361,85.05050505050505,7000.0,4881600.0
8000.0,4.046875,3.3059481453771398E-6,8000.0,92.5,84.97981286849526,85.46511627906978,84.30962343096236,8000.0,5490592.0
9000.0,4.59375,4.155603269787713E-6,9000.0,91.7,83.38644333776362,82.70833333333334,82.95687885010268,9000.0,6005608.0
10000.0,5.03125,4.898197463868807E-6,10000.0,92.80000000000001,85.60023039631368,85.42510121457491,85.5421686746988,10000.0,6561088.0
11000.0,5.484375,5.717795995426261E-6,11000.0,93.30000000000001,86.59678322797473,86.38211382113822,86.12836438923397,11000.0,6991744.0
12000.0,6.0,6.730135581973527E-6,12000.0,92.80000000000001,85.60000000000001,85.12396694214877,85.06224066390043,12000.0,7589176.0
13000.0,6.546875,7.874380810082787E-6,13000.0,92.0,84.00351922577033,83.53909465020577,83.64008179959102,13000.0,8087856.0
14000.0,7.25,9.43594974362188E-6,14000.0,93.10000000000001,86.19867507280699,86.49706457925636,85.28784648187634,14000.0,8584816.0
15000.0,7.671875,1.0429934320402228E-5,15000.0,90.7,81.3212503916512,81.05906313645622,80.17057569296375,15000.0,9107480.0
16000.0,8.21875,1.1788559010407577E-5,16000.0,92.7,85.31742519932098,85.25252525252526,84.1991341991342,16000.0,9603152.0
17000.0,8.84375,1.3408334634732455E-5,17000.0,92.4,84.80468015851119,85.4126679462572,85.0687622789784,17000.0,1.0017912E7
18000.0,9.4375,1.5034362149890512E-5,18000.0,92.7,85.3828101847773,85.25252525252526,85.19269776876268,18000.0,1.0585872E7
19000.0,10.046875,1.676843132978926E-5,19000.0,93.4,86.79593314740941,86.25000000000001,86.39175257731961,19000.0,1.0999784E7
20000.0,10.65625,1.857963342141981E-5,20000.0,93.2,86.34801323439659,86.0369609856263,85.15283842794761,20000.0,1.1489064E7
21000.0,11.25,2.0412360932419284E-5,21000.0,91.0,81.98739117382168,81.4814814814815,81.40495867768595,21000.0,1.1930976E7
22000.0,11.953125,2.2678874116132245E-5,22000.0,92.80000000000001,85.58287245247355,85.5421686746988,84.38177874186552,22000.0,1.2460288E7
23000.0,12.671875,2.5114338592781377E-5,23000.0,93.60000000000001,87.19462174113129,87.54863813229574,87.69230769230771,23000.0,1.3097472E7
24000.0,13.4375,2.7790683703238352E-5,24000.0,93.0,85.9838533991158,86.3013698630137,85.85858585858587,24000.0,1.3512272E7
25000.0,14.203125,3.056855991922526E-5,25000.0,94.1,88.20320872722618,88.54368932038834,87.6050420168067,25000.0,1.4024312E7
26000.0,14.890625,3.3140638746165983E-5,26000.0,92.9,85.79977279636475,86.72897196261684,85.59837728194726,26000.0,1.446152E7
27000.0,15.59375,3.584426818027472E-5,27000.0,93.2,86.39390446920221,86.50793650793652,86.06557377049181,27000.0,1.486336E7
28000.0,16.296875,3.86310254301255E-5,28000.0,93.2,86.33061419766736,85.89211618257262,85.21739130434783,28000.0,1.532036E7
29000.0,17.046875,4.170260644362619E-5,29000.0,94.39999999999999,88.80053757419643,88.99803536345775,88.75502008032127,29000.0,1.5830808E7
30000.0,17.75,4.465493975051989E-5,30000.0,93.60000000000001,87.18703327767702,87.52436647173491,86.96537678207741,30000.0,1.6230624E7
31000.0,18.53125,4.8019256856706405E-5,31000.0,92.7,85.39333936274942,85.25252525252526,85.28225806451614,31000.0,1.6645976E7
32000.0,19.328125,5.154416805857585E-5,32000.0,95.7,91.39896787614514,91.60156249999999,91.17043121149896,32000.0,1.7098592E7
33000.0,20.109375,5.50796350904016E-5,33000.0,92.30000000000001,84.60000000000001,85.16377649325626,84.41295546558706,33000.0,1.7492792E7
34000.0,20.875,5.861659401691415E-5,34000.0,92.80000000000001,85.60161261938663,85.00000000000001,84.71337579617835,34000.0,1.7856752E7
35000.0,21.71875,6.259035826790044E-5,35000.0,93.4,86.73889281810584,86.87872763419485,86.47540983606558,35000.0,1.8204432E7
36000.0,22.5625,6.668158790691653E-5,36000.0,93.2,86.38120606436884,86.31790744466802,85.74423480083858,36000.0,1.8742576E7
37000.0,23.46875,7.119010568001411E-5,37000.0,94.5,88.94925497886292,88.63636363636363,88.272921108742,37000.0,1.9229824E7
38000.0,24.359375,7.572590360521443E-5,38000.0,93.2,86.39646308040092,86.29032258064517,86.84719535783366,38000.0,1.9686168E7
39000.0,25.171875,7.995723488016261E-5,39000.0,94.1,88.20198206701274,88.4990253411306,87.93456032719835,39000.0,2.0130568E7
40000.0,26.046875,8.459678256056376E-5,40000.0,93.5,87.00062397004945,87.50000000000001,86.8421052631579,40000.0,2.049604E7
41000.0,26.984375,8.967007885480093E-5,41000.0,93.89999999999999,87.7903299413135,87.39669421487602,86.90987124463518,41000.0,2.0918056E7
42000.0,27.984375,9.520551461415986E-5,42000.0,92.7,85.40163501687812,85.48707753479127,85.22267206477734,42000.0,2.1397064E7
43000.0,28.9375,1.0058064696042695E-4,43000.0,93.2,86.39276094882479,86.1788617886179,85.89211618257262,43000.0,2.1799256E7
44000.0,30.03125,1.0685687247637867E-4,44000.0,93.4,86.79577464788734,86.10526315789475,86.72032193158955,44000.0,2.218052E7
45000.0,31.046875,1.127725123660639E-4,45000.0,93.30000000000001,86.6009647305394,86.1855670103093,86.21399176954733,45000.0,2.2514936E7
46000.0,32.140625,1.19262329600234E-4,46000.0,94.6,89.18789043728975,88.51063829787233,88.60759493670885,46000.0,2.2935952E7
47000.0,33.265625,1.2606056762807486E-4,47000.0,91.9,83.80000000000001,83.56997971602435,83.63636363636364,47000.0,2.3358568E7
48000.0,34.359375,1.328006655158889E-4,48000.0,94.1,88.16980935347004,88.29365079365078,87.73388773388773,48000.0,2.382048E7
49000.0,35.453125,1.3967528874571952E-4,49000.0,93.89999999999999,87.79111192948466,88.01571709233791,87.47433264887063,49000.0,2.4295912E7
50000.0,36.5625,1.4675511761904798E-4,50000.0,93.8,87.6,86.91983122362869,87.00209643605868,50000.0,2.466816E7
