learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.5625,4.866354477902253E-7,1000.0,78.60000000000001,57.19914398287966,55.96707818930041,55.323590814196244,1000.0,1213080.0
2000.0,2.875,1.148185304676493E-6,2000.0,87.4,74.77942000672549,74.39024390243902,74.4421906693712,2000.0,1948344.0
3000.0,3.921875,1.8995967628951701E-6,3000.0,90.5,80.99984799878399,81.4814814814815,80.65173116089613,3000.0,2774504.0
4000.0,5.1875,3.008462307560775E-6,4000.0,89.2,78.36963096187047,76.82403433476395,77.45302713987473,4000.0,3386696.0
5000.0,6.296875,4.168124028688503E-6,5000.0,91.8,83.59527543932653,83.19672131147541,83.19672131147541,5000.0,4040688.0
6000.0,7.546875,5.661830913999842E-6,6000.0,92.0,83.98084108593879,84.61538461538463,83.40248962655602,6000.0,4619104.0
7000.0,8.59375,7.047918592838363E-6,7000.0,91.5,82.99795975517063,83.10139165009942,82.82828282828284,7000.0,5117976.0
8000.0,9.625,8.546561552470342E-6,8000.0,91.2,82.37066478620424,82.94573643410853,81.58995815899583,8000.0,5617416.0
9000.0,10.75,1.0361858262007848E-5,9000.0,91.7,83.39322443556972,82.70833333333334,82.95687885010268,9000.0,6237312.0
10000.0,11.859375,1.2311436585150659E-5,10000.0,91.8,83.6010495328299,83.4008097165992,83.53413654618474,10000.0,6793048.0
11000.0,12.953125,1.4397055880787471E-5,11000.0,93.10000000000001,86.19977919646715,85.97560975609757,85.71428571428572,11000.0,7370880.0
12000.0,14.078125,1.6712640450956922E-5,12000.0,92.80000000000001,85.59815656404021,85.12396694214877,85.06224066390043,12000.0,7956288.0
13000.0,15.203125,1.9178913013699155E-5,13000.0,91.8,83.60649182923564,83.12757201646092,83.2310838445808,13000.0,8474048.0
14000.0,16.375,2.1899308679470173E-5,14000.0,92.7,85.39672886726628,85.71428571428572,84.43496801705757,14000.0,8973320.0
15000.0,17.5,2.467928328163301E-5,15000.0,91.5,82.92377171694444,82.68839103869654,81.87633262260128,15000.0,9551920.0
16000.0,18.703125,2.784136449918151E-5,16000.0,92.5,84.91516287601472,84.84848484848486,83.76623376623378,16000.0,1.015932E7
17000.0,19.890625,3.112069214694202E-5,17000.0,92.60000000000001,85.20290023155464,85.79654510556622,85.46168958742633,17000.0,1.0674648E7
18000.0,21.140625,3.471428567233185E-5,18000.0,94.19999999999999,88.3856911715233,88.28282828282828,88.23529411764704,18000.0,1.1112744E7
19000.0,22.34375,3.834291962751498E-5,19000.0,92.9,85.79681848734117,85.20833333333334,85.36082474226805,19000.0,1.1658288E7
20000.0,23.578125,4.222325320976476E-5,20000.0,92.30000000000001,84.5324376878204,84.18891170431212,83.18777292576421,20000.0,1.2151344E7
21000.0,24.875,4.6463698704933956E-5,21000.0,91.2,82.39457752987921,81.89300411522635,81.81818181818183,21000.0,1.2639088E7
22000.0,26.234375,5.1093735318217015E-5,22000.0,92.0,83.97981456635361,83.93574297188756,82.64642082429502,22000.0,1.3165808E7
23000.0,27.578125,5.583755969483819E-5,23000.0,93.5,87.00155981282248,87.35408560311285,87.50000000000001,23000.0,1.3646224E7
24000.0,28.859375,6.0508532591888476E-5,24000.0,93.5,86.97916666666667,87.27984344422701,86.86868686868688,24000.0,1.4092104E7
25000.0,30.25,6.577011773414496E-5,25000.0,93.60000000000001,87.19912954080878,87.5728155339806,86.55462184873952,25000.0,1.462544E7
26000.0,31.6875,7.141583217566626E-5,26000.0,92.9,85.80113590912728,86.72897196261684,85.59837728194726,26000.0,1.5181456E7
27000.0,33.0625,7.694957577364726E-5,27000.0,93.60000000000001,87.19426302983739,87.30158730158732,86.88524590163935,27000.0,1.5556744E7
28000.0,34.453125,8.267030701972545E-5,28000.0,93.10000000000001,86.13745218425537,85.68464730290457,85.00000000000001,28000.0,1.5901712E7
29000.0,35.890625,8.875591952043275E-5,29000.0,94.5,89.00043998240069,89.19449901768172,88.95582329317267,29000.0,1.6364352E7
30000.0,37.28125,9.479744346915848E-5,30000.0,92.9,85.78498894832944,86.1598440545809,85.53971486761712,30000.0,1.6793408E7
31000.0,38.609375,1.0073804425903494E-4,31000.0,93.2,86.39869427465038,86.26262626262627,86.29032258064517,31000.0,1.7289952E7
32000.0,40.03125,1.0731131705041561E-4,32000.0,94.39999999999999,88.79999999999998,89.06249999999999,88.50102669404517,32000.0,1.786992E7
33000.0,41.515625,1.14350571432927E-4,33000.0,92.10000000000001,84.20555964300567,84.77842003853566,84.00809716599191,33000.0,1.8330968E7
34000.0,43.125,1.2212793336301627E-4,34000.0,91.4,82.79807338421904,82.08333333333334,81.74097664543525,34000.0,1.8680024E7
35000.0,44.703125,1.299198533201383E-4,35000.0,91.8,83.53678123996146,83.69781312127238,83.19672131147541,35000.0,1.9085584E7
36000.0,46.3125,1.380880346793371E-4,36000.0,93.89999999999999,87.77751061953994,87.72635814889334,87.2117400419287,36000.0,1.9618712E7
37000.0,47.8125,1.4585281246885036E-4,37000.0,94.39999999999999,88.74199877770272,88.4297520661157,88.0597014925373,37000.0,2.000968E7
