learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.390625,2.0287795147548117E-8,1000.0,51.2,2.585866167352695,-0.41152263374485637,-1.87891440501044,1000.0,200760.0
2000.0,0.578125,3.094833421831329E-8,2000.0,56.599999999999994,12.396854360779612,11.78861788617885,11.967545638945221,2000.0,219776.0
3000.0,0.75,4.138532353358136E-8,3000.0,63.9,27.81905576927692,29.629629629629633,26.4765784114053,3000.0,234728.0
4000.0,0.921875,5.459438802467452E-8,4000.0,62.7,24.201781766159446,19.957081545064373,22.129436325678494,4000.0,297072.0
5000.0,1.09375,6.971683534276154E-8,5000.0,61.3,22.603715021678962,20.696721311475404,20.696721311475404,5000.0,340104.0
6000.0,1.265625,8.611558263914453E-8,6000.0,54.6,10.882187822659498,12.692307692307702,5.809128630705399,6000.0,368808.0
7000.0,1.421875,1.0171103187733228E-7,7000.0,51.6,4.099546256117624,3.7773359840954304,2.2222222222222245,7000.0,385816.0
8000.0,1.59375,1.1816135762880247E-7,8000.0,55.50000000000001,13.06420355088773,13.75968992248063,6.903765690376576,8000.0,369968.0
9000.0,1.75,1.3450930257224375E-7,9000.0,56.89999999999999,14.681848414784765,10.20833333333332,11.498973305954813,9000.0,404432.0
10000.0,1.921875,1.5342116562856568E-7,10000.0,60.9,21.73049668105277,20.850202429149796,21.4859437751004,10000.0,425328.0
11000.0,2.125,1.7822493747290636E-7,11000.0,64.8,29.385331407478745,28.455284552845534,27.122153209109733,11000.0,472016.0
12000.0,2.328125,2.0614378930379946E-7,12000.0,62.0,23.342586017687694,21.48760330578512,21.161825726141075,12000.0,531296.0
13000.0,2.5,2.318640084316333E-7,13000.0,65.4,29.896222095252,28.80658436213992,29.243353783231086,13000.0,578448.0
14000.0,2.640625,2.539107420792182E-7,14000.0,68.4,37.2896424715819,38.16046966731899,32.622601279317706,14000.0,606016.0
15000.0,2.765625,2.7374480850994585E-7,15000.0,68.8,38.94014176846569,36.45621181262728,33.47547974413644,15000.0,613344.0
